curve_id	checkpoint	value	status	reason
A2_BIGRAM_TYPES	5000	179	COMPARABLE	
A3_TRIGRAM_TYPES	5000	0	COMPARABLE	
AT_TRANSITION_TYPES	5000	2011	COMPARABLE	
A2_BIGRAM_TYPES	10000	212	COMPARABLE	
A3_TRIGRAM_TYPES	10000	0	COMPARABLE	
AT_TRANSITION_TYPES	10000	2970	COMPARABLE	
A2_BIGRAM_TYPES	20000		NOT_COMPARABLE	corpus smaller than checkpoint
A3_TRIGRAM_TYPES	20000		NOT_COMPARABLE	corpus smaller than checkpoint
AT_TRANSITION_TYPES	20000		NOT_COMPARABLE	corpus smaller than checkpoint
A2_BIGRAM_TYPES	39380		NOT_COMPARABLE	corpus smaller than checkpoint
A3_TRIGRAM_TYPES	39380		NOT_COMPARABLE	corpus smaller than checkpoint
AT_TRANSITION_TYPES	39380		NOT_COMPARABLE	corpus smaller than checkpoint
