checkpoint_n	vocabulary_size	hapax_count	dis_legomena_count	tris_legomena_count	hapax_fraction_of_types	hapax_fraction_of_tokens	dis_fraction_of_types	dis_fraction_of_tokens
100	97	94	3	0	0.96907216494845361	0.93999999999999995	0.061855670103092786	0.059999999999999998
200	178	161	13	3	0.9044943820224719	0.80500000000000005	0.14606741573033707	0.13
500	395	336	33	14	0.85063291139240504	0.67200000000000004	0.16708860759493671	0.13200000000000001
1000	707	578	67	25	0.81753889674681757	0.57799999999999996	0.18953323903818953	0.13400000000000001
2000	1222	970	122	30	0.79378068739770868	0.48499999999999999	0.19967266775777415	0.122
4000	2135	1649	219	78	0.77236533957845432	0.41225000000000001	0.20515222482435597	0.1095
8000	3702	2786	409	159	0.75256618044300383	0.34825	0.22096164235548352	0.10224999999999999
16000	6009	4288	725	304	0.71359627225827926	0.26800000000000002	0.24130470960226327	0.090624999999999997
32000	9722	6618	1277	512	0.68072413083727623	0.20681250000000001	0.26270314750051432	0.079812499999999995
43713	11776	7819	1612	638	0.66397758152173914	0.1788712739917187	0.27377717391304346	0.073753803216434474
