checkpoint_n	vocabulary_size	type_token_ratio	hapax_count	dis_count	tri_count	beta_effective
100	97	0.96999999999999997	94	3	0	0
200	178	0.89000000000000001	161	13	3	0.87582058877927094
500	395	0.79000000000000004	336	33	14	0.86992281694115436
1000	707	0.70699999999999996	578	67	25	0.83985756174493387
2000	1222	0.61099999999999999	970	122	30	0.78946216500933064
4000	2135	0.53374999999999995	1649	219	78	0.80499178468912314
8000	3702	0.46274999999999999	2786	409	159	0.79406882536272161
16000	6009	0.37556250000000002	4288	725	304	0.69882002666328913
32000	9722	0.30381249999999999	6618	1277	512	0.69412821225471733
43713	11776	0.26939354425456957	7819	1612	638	0.61451196139263486
