Glyph	N	Initial	Medial	Final	Singleton	Initial%	Medial%	Final%	Dominant	DominantShare	H	Hnorm	NullMean	NullSD	Z	p	q
n	140	0	5	130	5	0.00000000	0.03571429	0.92857143	FINAL	0.92857143	0.30682915	0.22133045	0.45072857	0.03988682	11.97996991	0.00099900	0.00140485
I	32	1	2	27	2	0.03125000	0.06250000	0.84375000	FINAL	0.84375000	0.59823015	0.43153184	0.38809375	0.04245039	10.73385362	0.00099900	0.00140485
2	67	36	0	31	0	0.53731343	0.00000000	0.46268657	INITIAL	0.53731343	0.69036001	0.62839276	0.39094030	0.03344340	4.37674189	0.00099900	0.00140485
3	58	0	37	21	0	0.00000000	0.63793103	0.36206897	MEDIAL	0.63793103	0.65459932	0.59584198	0.39187931	0.03304427	7.44612312	0.00099900	0.00140485
4	38	0	25	13	0	0.00000000	0.65789474	0.34210526	MEDIAL	0.65789474	0.64242202	0.58475772	0.41065789	0.04304583	5.74357214	0.00099900	0.00140485
y	17919	1687	500	15398	334	0.09414588	0.02790334	0.85931135	FINAL	0.85931135	0.52684782	0.38004037	0.51092137	0.00340770	102.23601760	0.00099900	0.00140485
u	9	0	0	8	1	0.00000000	0.00000000	0.88888889	FINAL	0.88888889	0.34883210	0.25162917	0.43177778	0.08070152	5.66421951	0.00099900	0.00140485
7	40	0	30	10	0	0.00000000	0.75000000	0.25000000	MEDIAL	0.75000000	0.56233514	0.51185951	0.41115000	0.04459727	7.59799885	0.00099900	0.00140485
t	6085	1019	4983	69	14	0.16746097	0.81889893	0.01133936	MEDIAL	0.81889893	0.52763546	0.38060853	0.55685604	0.00598405	43.79021726	0.00099900	0.00140485
r	7599	362	1371	5694	172	0.04763785	0.18041848	0.74930912	FINAL	0.74930912	0.75597739	0.54532242	0.45256218	0.00497683	59.62572866	0.00099900	0.00140485
A	1697	5	24	1552	116	0.00294638	0.01414260	0.91455510	FINAL	0.91455510	0.34248286	0.24704916	0.32297820	0.00674091	87.75924416	0.00099900	0.00140485
C	922	478	435	5	4	0.51843818	0.47180043	0.00542299	INITIAL	0.51843818	0.74689032	0.53876748	0.37947289	0.01459231	9.52318498	0.00099900	0.00140485
E	4888	85	4773	29	1	0.01738953	0.97647300	0.00593290	MEDIAL	0.97647300	0.12586568	0.09079290	0.55616735	0.00691763	60.75864920	0.00099900	0.00140485
e	10654	78	10481	87	8	0.00732119	0.98376197	0.00816595	MEDIAL	0.98376197	0.09676585	0.06980181	0.57060184	0.00469464	88.00686210	0.00099900	0.00140485
H	11087	6116	4907	39	25	0.55163705	0.44259042	0.00351763	INITIAL	0.55163705	0.72252695	0.52119303	0.51480689	0.00452108	8.14632491	0.00099900	0.00140485
d	13215	3605	8934	603	73	0.27279607	0.67604994	0.04562997	MEDIAL	0.67604994	0.78862202	0.56887054	0.52908838	0.00392394	37.45255499	0.00099900	0.00140485
K	898	184	708	5	1	0.20489978	0.78841871	0.00556793	MEDIAL	0.78841871	0.54871596	0.39581490	0.44620156	0.01593420	21.47689174	0.00099900	0.00140485
N	4317	0	56	4255	6	0.00000000	0.01297197	0.98563817	FINAL	0.98563817	0.07976418	0.05753770	0.41720361	0.00655934	86.66036310	0.00099900	0.00140485
P	211	124	87	0	0	0.58767773	0.41232227	0.00000000	INITIAL	0.58767773	0.67769263	0.61686242	0.45653081	0.03212640	4.08221674	0.00099900	0.00140485
S	4534	3218	1272	19	25	0.70974857	0.28054698	0.00419056	INITIAL	0.70974857	0.65153046	0.46997989	0.46659131	0.00682826	35.61043308	0.00099900	0.00140485
a	13132	2043	10973	101	15	0.15557417	0.83559245	0.00769114	MEDIAL	0.83559245	0.48472722	0.34965678	0.47380833	0.00376742	96.02965104	0.00099900	0.00140485
b	15	0	0	15	0	0.00000000	0.00000000	1.00000000	FINAL	1.00000000	0.00000000	0.00000000	0.52740000	0.10196772	4.63480027	0.00099900	0.00140485
1	161	138	6	17	0	0.85714286	0.03726708	0.10559006	INITIAL	0.85714286	0.49211125	0.44793896	0.37070186	0.02153994	22.58321335	0.00099900	0.00140485
q	5436	5388	35	0	13	0.99116998	0.00643856	0.00000000	INITIAL	0.99116998	0.05571087	0.04018690	0.59672259	0.00640012	61.63123755	0.00099900	0.00140485
o	25661	8716	15550	1172	223	0.33965941	0.60597794	0.04567242	MEDIAL	0.60597794	0.85250668	0.61495358	0.52530829	0.00290432	27.77573602	0.00099900	0.00140485
f	429	111	285	23	10	0.25874126	0.66433566	0.05361305	MEDIAL	0.66433566	0.86598026	0.62467271	0.58747086	0.02289334	3.35751768	0.00099900	0.00140485
g	154	2	10	127	15	0.01298701	0.06493506	0.82467532	FINAL	0.82467532	0.61977950	0.44707640	0.45309091	0.03620496	10.26335681	0.00099900	0.00140485
h	286	57	220	4	5	0.19930070	0.76923077	0.01398601	MEDIAL	0.76923077	0.65373884	0.47157289	0.52389510	0.02590277	9.47140535	0.00099900	0.00140485
i	1607	15	1555	33	4	0.00933416	0.96764157	0.02053516	MEDIAL	0.96764157	0.17017377	0.12275442	0.58391661	0.01193252	32.15790105	0.00099900	0.00140485
m	1071	1	39	1018	13	0.00093371	0.03641457	0.95051354	FINAL	0.95051354	0.22893523	0.16514186	0.46921942	0.01369503	35.14370474	0.00099900	0.00140485
k	10197	1265	8822	90	20	0.12405609	0.86515642	0.00882613	MEDIAL	0.86515642	0.43819655	0.31609199	0.56590899	0.00483627	61.87562236	0.00099900	0.00140485
l	10659	1267	3392	5804	196	0.11886669	0.31822873	0.54451637	FINAL	0.54451637	1.02199211	0.73721147	0.48273093	0.00444880	13.88810727	0.00099900	0.00140485
9	31	0	20	11	0	0.00000000	0.64516129	0.35483871	MEDIAL	0.64516129	0.65039064	0.59201107	0.41867742	0.05198611	4.35662262	0.00199800	0.00272455
6	45	0	20	25	0	0.00000000	0.44444444	0.55555556	FINAL	0.55555556	0.68696158	0.62529937	0.40604444	0.04192631	3.56604545	0.00499500	0.00661104
5	28	0	12	16	0	0.00000000	0.42857143	0.57142857	FINAL	0.57142857	0.68290810	0.62160975	0.42382143	0.05125181	2.88003772	0.01598402	0.02055088
0	31	0	13	18	0	0.00000000	0.41935484	0.58064516	FINAL	0.58064516	0.68008290	0.61903814	0.42322581	0.05257427	2.99422779	0.01798202	0.02247752
F	74	32	41	1	0	0.43243243	0.55405405	0.01351351	MEDIAL	0.55405405	0.74784883	0.68072134	0.44366216	0.04996000	2.20960533	0.02997003	0.03645004
8	23	0	11	12	0	0.00000000	0.47826087	0.52173913	FINAL	0.52173913	0.69220170	0.63006914	0.43608696	0.05798896	1.47704265	0.13686314	0.16207477
z	9	2	6	1	0	0.22222222	0.66666667	0.11111111	MEDIAL	0.66666667	0.84868556	0.77250689	0.54400000	0.11644329	1.05344553	0.27372627	0.31583801
p	1465	540	888	30	7	0.36860068	0.60614334	0.02047782	MEDIAL	0.60614334	0.77649685	0.56012407	0.60557611	0.01235827	0.04589926	0.52447552	0.59003497
j	14	2	8	4	0	0.14285714	0.57142857	0.28571429	MEDIAL	0.57142857	0.95569989	0.86991553	0.57085714	0.11478726	0.00497815	0.58741259	0.64472113
c	187	49	63	25	50	0.26203209	0.33689840	0.13368984	MEDIAL	0.33689840	1.33918494	0.96601773	0.36827273	0.02822657	-1.11151773	0.87312687	0.93549308
x	41	10	12	8	11	0.24390244	0.29268293	0.19512195	MEDIAL	0.29268293	1.37559375	0.99228114	0.36563415	0.05452688	-1.33789459	0.95904096	1.00000000
s	2825	1004	372	1093	356	0.35539823	0.13168142	0.38690265	FINAL	0.38690265	1.26305267	0.91109991	0.40675327	0.00806576	-2.46109792	0.99100899	1.00000000
v	15	3	0	0	12	0.20000000	0.00000000	0.00000000	SINGLETON	0.80000000	0.50040242	0.36096405	0.80000000	0.00000000	0.99949987	1.00000000	1.00000000
