checkpoint_n	vocabulary_size	hapax_count	dis_legomena_count	tris_legomena_count	hapax_fraction_of_types	hapax_fraction_of_tokens	dis_fraction_of_types	dis_fraction_of_tokens
100	91	84	5	2	0.92307692307692313	0.83999999999999997	0.10989010989010989	0.10000000000000001
200	164	143	12	4	0.87195121951219512	0.71499999999999997	0.14634146341463414	0.12
500	352	280	41	14	0.79545454545454541	0.56000000000000005	0.23295454545454544	0.16400000000000001
1000	624	493	58	29	0.79006410256410253	0.49299999999999999	0.1858974358974359	0.11600000000000001
2000	1065	831	104	41	0.78028169014084503	0.41549999999999998	0.19530516431924883	0.104
4000	1845	1392	207	79	0.7544715447154472	0.34799999999999998	0.22439024390243903	0.10349999999999999
8000	3120	2281	353	158	0.73108974358974355	0.28512500000000002	0.22628205128205128	0.088249999999999995
16000	4933	3391	623	265	0.68741131157510638	0.2119375	0.25258463409689846	0.077875
32000	7762	5009	1122	442	0.64532337026539555	0.15653125000000001	0.28910074723009532	0.070125000000000007
43713	9288	5821	1371	551	0.6267226528854436	0.13316404730858097	0.29521963824289404	0.06272733511769954
