checkpoint_n	observed	null_mean	null_sd	effect	empirical_p
100	91	89.390000000000001	3.3132914148924484	0.48592164056666931	0.37623762376237624
200	164	165.25	5.2694876411279301	-0.23721471329467592	0.64356435643564358
500	352	359.67000000000002	8.8476607077803333	-0.8668958104660679	0.84158415841584155
1000	624	629.48000000000002	13.383183477782856	-0.4094690929925045	0.64356435643564358
2000	1065	1074.8299999999999	19.076716174436321	-0.51528784671926819	0.67326732673267331
4000	1845	1803.6099999999999	26.60898156638093	1.5554898219890618	0.079207920792079209
8000	3120	2972.8800000000001	33.124395843547092	4.4414394965836062	0.0099009900990099011
16000	4933	4816.0200000000004	32.791456204322479	3.5673926546933767	0.0099009900990099011
32000	7762	7614.7299999999996	30.203263068748061	4.8759632250590741	0.0099009900990099011
43713	9288	9288	0	0	1
