checkpoint_n	vocabulary_size	type_token_ratio	hapax_count	dis_count	tri_count	beta_effective
100	91	0.91000000000000003	84	5	2	0
200	164	0.81999999999999995	143	12	4	0.84975736441938932
500	352	0.70399999999999996	280	41	14	0.83353975021848714
1000	624	0.624	493	58	29	0.82597060022495172
2000	1065	0.53249999999999997	831	104	41	0.77123549625095122
4000	1845	0.46124999999999999	1392	207	79	0.7927673858345583
8000	3120	0.39000000000000001	2281	353	158	0.75792521280185265
16000	4933	0.30831249999999999	3391	623	265	0.66091925824488218
32000	7762	0.24256249999999999	5009	1122	442	0.65396314579095471
43713	9288	0.2124768375540457	5821	1371	551	0.57543336158904124
