record_type	token_a	token_b	control	parameter	observed_gain	control_mean	control_p95	percentile	mean_gain_full	mean_gain_ablated
pair	x014952	x030834	random_space		0.0067469750873960345	0.012313839147298082	0.015992403935441525	0		
pair	x014952	x030834	generic_smoothing		0.0067469750873960345	0.7933582693525387	0.7956530134667164	0		
pair	x014952	x030834	random_space_ablated		0.10106948375878433	0.12238424862782141	0.12699849219309137	0		
pair	x014952	x030834	generic_smoothing_ablated		0.10106948375878433	0.7658085510826339	0.7674366025347173	0		
sweep			threshold	0.5					0.12681471080579226	0.31015281661447125
sweep			threshold	0.6					0.03377136628677555	0.1947085309514618
sweep			threshold	0.65					0.0067469750873957015	0.10106948375878393
sweep			threshold	0.7					0.0007506367291971516	0.06096573411384558
sweep			threshold	0.75					0	0.03002449464974275
sweep			knn	3					0.1490898072064574	0.18896145124441624
sweep			knn	5					0.18160996356030001	0.22937653891150916
sweep			knn	10					0.21735613611218457	0.2706860328316135
sweep			knn	20					0.2403872125798757	0.29565799136248544
sweep			family_control	0					0.001315932330463232	0.001315932330463232
shuffle			global		0.019671196130348068				0.2172311446023532	
shuffle			line-preserving		0.01235840286039866				0.1580062687091706	
