task	title	experiment	code	report	commit	notes
01	dict-analyze: per-token/transition metrics	N/A - pipeline infra	cmd/dict-analyze	README.md	NOT VERIFIED IN THIS PASS
02	structural-analyze: structural rankings/similarity groups	N/A - pipeline infra	cmd/structural-analyze	README.md	NOT VERIFIED IN THIS PASS
03	sequence-analyze: exact n-gram sequence analysis	N/A - pipeline infra	cmd/sequence-analyze	README.md	NOT VERIFIED IN THIS PASS
03-01	sequence-analyze follow-up/variant	N/A - pipeline infra	cmd/sequence-analyze	README.md	NOT VERIFIED IN THIS PASS	tasks/task03-01.txt exists alongside task03.txt; relationship not re-verified in this pass
04	structural-normalize + normalization-compare: complete-link normalization experiment	N/A - pipeline infra	cmd/structural-normalize, cmd/normalization-compare	README.md	NOT VERIFIED IN THIS PASS
05	structural-validate: out-of-sample validation of normalization	N/A - pipeline infra	cmd/structural-validate	README.md	NOT VERIFIED IN THIS PASS
06	structural-profile-stability: profile/similarity/neighbor instability	N/A - pipeline infra	cmd/structural-profile-stability	README.md	NOT VERIFIED IN THIS PASS
07	structural-reliability: reliability of structural profile components	N/A - pipeline infra	cmd/structural-reliability	README.md	NOT VERIFIED IN THIS PASS
08	begin-end-analyze: directed long-range pair candidates	N/A - pipeline infra	cmd/begin-end-analyze	README.md	NOT VERIFIED IN THIS PASS
09	soft-structural-space: reliability-aware continuous pair space	N/A - pipeline infra	cmd/soft-structural-space	README.md	NOT VERIFIED IN THIS PASS
10	structural-graphemic: structural vs graphemic edit-distance	N/A - pipeline infra	cmd/structural-graphemic	README.md	NOT VERIFIED IN THIS PASS
11	structural-pair-decompose: explaining distant pairs via context/controls	N/A - pipeline infra	cmd/structural-pair-decompose	cmd/structural-pair-decompose/STAGE13_STRUCTURAL_PAIR_DECOMPOSE_AUDIT.md	NOT VERIFIED IN THIS PASS
12	next level of structural dependency analysis	N/A - pipeline infra	NOT VERIFIED IN THIS PASS (candidate: cmd/distance-context-analyze)	README.md	NOT VERIFIED IN THIS PASS	exact stage attribution for task12 vs task13 not independently re-verified; grep confirms the literal string 'distance-context-analyze' first appears in tasks/task13.txt, not task12.txt
13	whether long-range dependencies hold better at structurally-close-group level	N/A - pipeline infra	cmd/distance-context-analyze (grep-confirmed introduction)	README.md	NOT VERIFIED IN THIS PASS
14	property-trajectory-analyze: trajectories of internal formal token properties	N/A - pipeline infra	cmd/property-trajectory-analyze	README.md	NOT VERIFIED IN THIS PASS	literal string 'property-trajectory-analyze' not found via grep in any tasks/*.txt file; attribution to task14 is from this task's own title only
15	local-regime-analyze: local-regime / non-stationarity analysis	N/A - pipeline infra	cmd/local-regime-analyze	README.md	NOT VERIFIED IN THIS PASS	grep finds the literal CLI name first in tasks/task50.txt, a later audit task, not here; task15's own title is the basis for this attribution
16	global-regime-analyze: global distributional regime discovery	N/A - pipeline infra	cmd/global-regime-analyze	README.md	NOT VERIFIED IN THIS PASS
17	metadata-validate: blind metadata validation for frozen discovery	N/A - pipeline infra	cmd/metadata-validate	README.md	NOT VERIFIED IN THIS PASS
18	cluster-metadata-global: global multiple-comparison permutation validation	N/A - pipeline infra	cmd/cluster-metadata-global	README.md	NOT VERIFIED IN THIS PASS	grep finds the literal CLI name first in tasks/task43.txt; task18's own title is the basis for this attribution
19	conditional-regime-analyze: residual structure after controlling for metadata	N/A - pipeline infra	cmd/conditional-regime-analyze	README.md	NOT VERIFIED IN THIS PASS
20	residual-diagnostic-analyze	N/A - pipeline infra	cmd/residual-diagnostic-analyze	README.md	NOT VERIFIED IN THIS PASS
