current_path	category	used_by	scientific_dependency	proposed_path	action	notes
main.go (root)	ANALYSIS_PIPELINE (Stage1-28 CLI, REUSABLE_CLI)	pipeline-orchestrate (SourceDir cmd/voinich)	yes - dictionary generator	cmd/voinich	MOVED	Stage 'dict-gen' in pipeline-orchestrate/stages.go; SourceDir updated to 'voinich'
dict-analyze	ANALYSIS_PIPELINE (Stage1-28 CLI, REUSABLE_CLI)	pipeline-orchestrate	yes	cmd/dict-analyze	MOVED	Stage 'dict-analyze' in pipeline-orchestrate/stages.go; SourceDir updated to 'dict-analyze'
structural-analyze	ANALYSIS_PIPELINE (Stage1-28 CLI, REUSABLE_CLI)	pipeline-orchestrate; scripts/maintenance/run-full-analysis.sh	yes	cmd/structural-analyze	MOVED	Stage 'structural-analyze' in pipeline-orchestrate/stages.go; SourceDir updated to 'structural-analyze'
sequence-analyze	ANALYSIS_PIPELINE (Stage1-28 CLI, REUSABLE_CLI)	pipeline-orchestrate; run-full-analysis.sh; run-normalization-analysis.sh; vocabulary-growth-analyze (internal/sequenceanalyze)	yes	cmd/sequence-analyze	MOVED	Stage 'sequence-analyze' in pipeline-orchestrate/stages.go; SourceDir updated to 'sequence-analyze'
begin-end-analyze	ANALYSIS_PIPELINE (Stage1-28 CLI, REUSABLE_CLI)	pipeline-orchestrate; run-full-analysis.sh	yes	cmd/begin-end-analyze	MOVED	Stage 'begin-end-analyze' in pipeline-orchestrate/stages.go; SourceDir updated to 'begin-end-analyze'
structural-normalize	ANALYSIS_PIPELINE (Stage1-28 CLI, REUSABLE_CLI)	pipeline-orchestrate; run-normalization-analysis.sh	yes	cmd/structural-normalize	MOVED	Stage 'structural-normalize' in pipeline-orchestrate/stages.go; SourceDir updated to 'structural-normalize'
normalization-compare	ANALYSIS_PIPELINE (Stage1-28 CLI, REUSABLE_CLI)	pipeline-orchestrate; run-normalization-analysis.sh	yes	cmd/normalization-compare	MOVED	Stage 'normalization-compare' in pipeline-orchestrate/stages.go; SourceDir updated to 'normalization-compare'
structural-validate	ANALYSIS_PIPELINE (Stage1-28 CLI, REUSABLE_CLI)	pipeline-orchestrate; run-full-analysis.sh	yes	cmd/structural-validate	MOVED	Stage 'structural-validate' in pipeline-orchestrate/stages.go; SourceDir updated to 'structural-validate'
structural-profile-stability	ANALYSIS_PIPELINE (Stage1-28 CLI, REUSABLE_CLI)	pipeline-orchestrate; run-full-analysis.sh	yes	cmd/structural-profile-stability	MOVED	Stage 'structural-profile-stability' in pipeline-orchestrate/stages.go; SourceDir updated to 'structural-profile-stability'
structural-reliability	ANALYSIS_PIPELINE (Stage1-28 CLI, REUSABLE_CLI)	pipeline-orchestrate; run-full-analysis.sh	yes	cmd/structural-reliability	MOVED	Stage 'structural-reliability' in pipeline-orchestrate/stages.go; SourceDir updated to 'structural-reliability'
soft-structural-space	ANALYSIS_PIPELINE (Stage1-28 CLI, REUSABLE_CLI)	pipeline-orchestrate; run-full-analysis.sh	yes	cmd/soft-structural-space	MOVED	Stage 'soft-structural-space' in pipeline-orchestrate/stages.go; SourceDir updated to 'soft-structural-space'
structural-graphemic	ANALYSIS_PIPELINE (Stage1-28 CLI, REUSABLE_CLI)	pipeline-orchestrate; run-full-analysis.sh	yes	cmd/structural-graphemic	MOVED	Stage 'structural-graphemic' in pipeline-orchestrate/stages.go; SourceDir updated to 'structural-graphemic'
structural-pair-decompose	ANALYSIS_PIPELINE (Stage1-28 CLI, REUSABLE_CLI)	pipeline-orchestrate; run-full-analysis.sh	yes	cmd/structural-pair-decompose	MOVED	Stage 'structural-pair-decompose' in pipeline-orchestrate/stages.go; SourceDir updated to 'structural-pair-decompose'
distance-context-analyze	ANALYSIS_PIPELINE (Stage1-28 CLI, REUSABLE_CLI)	pipeline-orchestrate	yes	cmd/distance-context-analyze	MOVED	Stage 'distance-context-analyze' in pipeline-orchestrate/stages.go; SourceDir updated to 'distance-context-analyze'
local-regime-analyze	ANALYSIS_PIPELINE (Stage1-28 CLI, REUSABLE_CLI)	pipeline-orchestrate	yes	cmd/local-regime-analyze	MOVED	Stage 'local-regime-analyze' in pipeline-orchestrate/stages.go; SourceDir updated to 'local-regime-analyze'
property-trajectory-analyze	ANALYSIS_PIPELINE (Stage1-28 CLI, REUSABLE_CLI)	pipeline-orchestrate	yes	cmd/property-trajectory-analyze	MOVED	Stage 'property-trajectory-analyze' in pipeline-orchestrate/stages.go; SourceDir updated to 'property-trajectory-analyze'
structural-projection-analyze	ANALYSIS_PIPELINE (Stage1-28 CLI, REUSABLE_CLI)	pipeline-orchestrate	yes	cmd/structural-projection-analyze	MOVED	Stage 'structural-projection-analyze' in pipeline-orchestrate/stages.go; SourceDir updated to 'structural-projection-analyze'
global-regime-analyze	ANALYSIS_PIPELINE (Stage1-28 CLI, REUSABLE_CLI)	pipeline-orchestrate	yes	cmd/global-regime-analyze	MOVED	Stage 'global-regime-analyze' in pipeline-orchestrate/stages.go; SourceDir updated to 'global-regime-analyze'
metadata-validate	ANALYSIS_PIPELINE (Stage1-28 CLI, REUSABLE_CLI)	pipeline-orchestrate	yes - Class A, RequiresMetadata	cmd/metadata-validate	MOVED	Stage 'metadata-validate' in pipeline-orchestrate/stages.go; SourceDir updated to 'metadata-validate'
