job_id	stage	model_class	candidate_id	corpus	transcription	partition	status	failure_class
job-000001	CALIBRATION	M0	M0-001	MFC0	P01	CALIBRATION	OK	
job-000002	CALIBRATION	M0	M0-002	MFC0	P01	CALIBRATION	OK	
job-000003	CALIBRATION	M0	M0-003	MFC0	P01	CALIBRATION	OK	
job-000004	CALIBRATION	M1	M1-001	MFC0	P01	CALIBRATION	OK	
job-000005	CALIBRATION	M1	M1-002	MFC0	P01	CALIBRATION	OK	
job-000006	CALIBRATION	M1	M1-003	MFC0	P01	CALIBRATION	OK	
job-000007	CALIBRATION	M1	M1-004	MFC0	P01	CALIBRATION	OK	
job-000008	CALIBRATION	M1	M1-005	MFC0	P01	CALIBRATION	OK	
job-000009	CALIBRATION	M1	M1-006	MFC0	P01	CALIBRATION	OK	
job-000010	CALIBRATION	M1	M1-007	MFC0	P01	CALIBRATION	OK	
job-000011	CALIBRATION	M1	M1-008	MFC0	P01	CALIBRATION	OK	
job-000012	CALIBRATION	M1	M1-009	MFC0	P01	CALIBRATION	OK	
job-000013	CALIBRATION	M1	M1-010	MFC0	P01	CALIBRATION	OK	
job-000014	CALIBRATION	M1	M1-011	MFC0	P01	CALIBRATION	OK	
job-000015	CALIBRATION	M1	M1-012	MFC0	P01	CALIBRATION	OK	
job-000016	CALIBRATION	M1	M1-013	MFC0	P01	CALIBRATION	OK	
job-000017	CALIBRATION	M1	M1-014	MFC0	P01	CALIBRATION	OK	
job-000018	CALIBRATION	M1	M1-015	MFC0	P01	CALIBRATION	OK	
job-000019	CALIBRATION	M1	M1-016	MFC0	P01	CALIBRATION	OK	
job-000020	CALIBRATION	M1	M1-017	MFC0	P01	CALIBRATION	OK	
job-000021	CALIBRATION	M1	M1-018	MFC0	P01	CALIBRATION	OK	
job-000022	CALIBRATION	M2	M2-001	MFC0	P01	CALIBRATION	OK	
job-000023	CALIBRATION	M2	M2-002	MFC0	P01	CALIBRATION	OK	
job-000024	CALIBRATION	M2	M2-003	MFC0	P01	CALIBRATION	OK	
job-000025	CALIBRATION	M2	M2-004	MFC0	P01	CALIBRATION	OK	
job-000026	CALIBRATION	M2	M2-005	MFC0	P01	CALIBRATION	OK	
job-000027	CALIBRATION	M2	M2-006	MFC0	P01	CALIBRATION	OK	
job-000028	CALIBRATION	M2	M2-007	MFC0	P01	CALIBRATION	OK	
job-000029	CALIBRATION	M2	M2-008	MFC0	P01	CALIBRATION	OK	
job-000030	CALIBRATION	M2	M2-009	MFC0	P01	CALIBRATION	OK	
job-000031	CALIBRATION	M3	M3-001	MFC0	P01	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
