transcription	model_class	candidate_id	metric	median_generated_scale1	heldout_value	distance	threshold	pass
ZL3b	M0	M0-003	EF1_GIANT_COMPONENT_SHARE	0.8048470749	0.8308014667	0.02595439181	0.0406036993	TRUE
ZL3b	M0	M0-003	EF1_ISOLATE_SHARE	0.1642602747	0.1356731273	0.02858714744	0.0389453873	TRUE
ZL3b	M0	M0-003	EF2_GLOBAL_CLUSTERING	0.3374954067	0.322155994	0.0153394127	0.0109570499	FALSE
ZL3b	M0	M0-003	EF3_DEGREE_FREQUENCY_SPEARMAN	0.4476922179	0.6097712022	0.1620789843	0.06668225951	FALSE
ZL3b	M0	M0-003	LP1_RULE_SUPPORT_GINI	0.6983012121	0.6934971393	0.0048040728	0.05818470018	TRUE
ZL3b	M0	M0-003	LP4_PREFIX_ATTACHMENT_NMI	0.3807017347	0.3824071897	0.00170545495	0.00823182654	TRUE
ZL3b	M0	M0-003	LP4_SUFFIX_ATTACHMENT_NMI	0.3303179729	0.3280313038	0.002286669197	0.007919939967	TRUE
ZL3b	M1	M1-009	EF1_GIANT_COMPONENT_SHARE	0.7489375793	0.8308014667	0.08186388745	0.05030953303	FALSE
ZL3b	M1	M1-009	EF1_ISOLATE_SHARE	0.2174380288	0.1356731273	0.08176490156	0.03716286017	FALSE
ZL3b	M1	M1-009	EF2_GLOBAL_CLUSTERING	0.357686883	0.322155994	0.03553088898	0.01976730696	FALSE
ZL3b	M1	M1-009	EF3_DEGREE_FREQUENCY_SPEARMAN	0.6070382339	0.6097712022	0.002732968283	0.05168546662	TRUE
ZL3b	M1	M1-009	LP1_RULE_SUPPORT_GINI	0.6868680954	0.6934971393	0.006629043921	0.03345107657	TRUE
ZL3b	M1	M1-009	LP4_PREFIX_ATTACHMENT_NMI	0.3864845052	0.3824071897	0.004077315513	0.008777499753	TRUE
ZL3b	M1	M1-009	LP4_SUFFIX_ATTACHMENT_NMI	0.3401597829	0.3280313038	0.01212847911	0.007258171159	FALSE
ZL3b	M2	M2-003	EF1_GIANT_COMPONENT_SHARE	0.7079844864	0.8308014667	0.1228169803	0.03574785674	FALSE
ZL3b	M2	M2-003	EF1_ISOLATE_SHARE	0.2687602022	0.1356731273	0.1330870749	0.03730579318	FALSE
ZL3b	M2	M2-003	EF2_GLOBAL_CLUSTERING	0.362900976	0.322155994	0.040744982	0.0214336569	FALSE
ZL3b	M2	M2-003	EF3_DEGREE_FREQUENCY_SPEARMAN	0.5905764099	0.6097712022	0.01919479231	0.03744209367	TRUE
ZL3b	M2	M2-003	LP1_RULE_SUPPORT_GINI	0.6780526219	0.6934971393	0.01544451737	0.0437005777	TRUE
ZL3b	M2	M2-003	LP4_PREFIX_ATTACHMENT_NMI	0.3937716328	0.3824071897	0.0113644431	0.007730305933	FALSE
ZL3b	M2	M2-003	LP4_SUFFIX_ATTACHMENT_NMI	0.3448253394	0.3280313038	0.01679403561	0.007835794155	FALSE
ZL3b	M5	M5-001	EF1_GIANT_COMPONENT_SHARE	0.8204323151	0.8308014667	0.01036915162	0.05474322605	TRUE
ZL3b	M5	M5-001	EF1_ISOLATE_SHARE	0.1509305493	0.1356731273	0.01525742196	0.02848609043	TRUE
ZL3b	M5	M5-001	EF2_GLOBAL_CLUSTERING	0.3536632536	0.322155994	0.03150725961	0.02228590271	FALSE
ZL3b	M5	M5-001	EF3_DEGREE_FREQUENCY_SPEARMAN	0.4906258301	0.6097712022	0.1191453721	0.08474951297	FALSE
ZL3b	M5	M5-001	LP1_RULE_SUPPORT_GINI	0.6944907788	0.6934971393	0.0009936395253	0.05142713786	TRUE
ZL3b	M5	M5-001	LP4_PREFIX_ATTACHMENT_NMI	0.3799313176	0.3824071897	0.002475872115	0.01000388932	TRUE
ZL3b	M5	M5-001	LP4_SUFFIX_ATTACHMENT_NMI	0.3171821537	0.3280313038	0.01084915008	0.008303653233	FALSE
IT2a	M0	M0-003	EF1_GIANT_COMPONENT_SHARE	0.8191012634	0.8497354497	0.03063418633	0.0406036993	TRUE
IT2a	M0	M0-003	EF1_ISOLATE_SHARE	0.1627173491	0.1259259259	0.03679142316	0.0389453873	TRUE
IT2a	M0	M0-003	EF2_GLOBAL_CLUSTERING	0.3183497894	0.3165660558	0.001783733668	0.0109570499	TRUE
IT2a	M0	M0-003	EF3_DEGREE_FREQUENCY_SPEARMAN	0.4373159332	0.6043162383	0.1670003051	0.06668225951	FALSE
IT2a	M0	M0-003	LP1_RULE_SUPPORT_GINI	0.6928986305	0.6824979821	0.01040064835	0.05818470018	TRUE
IT2a	M0	M0-003	LP4_PREFIX_ATTACHMENT_NMI	0.3700861558	0.3754070306	0.005320874853	0.00823182654	TRUE
IT2a	M0	M0-003	LP4_SUFFIX_ATTACHMENT_NMI	0.3107255225	0.3161310959	0.005405573393	0.007919939967	TRUE
IT2a	M1	M1-009	EF1_GIANT_COMPONENT_SHARE	0.755409449	0.8497354497	0.09432600069	0.05030953303	FALSE
IT2a	M1	M1-009	EF1_ISOLATE_SHARE	0.2203477812	0.1259259259	0.0944218553	0.03716286017	FALSE
IT2a	M1	M1-009	EF2_GLOBAL_CLUSTERING	0.3439561362	0.3165660558	0.02739008043	0.01976730696	FALSE
IT2a	M1	M1-009	EF3_DEGREE_FREQUENCY_SPEARMAN	0.6077075035	0.6043162383	0.003391265274	0.05168546662	TRUE
IT2a	M1	M1-009	LP1_RULE_SUPPORT_GINI	0.6809416511	0.6824979821	0.001556331039	0.03345107657	TRUE
IT2a	M1	M1-009	LP4_PREFIX_ATTACHMENT_NMI	0.3769535019	0.3754070306	0.001546471311	0.008777499753	TRUE
IT2a	M1	M1-009	LP4_SUFFIX_ATTACHMENT_NMI	0.3218496234	0.3161310959	0.00571852748	0.007258171159	TRUE
IT2a	M2	M2-003	EF1_GIANT_COMPONENT_SHARE	0.7074597324	0.8497354497	0.1422757174	0.03574785674	FALSE
IT2a	M2	M2-003	EF1_ISOLATE_SHARE	0.2693484846	0.1259259259	0.1434225586	0.03730579318	FALSE
IT2a	M2	M2-003	EF2_GLOBAL_CLUSTERING	0.3479782489	0.3165660558	0.0314121931	0.0214336569	FALSE
IT2a	M2	M2-003	EF3_DEGREE_FREQUENCY_SPEARMAN	0.590255191	0.6043162383	0.01406104723	0.03744209367	TRUE
IT2a	M2	M2-003	LP1_RULE_SUPPORT_GINI	0.6764600899	0.6824979821	0.00603789224	0.0437005777	TRUE
IT2a	M2	M2-003	LP4_PREFIX_ATTACHMENT_NMI	0.3865292739	0.3754070306	0.01112224328	0.007730305933	FALSE
IT2a	M2	M2-003	LP4_SUFFIX_ATTACHMENT_NMI	0.3285165687	0.3161310959	0.01238547284	0.007835794155	FALSE
IT2a	M5	M5-001	EF1_GIANT_COMPONENT_SHARE	0.8343978347	0.8497354497	0.01533761501	0.05474322605	TRUE
IT2a	M5	M5-001	EF1_ISOLATE_SHARE	0.1470586504	0.1259259259	0.0211327245	0.02848609043	TRUE
IT2a	M5	M5-001	EF2_GLOBAL_CLUSTERING	0.3350209134	0.3165660558	0.01845485764	0.02228590271	TRUE
IT2a	M5	M5-001	EF3_DEGREE_FREQUENCY_SPEARMAN	0.4922254033	0.6043162383	0.1120908349	0.08474951297	FALSE
IT2a	M5	M5-001	LP1_RULE_SUPPORT_GINI	0.6895187324	0.6824979821	0.007020750264	0.05142713786	TRUE
IT2a	M5	M5-001	LP4_PREFIX_ATTACHMENT_NMI	0.3695691956	0.3754070306	0.005837835042	0.01000388932	TRUE
IT2a	M5	M5-001	LP4_SUFFIX_ATTACHMENT_NMI	0.2977874578	0.3161310959	0.01834363807	0.008303653233	FALSE
