model_class	metric	stability
M0	PM1	TRANSCRIPTION_STABLE
M0	PM2	TRANSCRIPTION_STABLE
M0	PM4	TRANSCRIPTION_STABLE
M0	PM5	TRANSCRIPTION_STABLE
M0	PM6	TRANSCRIPTION_STABLE
M0	EDIT_FAMILY	DIRECTION_STABLE
M0	LEXICAL_FAMILY	TRANSCRIPTION_STABLE
M1	PM1	TRANSCRIPTION_STABLE
M1	PM2	TRANSCRIPTION_STABLE
M1	PM4	TRANSCRIPTION_STABLE
M1	PM5	DIRECTION_STABLE
M1	PM6	TRANSCRIPTION_STABLE
M1	EDIT_FAMILY	TRANSCRIPTION_STABLE
M1	LEXICAL_FAMILY	DIRECTION_STABLE
M2	PM1	TRANSCRIPTION_STABLE
M2	PM2	TRANSCRIPTION_STABLE
M2	PM4	TRANSCRIPTION_STABLE
M2	PM5	DIRECTION_STABLE
M2	PM6	TRANSCRIPTION_STABLE
M2	EDIT_FAMILY	TRANSCRIPTION_STABLE
M2	LEXICAL_FAMILY	TRANSCRIPTION_STABLE
M3	PM1	
M3	PM2	
M3	PM4	
M3	PM5	
M3	PM6	
M3	EDIT_FAMILY	
M3	LEXICAL_FAMILY	
M4	PM1	
M4	PM2	
M4	PM4	
M4	PM5	
M4	PM6	
M4	EDIT_FAMILY	
M4	LEXICAL_FAMILY	
M5	PM1	TRANSCRIPTION_SENSITIVE
M5	PM2	TRANSCRIPTION_SENSITIVE
M5	PM4	DIRECTION_STABLE
M5	PM5	TRANSCRIPTION_STABLE
M5	PM6	TRANSCRIPTION_STABLE
M5	EDIT_FAMILY	DIRECTION_STABLE
M5	LEXICAL_FAMILY	TRANSCRIPTION_STABLE
