transcription	model_class	candidate_id	scale	metric	median_generated	cv
ZL3b	M0	M0-003	0.5	EF1_GIANT_COMPONENT_SHARE	0.7672113262	0.01401929263
ZL3b	M0	M0-003	0.5	EF1_ISOLATE_SHARE	0.1959810371	0.04775855686
ZL3b	M0	M0-003	0.5	EF2_GLOBAL_CLUSTERING	0.3500702151	0.05221567529
ZL3b	M0	M0-003	0.5	EF3_DEGREE_FREQUENCY_SPEARMAN	0.4614890696	0.03722808058
ZL3b	M0	M0-003	0.5	LP1_RULE_SUPPORT_GINI	0.6386265101	0.007853317193
ZL3b	M0	M0-003	0.5	LP4_PREFIX_ATTACHMENT_NMI	0.41313789	0.01383971286
ZL3b	M0	M0-003	0.5	LP4_SUFFIX_ATTACHMENT_NMI	0.3552394397	0.01851409093
ZL3b	M0	M0-003	1	EF1_GIANT_COMPONENT_SHARE	0.8048470749	0.01017528994
ZL3b	M0	M0-003	1	EF1_ISOLATE_SHARE	0.1642602747	0.03650721547
ZL3b	M0	M0-003	1	EF2_GLOBAL_CLUSTERING	0.3374954067	0.02846410684
ZL3b	M0	M0-003	1	EF3_DEGREE_FREQUENCY_SPEARMAN	0.4476922179	0.03503836314
ZL3b	M0	M0-003	1	LP1_RULE_SUPPORT_GINI	0.6983012121	0.005886363298
ZL3b	M0	M0-003	1	LP4_PREFIX_ATTACHMENT_NMI	0.3807017347	0.008323603646
ZL3b	M0	M0-003	1	LP4_SUFFIX_ATTACHMENT_NMI	0.3303179729	0.009294395097
ZL3b	M0	M0-003	2	EF1_GIANT_COMPONENT_SHARE	0.8318354745	0.006298420173
ZL3b	M0	M0-003	2	EF1_ISOLATE_SHARE	0.1428380344	0.03034833909
ZL3b	M0	M0-003	2	EF2_GLOBAL_CLUSTERING	0.319599275	0.01878226358
ZL3b	M0	M0-003	2	EF3_DEGREE_FREQUENCY_SPEARMAN	0.4174630486	0.03275448048
ZL3b	M0	M0-003	2	LP1_RULE_SUPPORT_GINI	0.7419667466	0.004914803751
ZL3b	M0	M0-003	2	LP4_PREFIX_ATTACHMENT_NMI	0.3556152525	0.00588725668
ZL3b	M0	M0-003	2	LP4_SUFFIX_ATTACHMENT_NMI	0.3102100899	0.006274837655
ZL3b	M1	M1-009	0.5	EF1_GIANT_COMPONENT_SHARE	0.7389991044	0.01820235399
ZL3b	M1	M1-009	0.5	EF1_ISOLATE_SHARE	0.2295803504	0.04830516042
ZL3b	M1	M1-009	0.5	EF2_GLOBAL_CLUSTERING	0.3868792766	0.04335158794
ZL3b	M1	M1-009	0.5	EF3_DEGREE_FREQUENCY_SPEARMAN	0.5797319337	0.0278782099
ZL3b	M1	M1-009	0.5	LP1_RULE_SUPPORT_GINI	0.6314814056	0.008400000996
ZL3b	M1	M1-009	0.5	LP4_PREFIX_ATTACHMENT_NMI	0.4150953902	0.01152232052
ZL3b	M1	M1-009	0.5	LP4_SUFFIX_ATTACHMENT_NMI	0.3655178519	0.01730087722
ZL3b	M1	M1-009	1	EF1_GIANT_COMPONENT_SHARE	0.7489375793	0.01625490974
ZL3b	M1	M1-009	1	EF1_ISOLATE_SHARE	0.2174380288	0.05192264747
ZL3b	M1	M1-009	1	EF2_GLOBAL_CLUSTERING	0.357686883	0.01915444747
ZL3b	M1	M1-009	1	EF3_DEGREE_FREQUENCY_SPEARMAN	0.6070382339	0.02182794472
ZL3b	M1	M1-009	1	LP1_RULE_SUPPORT_GINI	0.6868680954	0.005669267303
ZL3b	M1	M1-009	1	LP4_PREFIX_ATTACHMENT_NMI	0.3864845052	0.00928482842
ZL3b	M1	M1-009	1	LP4_SUFFIX_ATTACHMENT_NMI	0.3401597829	0.01204327906
ZL3b	M1	M1-009	2	EF1_GIANT_COMPONENT_SHARE	0.754201078	0.006951880628
ZL3b	M1	M1-009	2	EF1_ISOLATE_SHARE	0.2122541648	0.02401516389
ZL3b	M1	M1-009	2	EF2_GLOBAL_CLUSTERING	0.3366768614	0.008079085918
ZL3b	M1	M1-009	2	EF3_DEGREE_FREQUENCY_SPEARMAN	0.6247464863	0.01750735218
ZL3b	M1	M1-009	2	LP1_RULE_SUPPORT_GINI	0.7328610477	0.004471507963
ZL3b	M1	M1-009	2	LP4_PREFIX_ATTACHMENT_NMI	0.3637224918	0.007913424505
ZL3b	M1	M1-009	2	LP4_SUFFIX_ATTACHMENT_NMI	0.3206376305	0.008847659898
ZL3b	M2	M2-003	0.5	EF1_GIANT_COMPONENT_SHARE	0.701204897	0.02109934899
ZL3b	M2	M2-003	0.5	EF1_ISOLATE_SHARE	0.2717465868	0.0484492004
ZL3b	M2	M2-003	0.5	EF2_GLOBAL_CLUSTERING	0.3751833642	0.04461505766
ZL3b	M2	M2-003	0.5	EF3_DEGREE_FREQUENCY_SPEARMAN	0.574562456	0.02660323859
ZL3b	M2	M2-003	0.5	LP1_RULE_SUPPORT_GINI	0.6196491354	0.008421972761
ZL3b	M2	M2-003	0.5	LP4_PREFIX_ATTACHMENT_NMI	0.4222445975	0.01205191251
ZL3b	M2	M2-003	0.5	LP4_SUFFIX_ATTACHMENT_NMI	0.3656614925	0.01398892099
ZL3b	M2	M2-003	1	EF1_GIANT_COMPONENT_SHARE	0.7079844864	0.01662133467
ZL3b	M2	M2-003	1	EF1_ISOLATE_SHARE	0.2687602022	0.03599507646
ZL3b	M2	M2-003	1	EF2_GLOBAL_CLUSTERING	0.362900976	0.02993303055
ZL3b	M2	M2-003	1	EF3_DEGREE_FREQUENCY_SPEARMAN	0.5905764099	0.01443849478
ZL3b	M2	M2-003	1	LP1_RULE_SUPPORT_GINI	0.6780526219	0.006213461284
ZL3b	M2	M2-003	1	LP4_PREFIX_ATTACHMENT_NMI	0.3937716328	0.009696207321
ZL3b	M2	M2-003	1	LP4_SUFFIX_ATTACHMENT_NMI	0.3448253394	0.01223069363
ZL3b	M2	M2-003	2	EF1_GIANT_COMPONENT_SHARE	0.7179701749	0.01302652322
ZL3b	M2	M2-003	2	EF1_ISOLATE_SHARE	0.2612849384	0.03025001616
ZL3b	M2	M2-003	2	EF2_GLOBAL_CLUSTERING	0.3455548518	0.0220550628
ZL3b	M2	M2-003	2	EF3_DEGREE_FREQUENCY_SPEARMAN	0.6033731275	0.01266315674
ZL3b	M2	M2-003	2	LP1_RULE_SUPPORT_GINI	0.7256588221	0.004745239634
ZL3b	M2	M2-003	2	LP4_PREFIX_ATTACHMENT_NMI	0.3686326566	0.007428709472
ZL3b	M2	M2-003	2	LP4_SUFFIX_ATTACHMENT_NMI	0.3223973791	0.009854194371
ZL3b	M5	M5-001	0.5	EF1_GIANT_COMPONENT_SHARE	0.7960304666	0.01078860985
ZL3b	M5	M5-001	0.5	EF1_ISOLATE_SHARE	0.1721665526	0.05609151054
ZL3b	M5	M5-001	0.5	EF2_GLOBAL_CLUSTERING	0.3649955298	0.03663766367
ZL3b	M5	M5-001	0.5	EF3_DEGREE_FREQUENCY_SPEARMAN	0.4989053999	0.02809048579
ZL3b	M5	M5-001	0.5	LP1_RULE_SUPPORT_GINI	0.640185901	0.006674655868
ZL3b	M5	M5-001	0.5	LP4_PREFIX_ATTACHMENT_NMI	0.41166974	0.01299146065
ZL3b	M5	M5-001	0.5	LP4_SUFFIX_ATTACHMENT_NMI	0.3339413737	0.01649616727
ZL3b	M5	M5-001	1	EF1_GIANT_COMPONENT_SHARE	0.8204323151	0.00978480602
ZL3b	M5	M5-001	1	EF1_ISOLATE_SHARE	0.1509305493	0.05082614161
ZL3b	M5	M5-001	1	EF2_GLOBAL_CLUSTERING	0.3536632536	0.03444738321
ZL3b	M5	M5-001	1	EF3_DEGREE_FREQUENCY_SPEARMAN	0.4906258301	0.02887215506
ZL3b	M5	M5-001	1	LP1_RULE_SUPPORT_GINI	0.6944907788	0.006405742294
ZL3b	M5	M5-001	1	LP4_PREFIX_ATTACHMENT_NMI	0.3799313176	0.007731418586
ZL3b	M5	M5-001	1	LP4_SUFFIX_ATTACHMENT_NMI	0.3171821537	0.01371858236
ZL3b	M5	M5-001	2	EF1_GIANT_COMPONENT_SHARE	0.8442009267	0.006198237189
ZL3b	M5	M5-001	2	EF1_ISOLATE_SHARE	0.1329588343	0.04170504523
ZL3b	M5	M5-001	2	EF2_GLOBAL_CLUSTERING	0.3384340543	0.01656304126
ZL3b	M5	M5-001	2	EF3_DEGREE_FREQUENCY_SPEARMAN	0.4590632645	0.02231891733
ZL3b	M5	M5-001	2	LP1_RULE_SUPPORT_GINI	0.7352374704	0.004903260776
ZL3b	M5	M5-001	2	LP4_PREFIX_ATTACHMENT_NMI	0.354049563	0.007297606604
ZL3b	M5	M5-001	2	LP4_SUFFIX_ATTACHMENT_NMI	0.2995864875	0.008561567008
IT2a	M0	M0-003	0.5	EF1_GIANT_COMPONENT_SHARE	0.783349097	0.01544509183
IT2a	M0	M0-003	0.5	EF1_ISOLATE_SHARE	0.1908495493	0.0565383977
IT2a	M0	M0-003	0.5	EF2_GLOBAL_CLUSTERING	0.3318465553	0.03670185775
IT2a	M0	M0-003	0.5	EF3_DEGREE_FREQUENCY_SPEARMAN	0.460076227	0.04844254356
IT2a	M0	M0-003	0.5	LP1_RULE_SUPPORT_GINI	0.6353316635	0.0101560407
IT2a	M0	M0-003	0.5	LP4_PREFIX_ATTACHMENT_NMI	0.4031377482	0.008982336368
IT2a	M0	M0-003	0.5	LP4_SUFFIX_ATTACHMENT_NMI	0.3373653475	0.01612414899
IT2a	M0	M0-003	1	EF1_GIANT_COMPONENT_SHARE	0.8191012634	0.01054013476
IT2a	M0	M0-003	1	EF1_ISOLATE_SHARE	0.1627173491	0.04780052197
IT2a	M0	M0-003	1	EF2_GLOBAL_CLUSTERING	0.3183497894	0.01765195335
IT2a	M0	M0-003	1	EF3_DEGREE_FREQUENCY_SPEARMAN	0.4373159332	0.02790955553
