transcription	model_class	candidate_id	parameters_json	validation_pm1	validation_pm2	validation_pm4	validation_pm5	validation_pm6	structure_cost	lexicon_cost	exception_cost	complexity	failure_status	selected_for_confirmatory
ZL3b	M0	M0-003	{"alpha":1}	78426.94368	10.60827048	3.009238362e-05	0.002114273859	NOT_APPLICABLE	7.5	89728.33643	0	89735.83643	OK	TRUE
ZL3b	M1	M1-009	{"alpha":0.5,"order":3}	85584.46963	2.311969032	9.281839042e-06	0.01416830921	NOT_APPLICABLE	8166.618032	399.6950491	0	8566.313081	OK	TRUE
ZL3b	M2	M2-003	{"max_depth":2,"min_context_count":4}	84720.61758	2.288633032	9.15253792e-06	0.01404010348	NOT_APPLICABLE	5346.82684	399.6950491	0	5746.521889	OK	TRUE
ZL3b	M3	M3-009	{"max_states":256,"merge_js_threshold":0.1}	NaN	NaN	NaN	NaN	NOT_APPLICABLE	NaN	NaN	NaN	NaN	TRAINING_FAILED: induction operation cap exceeded	FALSE
ZL3b	M4	M4-027	{"alpha":0.5,"max_states":256,"merge_js_threshold":0.1}	NaN	NaN	NaN	NaN	NOT_APPLICABLE	NaN	NaN	NaN	NaN	TRAINING_FAILED: induction operation cap exceeded	FALSE
ZL3b	M5	M5-001	{"inventory_cap":64,"min_support":2,"slot_count":2}	+Inf	+Inf	9.729954703e-06	0.01001744897	NOT_APPLICABLE	78.75951928	4165.157793	84242.95161	88486.86892	OK	TRUE
IT2a	M0	M0-003	{"alpha":1}	76679.18812	10.6336414	3.127345509e-05	0.001916493361	NOT_APPLICABLE	7.5	87340.08625	0	87347.58625	OK	TRUE
IT2a	M1	M1-009	{"alpha":0.5,"order":3}	83897.33142	2.284288048	1.02582594e-05	0.01173612559	NOT_APPLICABLE	6653.68038	241.1006378	0	6894.781018	OK	TRUE
IT2a	M2	M2-003	{"max_depth":2,"min_context_count":4}	83008.89228	2.260098352	9.999905904e-06	0.01137630904	NOT_APPLICABLE	4652.273788	241.1006378	0	4893.374426	OK	TRUE
IT2a	M3	M3-009	{"max_states":256,"merge_js_threshold":0.1}	NaN	NaN	NaN	NaN	NOT_APPLICABLE	NaN	NaN	NaN	NaN	TRAINING_FAILED: induction operation cap exceeded	FALSE
IT2a	M4	M4-027	{"alpha":0.5,"max_states":256,"merge_js_threshold":0.1}	NaN	NaN	NaN	NaN	NOT_APPLICABLE	NaN	NaN	NaN	NaN	TRAINING_FAILED: induction operation cap exceeded	FALSE
IT2a	M5	M5-001	{"inventory_cap":64,"min_support":2,"slot_count":2}	+Inf	+Inf	1.027031424e-05	0.008818829624	NOT_APPLICABLE	82.84326089	4018.334658	82403.87633	86505.05425	OK	TRUE
