transcription	model_class	candidate_id	failure_class
ZL3b	M0	M0-003	NEGATIVE_EXHAUSTED
ZL3b	M0	M0-003	NUMERICALLY_UNSTABLE
ZL3b	M1	M1-009	NEGATIVE_EXHAUSTED
ZL3b	M1	M1-009	NUMERICALLY_UNSTABLE
ZL3b	M2	M2-003	NEGATIVE_EXHAUSTED
ZL3b	M3	M3-009	TRAINING_FAILED
ZL3b	M4	M4-027	TRAINING_FAILED
ZL3b	M5	M5-001	NEGATIVE_EXHAUSTED
ZL3b	M5	M5-001	NUMERICALLY_UNSTABLE
IT2a	M0	M0-003	NEGATIVE_EXHAUSTED
IT2a	M0	M0-003	NUMERICALLY_UNSTABLE
IT2a	M1	M1-009	NEGATIVE_EXHAUSTED
IT2a	M1	M1-009	NUMERICALLY_UNSTABLE
IT2a	M2	M2-003	NEGATIVE_EXHAUSTED
IT2a	M2	M2-003	NUMERICALLY_UNSTABLE
IT2a	M3	M3-009	TRAINING_FAILED
IT2a	M4	M4-027	TRAINING_FAILED
IT2a	M5	M5-001	NEGATIVE_EXHAUSTED
IT2a	M5	M5-001	NUMERICALLY_UNSTABLE
