block_a	block_b	edges_a	edges_b	intersection	edge_jaccard	degree_rank_correlation	scc_overlap
G0/generic#0	G1/generic#0	50	50	39	0.6393442623	0.7161839266	0
G0/generic#0	G2/generic#0	50	49	30	0.4347826087	0.5803715847	0
G0/generic#0	G3/generic#0	50	48	35	0.5555555556	0.6650803461	0
G0/generic#0	G0/generic#1	50	48	37	0.606557377	0.7228733031	0
G0/generic#0	G1/generic#1	50	42	29	0.4603174603	0.5854566184	0
G0/generic#0	G2/generic#1	50	33	23	0.3833333333	0.5256845537	0
G0/generic#0	G3/generic#1	50	40	30	0.5	0.6162110574	0
G0/generic#0	G0/generic#2	50	52	36	0.5454545455	0.6423700975	0
G0/generic#0	G1/generic#2	50	43	32	0.5245901639	0.6779311689	0
G0/generic#0	G2/generic#2	50	40	24	0.3636363636	0.5667825469	0
G0/generic#0	G3/generic#2	50	56	38	0.5588235294	0.7035721691	0
G0/generic#0	G0/generic#3	50	56	34	0.4722222222	0.6286963387	0
G0/generic#0	G1/generic#3	50	57	46	0.7540983607	0.8181815014	0
G0/generic#0	G2/generic#3	50	41	24	0.3582089552	0.5488427323	0
G0/generic#0	G3/generic#3	50	43	30	0.4761904762	0.6449614716	0
G0/generic#0	G0/generic#4	50	28	15	0.2380952381	0.456378974	0
G0/generic#0	G1/generic#4	50	43	35	0.6034482759	0.7088742093	0
G0/generic#0	G2/generic#4	50	48	30	0.4411764706	0.6284135917	0
G0/generic#0	G3/generic#4	50	49	34	0.5230769231	0.6704082122	0
G0/generic#0	G0/generic#5	50	35	23	0.3709677419	0.5908470472	0
G0/generic#0	G1/generic#5	50	35	32	0.6037735849	0.74380277	0
G0/generic#0	G2/generic#5	50	17	12	0.2181818182	0.4054345417	0
G0/generic#0	G3/generic#5	50	27	20	0.350877193	0.5691272086	0
G0/generic#0	G0/generic#6	50	55	42	0.6666666667	0.7583219145	0
G0/generic#0	G1/generic#6	50	47	37	0.6166666667	0.7105462702	0
G0/generic#0	G2/generic#6	50	32	28	0.5185185185	0.6924195421	0
G0/generic#0	G3/generic#6	50	19	16	0.3018867925	0.5098466446	0
G0/generic#0	G0/generic#7	50	32	23	0.3898305085	0.5582831821	0
G0/generic#0	G1/generic#7	50	40	26	0.40625	0.6129043553	0
G0/generic#0	G2/generic#7	50	26	17	0.2881355932	0.4946327789	0
G0/generic#0	G3/generic#7	50	21	14	0.2456140351	0.4528036843	0
G0/generic#0	G0/generic#8	50	37	27	0.45	0.5634698416	0
G0/generic#0	G1/generic#8	50	33	28	0.5090909091	0.6356490406	0
G0/generic#0	G2/generic#8	50	22	14	0.2413793103	0.4314480698	0
G0/generic#0	G3/generic#8	50	30	21	0.3559322034	0.5606588974	0
G0/generic#0	G0/generic#9	50	18	12	0.2142857143	0.4101608938	0
G0/generic#0	G1/generic#9	50	38	23	0.3538461538	0.4851171207	0
G0/generic#0	G2/generic#9	50	49	34	0.5230769231	0.633425762	0
G0/generic#0	G3/generic#9	50	40	29	0.4754098361	0.651876532	0
G0/generic#0	G0/generic#10	50	44	33	0.5409836066	0.6665382831	0
G0/generic#0	G1/generic#10	50	36	21	0.3230769231	0.4636254827	0
G0/generic#0	G2/generic#10	50	34	27	0.4736842105	0.6001146631	0
G0/generic#0	G3/generic#10	50	59	41	0.6029411765	0.7357948395	0
G0/generic#0	G0/generic#11	50	40	28	0.4516129032	0.6415547701	0
G0/generic#0	G1/generic#11	50	24	17	0.298245614	0.4865125944	0
G0/generic#0	G2/generic#11	50	43	30	0.4761904762	0.6287773042	0
G0/generic#0	G3/generic#11	50	53	36	0.5373134328	0.6750097608	0
G0/generic#0	G0/generic#12	50	62	38	0.5135135135	0.6560844689	0
G0/generic#0	G1/generic#12	50	36	28	0.4827586207	0.6318806327	0
G0/generic#0	G2/generic#12	50	37	26	0.4262295082	0.5833389588	0
G0/generic#0	G3/generic#12	50	60	39	0.5492957746	0.6518495732	0
G0/generic#0	G0/generic#13	50	55	38	0.5671641791	0.6746560541	0
G0/generic#0	G1/generic#13	50	57	42	0.6461538462	0.70695299	0
G0/generic#0	G2/generic#13	50	46	24	0.3333333333	0.4680445179	0
G0/generic#0	G3/generic#13	50	45	34	0.5573770492	0.6821354165	0
G0/generic#0	G0/generic#14	50	51	39	0.6290322581	0.7578413872	0
G0/generic#0	G1/generic#14	50	49	26	0.3561643836	0.5403172763	0
G0/generic#0	G2/generic#14	50	53	37	0.5606060606	0.6703723057	0
G0/generic#0	G3/generic#14	50	46	33	0.5238095238	0.6715766046	0
G0/generic#0	G0/generic#15	50	48	30	0.4411764706	0.5768402268	0
G0/generic#0	G1/generic#15	50	61	44	0.6567164179	0.7715085147	0
G0/generic#0	G2/generic#15	50	61	41	0.5857142857	0.6739379167	0
G0/generic#0	G3/generic#15	50	20	19	0.3725490196	0.58820895	0
G1/generic#0	G2/generic#0	50	49	34	0.5230769231	0.6761718368	0
G1/generic#0	G3/generic#0	50	48	40	0.6896551724	0.778214379	0
G1/generic#0	G0/generic#1	50	48	38	0.6333333333	0.7625426752	0
G1/generic#0	G1/generic#1	50	42	33	0.5593220339	0.6757351754	0
G1/generic#0	G2/generic#1	50	33	23	0.3833333333	0.5370026979	0
G1/generic#0	G3/generic#1	50	40	32	0.5517241379	0.7222432685	0
G1/generic#0	G0/generic#2	50	52	42	0.7	0.7859153439	0
G1/generic#0	G1/generic#2	50	43	33	0.55	0.7177937741	0
G1/generic#0	G2/generic#2	50	40	26	0.40625	0.6097864854	1
G1/generic#0	G3/generic#2	50	56	39	0.5820895522	0.7374625146	0
G1/generic#0	G0/generic#3	50	56	34	0.4722222222	0.6398814149	0
G1/generic#0	G1/generic#3	50	57	43	0.671875	0.7275644752	0
G1/generic#0	G2/generic#3	50	41	26	0.4	0.5950099691	0
G1/generic#0	G3/generic#3	50	43	33	0.55	0.7063280253	0
G1/generic#0	G0/generic#4	50	28	17	0.2786885246	0.5121392635	0
G1/generic#0	G1/generic#4	50	43	33	0.55	0.6731256258	0
G1/generic#0	G2/generic#4	50	48	31	0.4626865672	0.6454915547	0
G1/generic#0	G3/generic#4	50	49	36	0.5714285714	0.7118246686	0
G1/generic#0	G0/generic#5	50	35	21	0.328125	0.5505688382	0
G1/generic#0	G1/generic#5	50	35	29	0.5178571429	0.6398356395	0
G1/generic#0	G2/generic#5	50	17	12	0.2181818182	0.3944111321	0
