curve_id	checkpoint	value	status	reason
A2_BIGRAM_TYPES	5000	477	COMPARABLE	
A3_TRIGRAM_TYPES	5000	2023	COMPARABLE	
AT_TRANSITION_TYPES	5000	3674	COMPARABLE	
A2_BIGRAM_TYPES	10000	621	COMPARABLE	
A3_TRIGRAM_TYPES	10000	2692	COMPARABLE	
AT_TRANSITION_TYPES	10000	7429	COMPARABLE	
A2_BIGRAM_TYPES	20000		NOT_COMPARABLE	corpus smaller than checkpoint
A3_TRIGRAM_TYPES	20000		NOT_COMPARABLE	corpus smaller than checkpoint
AT_TRANSITION_TYPES	20000		NOT_COMPARABLE	corpus smaller than checkpoint
A2_BIGRAM_TYPES	39380		NOT_COMPARABLE	corpus smaller than checkpoint
A3_TRIGRAM_TYPES	39380		NOT_COMPARABLE	corpus smaller than checkpoint
AT_TRANSITION_TYPES	39380		NOT_COMPARABLE	corpus smaller than checkpoint
