rank	opening_candidate	closing_candidate	score	reliability	ranking_scope	line_probability	page_probability	directionality	ranking_z_score	permutation_p	mean_distance	adjacent_share	page_balance_stddev	AABB	ABAB
1	x010314	x009464	0.425644	0.893048	page	0.125749	0.676647	0.572728	2.761002	0.019802	18.955752	0.000000	2.103150	10	6
2	x004624	x006348	0.424468	0.964851	page	0.078303	0.357259	0.102250	4.775251	0.00990099	20.936073	0.000000	1.516064	15	14
3	x006201	x009464	0.417709	0.840000	page	0.104762	0.638095	0.569100	2.793709	0.00990099	19.835821	0.000000	2.193916	4	1
4	x010315	x009634	0.417361	0.899497	page	0.100559	0.463687	0.348303	3.689161	0.00990099	20.734940	0.000000	1.153631	8	4
5	x000585	x009464	0.413573	0.895288	page	0.245614	0.684211	0.573478	2.901908	0.00990099	14.341880	0.205128	2.066039	10	7
6	x006382	x009464	0.409816	0.834711	page	0.346535	0.752475	0.680073	3.441417	0.00990099	9.552632	0.355263	2.167492	3	3
7	x000745	x009464	0.395357	0.858156	page	0.132231	0.595041	0.520084	3.223328	0.00990099	18.416667	0.013889	2.211512	1	5
8	x004624	x009464	0.390186	0.968404	page	0.109299	0.508972	0.268768	3.267831	0.00990099	19.121795	0.000000	2.255325	27	32
9	x003820	x009464	0.383885	0.807692	page	0.214286	0.630952	0.580697	2.210668	0.039604	13.169811	0.207547	2.190477	3	0
10	x006382	x000357	0.383612	0.834711	page	0.039604	0.475248	0.393033	3.966093	0.00990099	19.770833	0.020833	1.353459	0	1
11	x010052	x000357	0.382531	0.770115	page	0.089552	0.552239	0.508615	3.504702	0.00990099	21.972973	0.054054	1.330788	1	0
12	x004224	x000357	0.381149	0.895833	page	0.098837	0.517442	0.374824	3.270705	0.00990099	23.325843	0.000000	1.240452	6	12
13	x010315	x009464	0.379795	0.899497	page	0.189944	0.675978	0.551616	2.107707	0.029703	17.735537	0.000000	2.034706	9	10
14	x007926	x004625	0.379786	0.852941	page	0.189655	0.362069	0.342807	3.574073	0.00990099	11.976190	0.261905	1.331510	1	0
15	x004344	x009464	0.379503	0.897436	page	0.125714	0.560000	0.487598	2.469659	0.019802	19.000000	0.040816	2.199002	7	4
16	x010414	x009634	0.378457	0.869281	page	0.142857	0.496241	0.393676	3.223609	0.00990099	17.060606	0.000000	1.100595	3	5
17	x007926	x001269	0.372438	0.852941	page	0.034483	0.155172	0.141927	3.353716	0.00990099	26.777778	0.000000	0.565749	1	0
18	x007926	x000357	0.372419	0.852941	page	0.043103	0.301724	0.293335	4.282628	0.00990099	20.571429	0.000000	1.447637	0	1
19	x007926	x009464	0.371186	0.852941	page	0.120690	0.431034	0.408888	3.623184	0.00990099	20.280000	0.060000	2.296271	0	1
20	x007926	x009465	0.370024	0.852941	page	0.094828	0.387931	0.369686	2.991920	0.00990099	16.711111	0.066667	2.402348	1	0
21	x010279	x000026	0.369483	0.938080	page	0.115512	0.438944	0.263944	3.131756	0.00990099	19.466165	0.082707	1.130595	13	11
22	x010701	x009464	0.364267	0.932886	page	0.140288	0.460432	0.376105	2.442771	0.029703	14.945312	0.000000	2.351798	13	6
23	x006440	x000799	0.363699	0.767442	page	0.000000	0.162162	0.131859	4.030174	0.00990099	34.750000	0.000000	0.454839	1	0
24	x010700	x009464	0.362829	0.929825	page	0.128302	0.501887	0.408190	2.578615	0.00990099	18.233083	0.000000	2.346469	6	10
25	x004353	x009465	0.362407	0.941520	page	0.136646	0.590062	0.408481	2.075952	0.019802	19.021053	0.000000	2.155034	24	16
26	x010396	x009465	0.361569	0.705882	page	0.208333	0.770833	0.734343	2.078931	0.039604	19.513514	0.027027	2.302235	1	0
27	x010053	x009464	0.358358	0.780220	page	0.281690	0.732394	0.675325	2.407132	0.00990099	12.384615	0.076923	2.163175	1	3
28	x006382	x009465	0.356706	0.834711	page	0.257426	0.633663	0.556339	2.755537	0.00990099	14.187500	0.187500	2.282091	2	2
29	x004344	x006348	0.355873	0.897436	page	0.085714	0.382857	0.309997	3.105557	0.00990099	19.507463	0.000000	1.254770	4	2
30	x004625	x009464	0.355454	0.968896	page	0.126806	0.520064	0.255158	2.666671	0.00990099	18.185185	0.003086	2.171866	29	29
31	x010484	x009464	0.355260	0.714286	page	0.220000	0.600000	0.582964	2.970795	0.00990099	17.300000	0.000000	2.261558	1	0
32	x003821	x009465	0.354170	0.793814	page	0.363636	0.688312	0.611856	2.045723	0.00990099	10.396226	0.245283	2.259318	1	0
33	x010396	x000357	0.353420	0.705882	page	0.125000	0.625000	0.594799	2.669398	0.00990099	27.366667	0.000000	1.328126	1	0
34	x006387	x009464	0.353369	0.805825	page	0.108434	0.662651	0.591100	1.862438	0.039604	18.527273	0.000000	2.173931	1	0
35	x010361	x009635	0.351490	0.677419	page	0.119048	0.428571	0.424915	2.888171	0.00990099	19.611111	0.055556	1.168298	2	0
36	x010279	x006349	0.350843	0.938080	page	0.069307	0.442244	0.256074	2.902699	0.00990099	21.738806	0.007463	1.177008	10	14
37	x000349	x000357	0.350007	0.787234	page	0.081081	0.527027	0.480047	3.272208	0.00990099	20.589744	0.000000	1.333952	1	2
38	x010279	x000356	0.349167	0.938080	page	0.085809	0.511551	0.305121	2.450487	0.00990099	23.058065	0.000000	1.158075	15	12
39	x004498	x000357	0.346613	0.782609	page	0.083333	0.361111	0.334265	2.591741	0.019802	16.576923	0.153846	1.395238	1	0
40	x004422	x009464	0.346211	0.692308	page	0.111111	0.644444	0.624853	2.602829	0.00990099	15.655172	0.034483	2.248486	1	0
41	x004423	x009464	0.345459	0.701493	page	0.191489	0.638298	0.612744	2.395883	0.019802	13.900000	0.000000	2.245560	1	0
42	x001269	x009464	0.345278	0.883041	page	0.178808	0.562914	0.458996	2.053039	0.039604	15.423529	0.058824	2.151189	1	0
43	x008274	x004624	0.345131	0.729730	page	0.092593	0.444444	0.416712	2.387410	0.019802	19.000000	0.000000	1.307138	1	0
44	x002794	x009464	0.341867	0.746835	page	0.355932	0.762712	0.717567	2.355700	0.019802	12.266667	0.200000	2.180915	1	1
45	x004353	x000357	0.341813	0.941520	page	0.093168	0.459627	0.268352	2.738205	0.00990099	21.121622	0.020270	1.316075	11	20
46	x007926	x004624	0.341641	0.852941	page	0.181034	0.396552	0.355769	3.532212	0.00990099	12.347826	0.260870	1.305503	1	1
47	x009465	x000356	0.338648	0.967267	page	0.090356	0.424848	-0.167369	3.477936	0.00990099	19.824131	0.000000	1.857229	25	56
48	x000584	x000357	0.338381	0.897436	page	0.062857	0.491429	0.347133	2.614523	0.019802	22.639535	0.000000	1.255111	4	6
49	x004352	x000357	0.338370	0.941691	page	0.080495	0.411765	0.254047	2.816234	0.00990099	21.451128	0.000000	1.379289	6	16
50	x010360	x004624	0.338065	0.714286	page	0.180000	0.460000	0.448581	2.275131	0.029703	14.826087	0.130435	1.256780	1	0
51	x005005	x009635	0.337011	0.945652	page	0.114943	0.385057	0.183961	2.970793	0.00990099	18.283582	0.022388	1.203579	10	9
52	x008111	x009464	0.336609	0.746835	page	0.220339	0.728814	0.687076	2.153050	0.029703	14.604651	0.046512	2.212714	0	1
53	x007926	x000356	0.335442	0.852941	page	0.077586	0.275862	0.265710	3.770058	0.00990099	16.718750	0.031250	1.486079	1	1
54	x004345	x000027	0.333917	0.893617	page	0.142857	0.375000	0.285683	2.778855	0.00990099	17.333333	0.111111	1.315102	3	1
55	x007926	x009462	0.333619	0.852941	page	0.051724	0.224138	0.205210	4.047071	0.00990099	23.307692	0.000000	0.881560	0	1
56	x007926	x004718	0.333326	0.852941	page	0.043103	0.172414	0.157621	2.652885	0.019802	22.900000	0.000000	0.914341	1	0
57	x006233	x009464	0.332674	0.821429	page	0.065217	0.586957	0.543515	1.813333	0.049505	22.944444	0.000000	2.197105	2	1
58	x004718	x009465	0.332572	0.944134	page	0.239645	0.612426	0.367422	2.180555	0.039604	13.695652	0.260870	2.050441	9	18
59	x006383	x009465	0.331720	0.807692	page	0.452381	0.654762	0.599158	2.515427	0.00990099	8.672727	0.381818	2.297471	2	3
60	x010361	x009634	0.331335	0.677419	page	0.119048	0.476190	0.463370	2.110244	0.039604	24.150000	0.050000	1.162919	1	0
61	x006446	x000357	0.331224	0.780220	page	0.084507	0.507042	0.446640	2.453501	0.019802	16.388889	0.027778	1.316840	2	0
62	x004719	x010526	0.330994	0.910314	page	0.035191	0.225806	0.043540	3.964764	0.00990099	22.532468	0.012987	0.819683	3	4
63	x000027	x006348	0.329936	0.964851	page	0.087566	0.436077	0.088172	2.758644	0.00990099	21.208835	0.000000	1.224678	24	16
64	x010314	x009465	0.329858	0.893048	page	0.221557	0.634731	0.522654	1.398021	0.118812	15.000000	0.000000	2.183498	11	9
65	x001276	x009464	0.329047	0.764706	page	0.200000	0.738462	0.687354	2.017225	0.049505	16.437500	0.187500	2.139371	0	3
66	x010278	x000357	0.328681	0.931271	page	0.095941	0.501845	0.260234	2.234426	0.029703	21.191176	0.007353	1.093529	14	17
67	x010616	x009634	0.327704	0.770115	page	0.149254	0.537313	0.489694	2.740724	0.00990099	15.555556	0.000000	1.137495	1	3
68	x007927	x006349	0.326388	0.843750	page	0.101852	0.296296	0.285658	3.481989	0.00990099	15.031250	0.000000	1.355837	0	0
69	x002794	x000356	0.326266	0.746835	page	0.169492	0.525424	0.484815	1.504943	0.128713	17.161290	0.064516	1.350513	3	0
70	x004499	x009464	0.326265	0.759036	page	0.142857	0.587302	0.560044	2.519650	0.019802	17.675676	0.000000	2.254852	0	0
71	x000526	x000027	0.323714	0.893617	page	0.119048	0.440476	0.333646	2.488983	0.00990099	17.756757	0.121622	1.224427	8	6
72	x004322	x004985	0.323682	0.672131	page	0.097561	0.365854	0.344020	3.032268	0.00990099	18.400000	0.000000	0.673156	1	0
73	x004345	x000527	0.323070	0.888268	page	0.047619	0.166667	0.097484	2.273543	0.049505	20.678571	0.000000	0.712933	2	0
74	x000272	x009464	0.322308	0.816514	page	0.269663	0.640449	0.576565	1.851157	0.0594059	15.421053	0.105263	2.174196	2	3
75	x000526	x000357	0.321333	0.893617	page	0.065476	0.458333	0.332494	2.438617	0.00990099	23.428571	0.000000	1.253725	5	6
76	x004352	x000026	0.321139	0.941691	page	0.099071	0.377709	0.231555	2.247256	0.019802	20.696721	0.008197	1.179161	11	5
77	x010315	x004224	0.320902	0.895833	page	0.072626	0.245810	0.123717	3.773876	0.00990099	16.409091	0.227273	0.734421	1	4
78	x004625	x006061	0.320604	0.900000	page	0.040128	0.200642	-0.177136	4.077722	0.00990099	19.480000	0.000000	1.179339	8	8
79	x004352	x009635	0.320002	0.941691	page	0.114551	0.414861	0.239358	2.460977	0.00990099	18.440299	0.007463	1.183702	9	12
80	x007926	x010701	0.319721	0.852941	page	0.051724	0.232759	0.203982	2.051184	0.049505	16.111111	0.037037	0.815479	1	0
81	x005005	x009634	0.319218	0.945652	page	0.117816	0.373563	0.148288	2.868316	0.00990099	19.053846	0.038462	1.226741	7	7
82	x007926	x006348	0.318948	0.852941	page	0.025862	0.275862	0.255826	3.421856	0.00990099	24.625000	0.000000	1.317831	1	1
83	x008624	x009465	0.318940	0.813084	page	0.114943	0.551724	0.494383	1.606955	0.0990099	19.625000	0.000000	2.308500	2	0
84	x010617	x009635	0.316926	0.770115	page	0.149254	0.477612	0.415455	2.027905	0.019802	20.937500	0.000000	1.139631	2	0
85	x004323	x000799	0.316370	0.740260	page	0.157895	0.280702	0.235247	2.823146	0.00990099	8.500000	0.312500	0.388874	1	0
86	x010279	x009465	0.316247	0.938080	page	0.178218	0.617162	0.406910	1.415648	0.108911	19.042781	0.037433	2.062329	20	18
87	x006018	x000027	0.316140	0.600000	page	0.066667	0.500000	0.492995	2.965439	0.00990099	23.866667	0.000000	1.344035	1	0
88	x007927	x009464	0.314894	0.843750	page	0.092593	0.361111	0.349186	2.887420	0.00990099	18.666667	0.000000	2.301903	0	0
89	x007926	x009634	0.314810	0.852941	page	0.077586	0.318966	0.291493	3.167135	0.00990099	18.513514	0.081081	1.236990	1	1
90	x000472	x000027	0.314494	0.772727	page	0.117647	0.352941	0.330174	2.761144	0.019802	21.625000	0.125000	1.364725	1	0
91	x005005	x000357	0.313581	0.945652	page	0.106322	0.399425	0.198083	2.440281	0.00990099	18.129496	0.035971	1.304006	12	8
92	x004625	x009634	0.312874	0.964664	page	0.107544	0.365971	0.052784	2.797716	0.00990099	19.539474	0.000000	1.348340	22	13
93	x010361	x000357	0.312751	0.677419	page	0.166667	0.476190	0.464446	2.339781	0.019802	20.450000	0.050000	1.342390	2	0
94	x007926	x009635	0.311951	0.852941	page	0.034483	0.301724	0.274302	2.337145	0.019802	20.400000	0.000000	1.233789	1	0
95	x006382	x003821	0.311471	0.793814	page	0.000000	0.108911	0.082937	3.067684	0.00990099	25.181818	0.000000	0.494805	1	0
96	x006061	x009464	0.311003	0.900000	page	0.144444	0.572222	0.462341	1.503799	0.0891089	18.359223	0.000000	2.158594	8	11
97	x009465	x010526	0.310716	0.910314	page	0.029540	0.208514	-0.372766	3.896015	0.00990099	26.112500	0.000000	2.105061	4	10
98	x004353	x000356	0.310515	0.941520	page	0.065217	0.431677	0.225247	2.302761	0.019802	19.546763	0.007194	1.364581	12	9
99	x002079	x008111	0.310320	0.746835	page	0.169014	0.225352	0.174505	4.770565	0.00990099	10.937500	0.437500	0.425290	0	0
100	x006060	x009464	0.310008	0.897436	page	0.108571	0.548571	0.452319	1.507184	0.0990099	19.125000	0.000000	2.153226	7	5
