target_a	target_b	control_rank	control_a	control_b	frequency_match_score	regime_js	distance_js_1_5	regime_concentration_a	regime_concentration_b
x004984	x010279	1	x004472	x004985	0	0.8768583655363802	0.2774201403684827	0.004680964009403852	0.004616481200301302
x004984	x010279	2	x004472	x007926	0	0.8769974797461609	0.22890566553321903	0.004680964009403852	0.004552726246655724
x004984	x010279	3	x004225	x006060	0	0.9037365389534313	0.23920828972086197	0.004559775200861702	0.004717474489795889
x004985	x010279	1	x004472	x007926	0	0.8769974797461609	0.22890566553321903	0.004680964009403852	0.004552726246655724
x004985	x010279	2	x004225	x006060	0	0.9037365389534313	0.23920828972086197	0.004559775200861702	0.004717474489795889
x004985	x010279	3	x007926	x010314	0	0.85546734140497	0.18151268388042233	0.004552726246655724	0.0047212498655384025
x004625	x010314	1	x000027	x007926	0	0.9053541573689149	0.22538760975366773	0.004574896110732116	0.004552726246655724
x004625	x010314	2	x004624	x007927	0	0.9059477129507854	0.260719988403675	0.004533411538544307	0.004436316928069335
x004625	x010314	3	x004624	x010065	0	0.8519542613638866	0.23600365763209932	0.004533411538544307	0.004829150962110607
x004624	x010315	1	x000027	x007926	0	0.9053541573689149	0.22538760975366773	0.004574896110732116	0.004552726246655724
x004624	x010315	2	x004625	x007927	0	0.9032405980620037	0.2703900453003284	0.004576704930715691	0.004436316928069335
x004624	x010315	3	x000026	x007927	0	0.8962571763359374	0.2100066609142793	0.004673895282241476	0.004436316928069335
x004718	x010054	1	x006441	x010279	0	0.8647990327347039	0.21989047170537565	0.004695607404368088	0.004753938883987454
x004718	x010054	2	x006441	x010278	0	0.8749046982333682	0.19397053200645115	0.004695607404368088	0.004674982511471812
x004718	x010054	3	x004353	x010055	0	0.8623333714113997	0.18903296998460484	0.004710492779543394	0.004720048152397131
x004719	x010526	1	x004472	x004985	0	0.8768583655363802	0.2774201403684827	0.004680964009403852	0.004616481200301302
x004719	x010526	2	x006441	x010279	0	0.8647990327347039	0.21989047170537565	0.004695607404368088	0.004753938883987454
x004719	x010526	3	x004472	x007926	0	0.8769974797461609	0.22890566553321903	0.004680964009403852	0.004552726246655724
x004718	x010526	1	x004472	x004985	0	0.8768583655363802	0.2774201403684827	0.004680964009403852	0.004616481200301302
x004718	x010526	2	x006441	x010279	0	0.8647990327347039	0.21989047170537565	0.004695607404368088	0.004753938883987454
x004718	x010526	3	x004472	x007926	0	0.8769974797461609	0.22890566553321903	0.004680964009403852	0.004552726246655724
x004719	x010527	1	x006441	x010279	0	0.8647990327347039	0.21989047170537565	0.004695607404368088	0.004753938883987454
x004719	x010527	2	x004472	x007926	0	0.8769974797461609	0.22890566553321903	0.004680964009403852	0.004552726246655724
x004719	x010527	3	x004225	x006060	0	0.9037365389534313	0.23920828972086197	0.004559775200861702	0.004717474489795889
x006348	x010055	1	x000026	x005631	0	0.8771561353386881	0.1946922211420203	0.004673895282241476	0.004444534331854001
x006348	x010055	2	x000027	x005631	0	0.8736042268871171	0.21018058445494364	0.004574896110732116	0.004444534331854001
x006348	x010055	3	x004624	x010065	0	0.8519542613638866	0.23600365763209932	0.004533411538544307	0.004829150962110607
