target_a	target_b	control_rank	control_a	control_b	match_cost	count_a	count_b	structural_similarity	reliability	normalized_graphemic_distance	position_similarity	left_similarity	right_similarity	predecessor_js_similarity	successor_js_similarity
x004984	x010279	1	x004472	x004985	1.217725572987431	264	229	0.32248539750794614	0.9242775823352685	0.42857142857142855	0.9359462913644968	0.021249731910590975	0.010260169248750652	0.05285246252574105	0.016936140700459457
x004984	x010279	2	x004472	x007926	1.480496880352297	264	116	0.3053444217307936	0.9022825939726496	0.5714285714285714	0.9072553858211994	0.008777879371181496	0	0.03169040955174518	1.5543122344752192e-15
x004984	x010279	3	x004225	x006060	1.5519371584051935	185	175	0.3223201380053446	0.9242775823352685	0.5714285714285714	0.9347088169500702	0.0322515970659636	0	0.07954272594865597	0
x004985	x010279	1	x004472	x007926	1.4675377357097925	264	116	0.3053444217307936	0.9022825939726496	0.5714285714285714	0.9072553858211994	0.008777879371181496	0	0.031690409551744625	1.1102230246251565e-16
x004985	x010279	2	x004225	x006060	1.538978013762689	185	175	0.3223201380053446	0.9242775823352685	0.5714285714285714	0.9347088169500702	0.0322515970659636	0	0.07954272594865597	0
x004985	x010279	3	x007926	x010314	1.5579720043583645	116	167	0.2973826925087831	0.9022825939726496	0.7142857142857143	0.8303236107528306	0.06182446677351863	0	0.09941638178206325	1.7763568394002505e-15
x004625	x010314	1	x000027	x007926	1.4327925627913607	571	116	0.3097386586625525	0.9022825939726496	0.42857142857142855	0.9061112905899642	0.02310468539769341	0	0.05191688075666878	0
x004625	x010314	2	x004624	x007927	1.539029305414087	613	108	0.31936746046112013	0.8972932895547588	0.42857142857142855	0.8730824467637889	0.07092223664446369	0.014097697975107834	0.11265088654934374	0.02390993186271617
x004625	x010314	3	x004624	x010065	1.619693825933969	613	71	0.3082523487335538	0.8658692094063872	0.5714285714285714	0.904922854574574	0.004099324732860682	0.015734866893226687	0.0106694973982141	0.03344537134250569
x004624	x010315	1	x000027	x007926	1.4856299940560267	571	116	0.3097386586625525	0.9022825939726496	0.42857142857142855	0.9061112905899642	0.02310468539769341	0	0.05191688075666823	0
x004624	x010315	2	x004625	x007927	1.6380469009713086	623	108	0.32236993286814714	0.8972932895547588	0.42857142857142855	0.8888900047995496	0.0736536715254048	0.00456612227948704	0.10937430181839902	0.01777540619486373
x004624	x010315	3	x000026	x007927	1.7423825605369492	520	108	0.31799455420756223	0.8972932895547588	0.42857142857142855	0.9058162266060549	0.04202963843466325	0.006137797581968605	0.07592925791801663	0.0128552265141062
x004718	x010054	1	x006441	x010279	0.695494647966691	89	303	0.3161037399138135	0.8835846618034523	0.7142857142857143	0.9241124888753058	0.02113456011440864	0.003064170751726081	0.036929508433522495	0.006141743069932981
x004718	x010054	2	x006441	x010278	0.8210737519424263	89	271	0.31753908680036463	0.8835846618034523	0.7142857142857143	0.9346977360442229	0.014559219001458167	0.0033603053554128177	0.03716385636652808	0.006479283120244705
x004718	x010054	3	x004353	x010055	0.8913358637267912	322	91	0.31569471297013846	0.8851742977945648	0.5714285714285714	0.9110147586410974	0.03185890732472545	0.004210472944592571	0.04346012406530031	0.02165746466635121
x004719	x010526	1	x004472	x004985	1.4425087790802888	264	229	0.32248539750794614	0.9242775823352685	0.42857142857142855	0.9359462913644968	0.021249731910590975	0.010260169248750652	0.05285246252574083	0.01693614070045979
x004719	x010526	2	x006441	x010279	1.4497026057889952	89	303	0.3161037399138135	0.8835846618034523	0.7142857142857143	0.9241124888753058	0.02113456011440864	0.003064170751726081	0.03692950843352294	0.006141743069933314
x004719	x010526	3	x004472	x007926	1.465361456287196	264	116	0.3053444217307936	0.9022825939726496	0.5714285714285714	0.9072553858211994	0.008777879371181496	0	0.03169040955174496	0
x004718	x010526	1	x004472	x004985	1.433698149398134	264	229	0.32248539750794614	0.9242775823352685	0.42857142857142855	0.9359462913644968	0.021249731910590975	0.010260169248750652	0.052852462525740496	0.016936140700459124
x004718	x010526	2	x006441	x010279	1.4408919761068404	89	303	0.3161037399138135	0.8835846618034523	0.7142857142857143	0.9241124888753058	0.02113456011440864	0.003064170751726081	0.03692950843352283	0.006141743069932981
x004718	x010526	3	x004472	x007926	1.456550826605041	264	116	0.3053444217307936	0.9022825939726496	0.5714285714285714	0.9072553858211994	0.008777879371181496	0	0.031690409551744514	6.661338147750939e-16
x004719	x010527	1	x006441	x010279	1.3410687647862005	89	303	0.3161037399138135	0.8835846618034523	0.7142857142857143	0.9241124888753058	0.02113456011440864	0.003064170751726081	0.036929508433522495	0.006141743069932648
x004719	x010527	2	x004472	x007926	1.3567276152844012	264	116	0.3053444217307936	0.9022825939726496	0.5714285714285714	0.9072553858211994	0.008777879371181496	0	0.03169040955174485	1.1102230246251565e-16
x004719	x010527	3	x004225	x006060	1.4281678933372977	185	175	0.3223201380053446	0.9242775823352685	0.5714285714285714	0.9347088169500702	0.0322515970659636	0	0.07954272594865619	0
x006348	x010055	1	x000026	x005631	0.956802238862801	520	78	0.31706161351350276	0.873785872523852	0.5714285714285714	0.9478603117064444	0.0033245288340639344	0	0.011065955870760424	5.329070518200751e-15
x006348	x010055	2	x000027	x005631	0.9679020419367388	571	78	0.3196663461528833	0.873785872523852	0.5714285714285714	0.9553187651396272	0.003680273319022695	0	0.0096405909665227	0
x006348	x010055	3	x004624	x010065	1.0332330641966836	613	71	0.3082523487335538	0.8658692094063872	0.5714285714285714	0.904922854574574	0.004099324732860682	0.015734866893226687	0.010669497398213434	0.03344537134250514
x004718	x010055	1	x006441	x010279	0.5663539902302575	89	303	0.3161037399138135	0.8835846618034523	0.7142857142857143	0.9241124888753058	0.02113456011440864	0.003064170751726081	0.036929508433522606	0.006141743069933758
x004718	x010055	2	x006441	x010278	0.6919330942059927	89	271	0.31753908680036463	0.8835846618034523	0.7142857142857143	0.9346977360442229	0.014559219001458167	0.0033603053554128177	0.03716385636652886	0.0064792831202452605
