record_type	token_a	token_b	control	parameter	observed_gain	control_mean	control_p95	percentile	mean_gain_full	mean_gain_ablated
pair	x004624	x010315	random_space		0.06395619550398254	0.07077065411967996	0.07463687441831397	0		
pair	x004624	x010315	generic_smoothing		0.06395619550398254	0.5092850936795892	0.5122159880123588	0		
pair	x004624	x010315	random_space_ablated		0.1893562930719941	0.20370261805677367	0.20683092564426056	0		
pair	x004624	x010315	generic_smoothing_ablated		0.1893562930719941	0.5138133126893742	0.5156871140293839	0		
pair	x004984	x010279	random_space		0.06309175504749993	0.06879491828652577	0.0732937543934534	1		
pair	x004984	x010279	generic_smoothing		0.06309175504749993	0.5481581694617396	0.5507583089582395	0		
pair	x004984	x010279	random_space_ablated		0.15958249887973708	0.17574889688704445	0.1796543244760495	0		
pair	x004984	x010279	generic_smoothing_ablated		0.15958249887973708	0.5433342204663886	0.544855570080927	0		
pair	x004625	x010314	random_space		0.06785798019764415	0.07594593343617365	0.08016169444956367	0.5		
pair	x004625	x010314	generic_smoothing		0.06785798019764415	0.5380348378853448	0.5411490767271567	0		
pair	x004625	x010314	random_space_ablated		0.20795702347904232	0.2244745604760177	0.22772994330761076	0		
pair	x004625	x010314	generic_smoothing_ablated		0.20795702347904232	0.5556770320007955	0.5574974328447264	0		
pair	x004985	x010279	random_space		0.07660772798829288	0.08557452567826308	0.09070915326831681	0		
pair	x004985	x010279	generic_smoothing		0.07660772798829288	0.5724309575293098	0.5757424842927616	0		
pair	x004985	x010279	random_space_ablated		0.17360134920656045	0.19574344206708022	0.19930325076271913	0		
pair	x004985	x010279	generic_smoothing_ablated		0.17360134920656045	0.5729830608588606	0.5746081942326816	0		
pair	x004719	x010526	random_space		0.06062636920184357	0.06613830484649304	0.07062229207662896	0.5		
pair	x004719	x010526	generic_smoothing		0.06062636920184357	0.5617908512703474	0.5646782946032592	0		
pair	x004719	x010526	random_space_ablated		0.1611902605680014	0.17348258107604975	0.1769738840407259	0		
pair	x004719	x010526	generic_smoothing_ablated		0.1611902605680014	0.5674093268024246	0.5692449469836424	0		
pair	x004718	x010526	random_space		0.059489165511648776	0.0673400178053177	0.07167142365627821	0		
pair	x004718	x010526	generic_smoothing		0.059489165511648776	0.582678416346459	0.5861629767594849	0		
pair	x004718	x010526	random_space_ablated		0.1665270983407487	0.17905812259147727	0.18261614822377567	0		
pair	x004718	x010526	generic_smoothing_ablated		0.1665270983407487	0.5876095504357427	0.5893637554774506	0		
pair	x004719	x010527	random_space		0.05706339045282875	0.060877833716630414	0.06530745801086306	7		
pair	x004719	x010527	generic_smoothing		0.05706339045282875	0.5684073070420013	0.5713924758406711	0		
pair	x004719	x010527	random_space_ablated		0.1539084893257503	0.16814984668188035	0.17149900509981444	0		
pair	x004719	x010527	generic_smoothing_ablated		0.1539084893257503	0.5777973443690108	0.5791092581064489	0		
pair	x009496	x010315	random_space		0.10311958922545061	0.10621013783799253	0.11249556551403239	22		
pair	x009496	x010315	generic_smoothing		0.10311958922545061	0.5848872852562268	0.5901833893323216	0		
pair	x009496	x010315	random_space_ablated		0.24251612062048555	0.2582861595020372	0.26298708875675186	0		
pair	x009496	x010315	generic_smoothing_ablated		0.24251612062048555	0.6182638882905583	0.6210727783684534	0		
pair	x006383	x010054	random_space		0.08275946140321663	0.0812870984271692	0.08805168302751373	64.5		
pair	x006383	x010054	generic_smoothing		0.08275946140321663	0.5662332123586645	0.572295101443591	0		
pair	x006383	x010054	random_space_ablated		0.19936457109876132	0.2111529076129075	0.21557536228760749	0		
pair	x006383	x010054	generic_smoothing_ablated		0.19936457109876132	0.5699025200301447	0.5726092650890721	0		
pair	x004718	x010054	random_space		0.0772079903060501	0.08667014485760008	0.09142253054476153	0		
pair	x004718	x010054	generic_smoothing		0.0772079903060501	0.594431209938113	0.5976678147359954	0		
pair	x004718	x010054	random_space_ablated		0.1946561004474428	0.21023777321561468	0.21445899270287297	0		
pair	x004718	x010054	generic_smoothing_ablated		0.1946561004474428	0.5844363674377905	0.5862235549487179	0		
pair	x009497	x010315	random_space		0.1092737093913935	0.1021534140041106	0.1089094506422938	96		
