rank	token_a	token_b	count_a	count_b	cosine_1_5	cosine_6_10	cosine_11_20	matched_percentile	random_percentile
1	x004984	x010279	232	303	0.9967946947758316	0.9955392565677815	0.997163222602657	100	99.6
2	x004985	x010279	229	303	0.9963006453861027	0.9948675333735499	0.9972872375316459	100	99.8
3	x004719	x010526	341	203	0.9941760540567511	0.9983810548821662	0.9977444633368501	100	98.5
4	x004718	x010526	338	203	0.9932488268836822	0.9984065873794492	0.9980877558897765	100	97.8
5	x004718	x010054	338	102	0.9929038154249252	0.9965607808792598	0.9958473622816774	100	98.2
6	x004719	x010527	341	182	0.9925084414256279	0.9980689089846315	0.997755581550412	100	96.9
7	x006348	x010055	549	91	0.9914616613056726	0.9961663244749911	0.9964604138072344	100	96.8
8	x004718	x010055	338	91	0.9913079505491265	0.9949672771460083	0.9957605358526163	100	96.1
9	x009496	x010315	71	179	0.9888222458100853	0.994777230703065	0.9936641854646753	100	92.1
10	x008352	x010617	32	67	0.9862818947204021	0.9882914190459078	0.9811117270953675	100	94.9
11	x005843	x010616	24	67	0.9847852673960192	0.980337174979382	0.9690804458213481	100	95.8
12	x004625	x010314	623	167	0.98464649689114	0.9963357111249789	0.997974743460518	100	80.7
13	x008353	x010617	41	67	0.9845699291677062	0.9893151986475148	0.9876415529554083	100	91.5
14	x003821	x010055	77	91	0.9845065746390136	0.9945621834664609	0.9939778266864785	100	84
15	x008248	x010617	35	67	0.9842592851488343	0.9809663981310717	0.9843728126663442	100	92
16	x005731	x010617	38	67	0.9835035482645553	0.9830937149287695	0.9873168721196299	100	88.6
17	x005730	x010617	32	67	0.9828389113055099	0.9874843673573354	0.9863064811086829	100	88.4
18	x004624	x010315	613	179	0.9826890498334431	0.9976843565941863	0.9968712107506968	100	77
19	x005843	x010617	24	67	0.9824227089154597	0.9877104901876512	0.9725239833266723	100	93
20	x005730	x010485	32	46	0.9824141570551135	0.9874400579134186	0.9806625055642403	100	91.6
21	x009497	x010315	53	179	0.9819503976587146	0.9916649104738893	0.9909348399667856	100	78.2
22	x006050	x010484	40	50	0.9808113876845885	0.9808073873769351	0.9840867091568859	100	83.6
23	x005842	x010617	29	67	0.9807566869464409	0.9877209509296856	0.9843321709707877	100	85.4
24	x006383	x010054	84	102	0.9741275011096354	0.9949549360010156	0.993347253225725	100	53.5
25	x006383	x010055	84	91	0.971860358267198	0.9903493475365762	0.9915402071790294	33.333333333333336	48.7
26	x004929	x010054	45	102	0.8673083348078079	0.9934092018403918	0.9893870610644451	0	14
