record_type	window_size	window_index	start	end	adjacent_js_distance	concentration	separation	comparisons	mean_js_distance	mean_similarity
window	50	0	0	50	0	0.02800000000000002				
window	50	1	10	60	0.17003537577650363	0.024800000000000016				
window	50	2	20	70	0.1753560655328985	0.022400000000000007				
window	50	3	30	80	0.1563547202339972	0.024				
window	50	4	40	90	0.19245112497836536	0.023200000000000002				
window	50	5	50	100	0.19145247027726664	0.0216				
window	50	6	60	110	0.18490224995673066	0.0216				
window	50	7	70	120	0.16980449991346136	0.023200000000000002				
window	50	8	80	130	0.18000000000000005	0.023200000000000002				
window	50	9	90	140	0.17735337493509595	0.026400000000000014				
window	50	10	100	150	0.13270944046799438	0.02800000000000001				
window	50	11	110	160	0.13535606553289847	0.028800000000000017				
window	50	12	120	170	0.14416191074526097	0.027200000000000005				
window	50	13	130	180	0.16490224995673064	0.025599999999999998				
window	50	14	140	190	0.14490224995673073	0.023999999999999997				
window	50	15	150	200	0.14025831548962908	0.024799999999999996				
window	50	16	160	210	0.16880584521236253	0.024000000000000004				
window	50	17	170	220	0.16490224995673064	0.024000000000000004				
window	50	18	180	230	0.16980449991346125	0.024000000000000014				
window	50	19	190	240	0.18754887502163464	0.02560000000000001				
window	50	20	200	250	0.1337080951690932	0.024000000000000007				
window	50	21	210	260	0.16880584521236253	0.024800000000000006				
window	50	22	220	270	0.19245112497836536	0.024000000000000007				
window	50	23	230	280	0.1563547202339972	0.027200000000000012				
window	50	24	240	290	0.17145247027726662	0.027200000000000023				
window	50	25	250	300	0.18000000000000005	0.02560000000000001				
window	50	26	260	310	0.17735337493509595	0.023200000000000012				
window	50	27	270	320	0.16880584521236253	0.022400000000000007				
window	50	28	280	330	0.19245112497836536	0.021600000000000005				
window	50	29	290	340	0.1249022499567306	0.02320000000000001				
window	50	30	300	350	0.16980449991346125	0.021600000000000008				
window	50	31	310	360	0.17735337493509595	0.024000000000000014				
window	50	32	320	370	0.18490224995673066	0.024000000000000014				
window	50	33	330	380	0.19245112497836536	0.023200000000000012				
window	50	34	340	390	0.12225562489182662	0.024000000000000014				
window	50	35	350	400	0.16490224995673064	0.02400000000000001				
window	50	36	360	410	0.16490224995673064	0.02560000000000001				
window	50	37	370	420	0.17635472023399723	0.027200000000000005				
window	50	38	380	430	0.1563547202339972	0.027200000000000005				
window	50	39	390	440	0.18000000000000005	0.0256				
window	50	40	400	450	0.20000000000000007	0.0256				
window	50	41	410	460	0.1478071905112638	0.024000000000000007				
window	50	42	420	470	0.15735337493509594	0.024000000000000014				
window	50	43	430	480	0.16880584521236253	0.026400000000000014				
window	50	44	440	490	0.17245112497836534	0.027200000000000012				
window	50	45	450	500	0.16225562489182654	0.026400000000000014				
window	50	46	460	510	0.17593628043433307	0.027200000000000026				
window	50	47	470	520	0.18490224995673066	0.024800000000000013				
window	50	48	480	530	0.15735337493509594	0.024000000000000014				
window	50	49	490	540	0.16980449991346125	0.022400000000000014				
window	50	50	500	550	0.16390359525563192	0.02480000000000002				
window	50	51	510	560	0.17245112497836534	0.02560000000000002				
window	50	52	520	570	0.16838740541269837	0.027200000000000026				
window	50	53	530	580	0.15593628043433294	0.027200000000000012				
window	50	54	540	590	0.1563547202339972	0.02880000000000001				
window	50	55	550	600	0.1249022499567306	0.028800000000000006				
window	50	56	560	610	0.19245112497836536	0.028800000000000006				
window	50	57	570	620	0.1753560655328985	0.028000000000000004				
window	50	58	580	630	0.1478071905112638	0.024000000000000004				
window	50	59	590	640	0.17635472023399723	0.024				
window	50	60	600	650	0.18000000000000005	0.024				
window	50	61	610	660	0.17103403047760235	0.025599999999999994				
window	50	62	620	670	0.13593628043433303	0.023200000000000002				
window	50	63	630	680	0.18390359525563194	0.02240000000000001				
window	50	64	640	690	0.15370809516909323	0.026400000000000014				
window	50	65	650	700	0.19245112497836536	0.02640000000000001				
window	50	66	660	710	0.16225562489182654	0.026400000000000014				
window	50	67	670	720	0.16880584521236253	0.022400000000000014				
window	50	68	680	730	0.1753560655328985	0.02480000000000002				
window	50	69	690	740	0.16980449991346125	0.028000000000000025				
window	50	70	700	750	0.18000000000000005	0.02480000000000002				
window	50	71	710	760	0.15735337493509594	0.022400000000000003				
window	50	72	720	770	0.16490224995673064	0.022400000000000007				
window	50	73	730	780	0.16980449991346125	0.024000000000000007				
window	50	74	740	790	0.18490224995673066	0.022400000000000007				
window	50	75	750	800	0.18390359525563194	0.024000000000000004				
window	50	76	760	810	0.15245112497836533	0.024				
window	50	77	770	820	0.19245112497836536	0.0248				
window	50	78	780	830	0.17103403047760235	0.028				
window	50	79	790	840	0.18000000000000005	0.028000000000000004				
window	50	80	800	850	0.15593628043433305	0.025600000000000005				
window	50	81	810	860	0.16125697019072782	0.02480000000000001				
window	50	82	820	870	0.16980449991346136	0.02480000000000001				
window	50	83	830	880	0.14025831548962908	0.028000000000000004				
window	50	84	840	890	0.16880584521236253	0.027200000000000012				
window	50	85	850	900	0.1461592201474584	0.024000000000000004				
window	50	86	860	910	0.14980449991346123	0.024000000000000004				
window	50	87	870	920	0.15735337493509594	0.0216				
window	50	88	880	930	0.17735337493509595	0.020800000000000003				
window	50	89	890	940	0.15735337493509594	0.023200000000000012				
window	50	90	900	950	0.20000000000000007	0.023200000000000016				
window	50	91	910	960	0.16980449991346136	0.021600000000000008				
window	50	92	920	970	0.17245112497836534	0.021600000000000005				
window	50	93	930	980	0.20000000000000007	0.021600000000000005				
window	50	94	940	990	0.18000000000000005	0.021600000000000005				
window	50	95	950	1000	0.18490224995673066	0.0216				
window	50	96	960	1010	0.1829049405545331	0.024800000000000003				
window	50	97	970	1020	0.16290494055453308	0.0216				
window	50	98	980	1030	0.17735337493509595	0.02400000000000001				
window	50	99	990	1040	0.16880584521236253	0.03040000000000001				
window	50	100	1000	1050	0.18490224995673066	0.028800000000000013				
window	50	101	1010	1060	0.17593628043433296	0.02640000000000001				
window	50	102	1020	1070	0.16754887502163474	0.029600000000000005				
window	50	103	1030	1080	0.14815652954965597	0.0272				
window	50	104	1040	1090	0.16980449991346125	0.024				
window	50	105	1050	1100	0.20000000000000007	0.024				
window	50	106	1060	1110	0.16980449991346125	0.022400000000000003				
window	50	107	1070	1120	0.18754887502163475	0.02400000000000001				
window	50	108	1080	1130	0.20000000000000007	0.024800000000000006				
window	50	109	1090	1140	0.15593628043433305	0.02720000000000001				
window	50	110	1100	1150	0.14225562489182653	0.028000000000000008				
window	50	111	1110	1160	0.16838740541269837	0.02480000000000001				
window	50	112	1120	1170	0.17509775004326933	0.02480000000000001				
window	50	113	1130	1180	0.17858290549923705	0.028800000000000013				
window	50	114	1140	1190	0.1249022499567306	0.02880000000000001				
window	50	115	1150	1200	0.19245112497836536	0.028800000000000017				
window	50	116	1160	1210	0.15245112497836533	0.029600000000000022				
window	50	117	1170	1220	0.17103403047760235	0.027200000000000012				
window	50	118	1180	1230	0.17900134529890122	0.023200000000000016				
window	50	119	1190	1240	0.18000000000000005	0.02320000000000001				
window	50	120	1200	1250	0.19245112497836536	0.023200000000000005				
window	50	121	1210	1260	0.17735337493509595	0.022400000000000003				
window	50	122	1220	1270	0.18390359525563194	0.024800000000000006				
window	50	123	1230	1280	0.17735337493509595	0.027200000000000016				
window	50	124	1240	1290	0.1639035952556318	0.025600000000000015				
window	50	125	1250	1300	0.15470674987019195	0.02240000000000001				
window	50	126	1260	1310	0.19145247027726664	0.02400000000000001				
window	50	127	1270	1320	0.18490224995673066	0.024000000000000018				
window	50	128	1280	1330	0.1412569701907278	0.02240000000000001				
window	50	129	1290	1340	0.18490224995673066	0.022400000000000003				
window	50	130	1300	1350	0.15370809516909323	0.02480000000000001				
window	50	131	1310	1360	0.14980449991346134	0.02800000000000001				
window	50	132	1320	1370	0.19245112497836536	0.02720000000000001				
window	50	133	1330	1380	0.1324511249783653	0.026400000000000003				
window	50	134	1340	1390	0.11370809516909319	0.027200000000000012				
window	50	135	1350	1400	0.14025831548962908	0.024800000000000013				
window	50	136	1360	1410	0.14290494055453318	0.030400000000000014				
window	50	137	1370	1420	0.15742412648810322	0.03919999999999999				
window	50	138	1380	1430	0.14738875071159963	0.0352				
window	50	139	1390	1440	0.13842278118920204	0.03200000000000001				
window	50	140	1400	1450	0.13919056002725838	0.03679999999999999				
window	50	141	1410	1460	0.15858290549923715	0.027200000000000012				
window	50	142	1420	1470	0.14490224995673062	0.025600000000000008				
window	50	143	1430	1480	0.17593628043433307	0.029600000000000008				
window	50	144	1440	1490	0.1488058452123625	0.02720000000000001				
window	50	145	1450	1500	0.14348515545596774	0.025600000000000008				
window	50	146	1460	1510	0.18490224995673066	0.025600000000000008				
window	50	147	1470	1520	0.17635472023399723	0.022400000000000003				
window	50	148	1480	1530	0.14225562489182653	0.021600000000000008				
window	50	149	1490	1540	0.18490224995673066	0.023200000000000005				
window	50	150	1500	1550	0.14980449991346134	0.0216				
window	50	151	1510	1560	0.20000000000000007	0.0216				
window	50	152	1520	1570	0.17735337493509595	0.0224				
window	50	153	1530	1580	0.19245112497836536	0.024000000000000007				
window	50	154	1540	1590	0.1563547202339972	0.025600000000000022				
window	50	155	1550	1600	0.17735337493509595	0.026400000000000024				
window	50	156	1560	1610	0.15470674987019195	0.028000000000000025				
window	50	157	1570	1620	0.16880584521236253	0.029600000000000022				
window	50	158	1580	1630	0.14980449991346134	0.028000000000000014				
window	50	159	1590	1640	0.1563547202339972	0.024800000000000013				
window	50	160	1600	1650	0.17735337493509595	0.026400000000000007				
window	50	161	1610	1660	0.17245112497836534	0.025600000000000008				
window	50	162	1620	1670	0.16390359525563192	0.026399999999999996				
window	50	163	1630	1680	0.16980449991346125	0.0264				
window	50	164	1640	1690	0.16390359525563192	0.028000000000000014				
window	50	165	1650	1700	0.17900134529890122	0.02800000000000003				
window	50	166	1660	1710	0.17735337493509595	0.028800000000000027				
window	50	167	1670	1720	0.16490224995673064	0.025600000000000015				
window	50	168	1680	1730	0.1678071905112638	0.025600000000000015				
window	50	169	1690	1740	0.1753560655328985	0.025600000000000005				
window	50	170	1700	1750	0.16880584521236253	0.027200000000000012				
window	50	171	1710	1760	0.15735337493509594	0.026400000000000014				
window	50	172	1720	1770	0.1412569701907278	0.026400000000000003				
window	50	173	1730	1780	0.1563547202339972	0.026400000000000003				
window	50	174	1740	1790	0.18248650075486905	0.027200000000000005				
window	50	175	1750	1800	0.12225562489182662	0.026400000000000003				
window	50	176	1760	1810	0.16348515545596776	0.024800000000000006				
window	50	177	1770	1820	0.17635472023399723	0.024800000000000006				
window	50	178	1780	1830	0.17245112497836534	0.024000000000000004				
window	50	179	1790	1840	0.15735337493509594	0.0232				
window	50	180	1800	1850	0.1488058452123625	0.024000000000000004				
window	50	181	1810	1860	0.14225562489182653	0.024800000000000006				
window	50	182	1820	1870	0.1563547202339972	0.023200000000000012				
window	50	183	1830	1880	0.14490224995673062	0.026400000000000017				
window	50	184	1840	1890	0.17245112497836534	0.025600000000000015				
window	50	185	1850	1900	0.17245112497836534	0.024800000000000016				
window	50	186	1860	1910	0.1363547202339972	0.02480000000000001				
window	50	187	1870	1920	0.13735337493509592	0.025600000000000008				
window	50	188	1880	1930	0.17735337493509595	0.02560000000000001				
window	50	189	1890	1940	0.1553560655328985	0.02640000000000001				
window	50	190	1900	1950	0.17735337493509595	0.02720000000000001				
window	50	191	1910	1960	0.1753560655328985	0.02640000000000001				
window	50	192	1920	1970	0.15735337493509594	0.0264				
window	50	193	1930	1980	0.15858290549923715	0.0264				
window	50	194	1940	1990	0.16880584521236253	0.025600000000000005				
window	50	195	1950	2000	0.15735337493509594	0.024800000000000006				
