rank	token_a	token_b	count_a	count_b	regime_js	distance_js_1_5	distance_js_6_10	distance_js_11_20	regime_expected_1_5	residual_1_5	concentration_a	concentration_b	local_shuffle_retained_fraction	retained_effect
1	x004719	x010526	341	203	0.9254868518220355	0.38085016673859134	0.3536579264281473	0.36465661312023434	0.848599379702941	-0.46774921296434957	0.0045944051010188775	0.004782228872488954	1.0913494382194209	0.16526057102135305
2	x004718	x010526	338	203	0.9234609076871497	0.3582954815360829	0.35813108388577375	0.3710844456259732	0.8285741082852784	-0.47027862674919535	0.004654406084783527	0.004782228872488954	1.1748790951627577	0.4385790319973806
3	x004719	x010527	341	182	0.9183198430812461	0.37332262302502645	0.34175239205050273	0.36484959089833313	0.8376036363849264	-0.4642810133599	0.0045944051010188775	0.004673985055170486	1.1224543449987938	-3.879388554686769
4	x004625	x010314	623	167	0.8876384964778194	0.38185102648472036	0.35857411343109713	0.3709527228605968	0.685411824846782	-0.30356079836206173	0.004576704930715691	0.0047212498655384025	0.9642183820453865	0.42884565476484104
5	x004624	x010315	613	179	0.8857663438935102	0.42168356482983305	0.37193605621542075	0.37543298828980187	0.6810871142036844	-0.2594035493738513	0.004533411538544307	0.004669156803002576	0.9054006448869509	-0.13079966080349462
6	x004718	x010054	338	102	0.884687947433797	0.33461674230877964	0.304010172534138	0.3097038250976022	0.7056709839475784	-0.37105424163879885	0.004654406084783527	0.004691100822976336	1.1036146293686389	0.34706637507871574
7	x006348	x010055	549	91	0.8843033989183007	0.33430783121318974	0.3285029984731276	0.3052802528164924	0.6811845267003462	-0.3468766954871566	0.004647793584118156	0.004720048152397131	1.1520523621289185	-0.07830465562114819
8	x004984	x010279	232	303	0.8835415227722742	0.40135666881070886	0.369544290822324	0.3618535622202681	0.7895465617301485	-0.38818989291943967	0.0045902429097614	0.004753938883987454	0.9210977555621565	0.6483746813239311
9	x004718	x010055	338	91	0.87912351154322	0.348321992413233	0.30077349894861605	0.28868220199643907	0.6972933559588675	-0.34897136354563446	0.004654406084783527	0.004720048152397131	1.2075017985324266	-0.17676040395062936
10	x004985	x010279	229	303	0.8758831681599558	0.3682352227659834	0.35572938850056535	0.3734736228749397	0.7662639269448153	-0.39802870417883174	0.004616481200301302	0.004753938883987454	1.0026555488201008	0.6326489155688443
11	x003821	x010055	77	91	0.8321808838024058	0.27119173897204596	0.21669311645111913	0.23037572441422888	0.7126212816717785	-0.44142954269973256	0.004523767568029456	0.004720048152397131	1.015316740737812	-0.24436903055136233
12	x006383	x010054	84	102	0.830771854820932	0.33871662012405684	0.22922749294167738	0.2262250447879856	0.723220019775703	-0.38450339965164626	0.004627621882086039	0.004691100822976336	0.731708168131262	0.07342945202207216
13	x009496	x010315	71	179	0.8237266884788887	0.2946711138646586	0.25630274116946905	0.21933140887412014	0.5843272077214259	-0.2896560938567673	0.004422826572108622	0.004669156803002576	0.8421735694603061	-0.005134033766777924
