token_a	token_b	count_a	count_b	structural_similarity	reliability	normalized_graphemic_distance	position_similarity	left_similarity	right_similarity	predecessor_jaccard	successor_jaccard	predecessor_js_similarity	successor_js_similarity	left_entropy_a	left_entropy_b	right_entropy_a	right_entropy_b	shared_context_strength	differential_context_strength	positional_agreement	entropy_agreement
x004984	x010279	232	303	0.8338878859666988	0.9242775823352685	0.7142857142857143	0.9885085062112517	0.8068309284416502	0.7063242232471945	0.1443850267379679	0.16853932584269662	0.559401722369854	0.4550162160136959	3.8628160616335405	3.9581538448501554	4.635611822772033	4.820314259841994	0.5072089691917749	0.5976513711321331	0.9885085062112519	0.9687980318421732
x004985	x010279	229	303	0.8248641505502355	0.9242775823352685	0.7142857142857143	0.9588388758620946	0.8032248249216911	0.712528750866921	0.16091954022988506	0.172	0.5657882559438654	0.46810812701730975	3.679308700686627	3.9581538448501554	4.368323662729336	4.820314259841996	0.5169481914805876	0.5775315463035049	0.9588388758620946	0.9178919236447962
x004625	x010314	623	167	0.6963785453517967	0.9242775823352685	0.7142857142857143	0.9592455523667949	0.6513556093460199	0.4785344743425753	0.12054794520547946	0.11074918566775244	0.4386907280874618	0.38368653930580554	5.209908562473849	4.437187874579581	4.968635742183183	4.1000277649047225	0.41118863369663367	0.6922508603023594	0.9592455523667949	0.8384321407826361
x004624	x010315	613	179	0.6833922951071933	0.9242775823352685	0.7142857142857143	0.9759049527916986	0.5842888420139183	0.4899830905159632	0.13802816901408452	0.11971830985915492	0.4331404041334864	0.3902148208897802	5.2312519963232225	4.331354723598698	4.895073263239509	4.120284492547541	0.4116776125116333	0.6907023791714701	0.9759049527916986	0.8348486959473131
x004718	x010054	338	102	0.6961114714117985	0.8932744210724839	0.7142857142857143	0.9699253358007236	0.17786700204421835	0.9405420763904536	0.05572755417956656	0.15384615384615385	0.1397583163754209	0.6419722688152676	5.447624022311881	4.358665577512935	3.7230544188142485	2.96124562640815	0.39086529259534425	0.677152083372392	0.9699253358007236	0.7977423318121918
x004719	x010526	341	203	0.657827387955363	0.9242775823352685	0.7142857142857143	0.9797533179920006	0.16785223240806754	0.8258766134660209	0.06398104265402843	0.17391304347826086	0.14407376005805828	0.6106545736317012	5.585907396357575	5.0086825096847445	3.8182492382315725	3.578405595241751	0.3773641668448797	0.7136456908113411	0.9797533179920006	0.9169244978651581
x004718	x010526	338	203	0.6569388351598927	0.9242775823352685	0.7142857142857143	0.9756219966204223	0.25221481640124477	0.7429796924580112	0.07435897435897436	0.13664596273291926	0.18219801965553262	0.5712303322628274	5.447624022311885	5.008682509684742	3.723054418814251	3.57840559524175	0.37671417595918	0.722573568531576	0.9756219966204223	0.9402864769873053
x004719	x010527	341	182	0.6538132874420938	0.9242775823352685	0.7142857142857143	0.9726912559609904	0.17650452162436558	0.8122440847409254	0.07281553398058252	0.16071428571428573	0.15759595223008482	0.6035800665210815	5.585907396357575	5.002210304741303	3.8182492382315734	3.8002686653524123	0.3805880093755832	0.6987253183481961	0.9726912559609904	0.9453981487798135
x006348	x010055	549	91	0.6745099767892516	0.8851742977945648	0.7142857142857143	0.9370505373016029	0.14225337669641197	0.9442260163697398	0.027426160337552744	0.10434782608695652	0.0891474093848521	0.6259730766702678	5.8236676175386375	4.465157494611795	4.458993821722081	2.6774952756103456	0.35756024302755995	0.7326299826299865	0.9370505373016029	0.6835983750820825
x004718	x010055	338	91	0.6603091145356434	0.8851742977945648	0.7142857142857143	0.911825002395795	0.1311586272479038	0.9379437139632317	0.054878048780487805	0.144	0.12042524680921862	0.6622133180105585	5.447624022311885	4.465157494611795	3.7230544188142476	2.6774952756103456	0.39131928240988856	0.6924992555624705	0.911825002395795	0.7694092946601887
x009496	x010315	71	179	0.6707302582604632	0.8658692094063872	0.7142857142857143	0.9475913769429388	0.4836518959073382	0.5809475019311126	0.14388489208633093	0.14285714285714285	0.3620261163836942	0.4453103512572	3.892812755271087	4.331354723598698	3.480483390876584	4.120284492547545	0.4036682338204471	0.6862833291973416	0.9475913769429388	0.8717354849988637
x006050	x010484	40	50	0.7811634966244744	0.7402500376470451	0.7142857142857143	0.8759440130279947	0.8427498280790526	0.624796648766376	0.20588235294117646	0.1111111111111111	0.6342959558123206	0.36816410522702714	2.768388999224658	2.540430945934608	3.0119231906824653	3.3855892495092497	0.5012300305196739	0.5819078947368421	0.8759440130279946	0.9036436027013932
x006383	x010055	84	91	0.678709158122401	0.842933632330786	0.7142857142857143	0.9219961320038761	0.16925690087337453	0.9448744414899519	0.06206896551724138	0.28	0.13759389968203917	0.7234217384514454	4.123200628232599	4.465157494611795	2.7815751616066464	2.677495275610347	0.4305078190667423	0.6227262354006162	0.9219961320038762	0.942999505064265
x005730	x010617	32	67	0.7690740604834155	0.7411379542872051	0.7142857142857143	0.9038604923564305	0.5730586587907859	0.8303030303030303	0.17391304347826086	0.13636363636363635	0.4582478837605314	0.5465135437977535	2.996635675779214	3.19773630306107	2.4288910696403616	3.164260873614627	0.5023807137791425	0.5825845490716178	0.9038604923564305	0.8523564820896743
x006383	x010054	84	102	0.6591033469037143	0.8504928216270712	0.7142857142857143	0.9655495555305275	0.07831121810237904	0.9334492670782366	0.04195804195804196	0.22413793103448276	0.08293748925491795	0.649544313055381	4.123200628232599	4.358665577512935	2.781575161606647	2.9612456264081493	0.36624090115514946	0.6658888402225288	0.9655495555305276	0.9426518975340804
x009497	x010315	53	179	0.6566522915933958	0.8406389242891064	0.7142857142857143	0.9219142855092047	0.5282607502527648	0.5197818390182175	0.07751937984496124	0.13592233009708737	0.2957543619109634	0.4152329237462833	3.4253562569435796	4.331354723598698	3.128581577201884	4.120284492547544	0.35549364282862334	0.7426347184308961	0.9219142855092047	0.7750699755574686
x008352	x010617	32	67	0.739695717567149	0.7411379542872051	0.7142857142857143	0.9078224144039603	0.5227102494901619	0.7885544888073249	0.16666666666666666	0.14583333333333334	0.4420685329778832	0.5014189335158599	2.5088168327938614	3.197736303061069	2.7655866155925657	3.164260873614627	0.4717437332468715	0.6256353021978023	0.9078224144039603	0.829283704204071
x003821	x010055	77	91	0.6517684647971533	0.8365896506212392	0.7142857142857143	0.9359407405872102	0.17518014839653517	0.8441845054077146	0.053691275167785234	0.18032786885245902	0.12786008332798493	0.5347268047631772	4.203325634428977	4.465157494611795	3.3508736947316557	2.6774952756103456	0.3312934440455811	0.7459655209655205	0.9359407405872103	0.8702025205788291
x005731	x010617	38	67	0.6948299604929183	0.7571769770217512	0.7142857142857143	0.8375535389330974	0.529160597481769	0.7177757450638885	0.20833333333333334	0.17647058823529413	0.4767456124166721	0.507331446031753	3.1330252472126636	3.19773630306107	3.068377970724913	3.164260873614627	0.49203852922421254	0.589740341302841	0.8375535389330974	0.9747308235769112
x005843	x010617	24	67	0.7366390497961802	0.7133738155008067	0.7142857142857143	0.918647760923752	0.5710915448162815	0.720177843648507	0.18604651162790697	0.08695652173913043	0.4731468710055098	0.4422874567537697	2.902002313205603	3.1977363030610704	2.539367399881579	3.1642608736146274	0.45771716387963973	0.6232626748251746	0.918647760923752	0.8550164452745175
x004929	x010054	45	102	0.6525983941081793	0.799479838077577	0.7142857142857143	0.928491392228761	0.14490471120044368	0.8843990788953334	0.044642857142857144	0.18181818181818182	0.10792786219233874	0.6296667412708842	3.4678540963518416	4.358665577512935	2.1398309683483028	2.9612456264081497	0.36879730173161146	0.6874332799152041	0.928491392228761	0.7591173333951375
