Unit	WindowSize	Lag	Pairs	MeanDistance	Median	CILo	CIHi	NullMean
TOKEN	20	1	7872	0.270537476	0.234520788	0.266965309	0.273308518	0.703638692
TOKEN	20	2	7871	0.392585868	0.341353758	0.387281429	0.397128094	0.706329289
TOKEN	20	3	7870	0.485307838	0.421307489	0.479500678	0.492355356	0.706130763
TOKEN	20	4	7869	0.556085185	0.479583152	0.549194858	0.562858563	0.708249837
TOKEN	20	5	7868	0.567016445	0.484767986	0.559852578	0.573562981	0.706570897
TOKEN	20	6	7867	0.573643952	0.489897949	0.565316614	0.582251469	0.708434208
TOKEN	20	7	7866	0.576201498	0.491449273	0.568895179	0.583658700	0.702759251
TOKEN	20	8	7865	0.579430804	0.494974747	0.571516267	0.587054827	0.705203382
TOKEN	20	9	7864	0.582118922	0.497493719	0.572863644	0.588868195	0.705422071
TOKEN	20	10	7863	0.583019387	0.494974747	0.573723018	0.590708574	0.708057352
TOKEN	20	11	7862	0.586547513	0.504103301	0.579447710	0.594004920	0.705113510
TOKEN	20	12	7861	0.589536795	0.503957848	0.582897735	0.597857984	0.704920851
TOKEN	20	13	7860	0.593528518	0.506383884	0.587147657	0.601697649	0.709091678
TOKEN	20	14	7859	0.596920153	0.512347538	0.588495047	0.604709906	0.700416956
TOKEN	20	15	7858	0.600950878	0.514781507	0.591644411	0.608018855	0.707534704
TOKEN	20	16	7857	0.604709498	0.517204022	0.596122561	0.613112859	0.702706786
TOKEN	20	17	7856	0.606623899	0.522015325	0.598878519	0.615378357	0.703406187
TOKEN	20	18	7855	0.608507877	0.512347538	0.600270994	0.617344470	0.706769388
TOKEN	20	19	7854	0.608721227	0.513735961	0.598545298	0.616420893	0.709149121
TOKEN	20	20	7853	0.609065580	0.514781507	0.600242053	0.617972922	0.698730454
TOKEN	20	21	7852	0.608052713	0.518673682	0.599988788	0.616554770	0.706259104
TOKEN	20	22	7851	0.608819836	0.514781507	0.601301794	0.617723539	0.703221650
TOKEN	20	23	7850	0.611024741	0.517204022	0.603411796	0.619717032	0.707029569
TOKEN	20	24	7849	0.615046879	0.522015325	0.606239907	0.623503797	0.708715638
TOKEN	20	25	7848	0.617937836	0.519615242	0.609438801	0.626909868	0.700207786
TOKEN	20	26	7847	0.620305508	0.525349219	0.612109691	0.628233640	0.710308020
TOKEN	20	27	7846	0.621165390	0.524404424	0.612427676	0.628840351	0.699929143
TOKEN	20	28	7845	0.619964366	0.522015325	0.610667526	0.628001397	0.702877236
TOKEN	20	29	7844	0.620553495	0.518673682	0.611814471	0.628865248	0.703527817
TOKEN	20	30	7843	0.623215122	0.524404424	0.613364481	0.633372608	0.709865741
TOKEN	10	1	19685	0.307333479	0.282842712	0.305020021	0.309879979	0.845414826
TOKEN	10	2	19684	0.446470424	0.387298335	0.442854924	0.450205697	0.843845011
TOKEN	10	3	19683	0.549848444	0.469041576	0.545254807	0.554060852	0.842342644
TOKEN	10	4	19682	0.634287416	0.538516481	0.628550832	0.638895655	0.839796691
TOKEN	10	5	19681	0.704534467	0.608276253	0.698520865	0.710636216	0.846913017
