From	To	Count	NullMeanCount
0	0	4	0.000000000
0	1	1	1.920000000
0	2	0	0.000000000
0	3	0	0.000000000
0	4	2	1.800000000
1	0	2	2.000000000
1	1	251	165.020000000
1	2	182	215.360000000
1	3	42	53.760000000
1	4	91	132.600000000
2	0	1	2.980000000
2	1	179	214.480000000
2	2	319	281.340000000
2	3	66	71.280000000
2	4	179	173.600000000
3	0	0	0.000000000
3	1	30	54.320000000
3	2	83	70.640000000
3	3	33	17.280000000
3	4	41	43.980000000
4	0	0	0.000000000
4	1	107	133.020000000
4	2	160	173.700000000
4	3	46	43.880000000
4	4	149	109.760000000
