Region	N	Effect	CILo	CIHi	Reliability
CURRIER=A	1280	0.004988102	0.001662594	0.008339719	OK
CURRIER=B	2353	0.006494593	0.004311645	0.008333865	OK
HAND=1	1206	0.005235305	0.002090652	0.008567500	OK
HAND=2	1160	0.008722966	0.005744814	0.011771933	OK
HAND=3	1173	0.006172527	0.003598609	0.008951597	OK
HAND=4	134	-0.000231150	-0.003835765	0.002873286	OK
HAND=5	90	0.006447453	-0.001274291	0.015948963	OK
SECTION=Astronomical	41	-0.000750255	-0.005828687	0.007512918	OK
SECTION=Biological	695	0.008032585	0.003397558	0.013556374	OK
SECTION=Cosmological	120	0.005783511	0.001194182	0.009814325	OK
SECTION=Herbal	1317	0.005222229	0.001909942	0.008357804	OK
SECTION=Pharmaceutical	214	0.007703283	0.001567125	0.013619108	OK
SECTION=Stars	1121	0.006244850	0.003608696	0.009016839	OK
SECTION=Text	219	0.010964205	0.004824837	0.016285956	OK
SECTION=Zodiac	36	0.001073719	-0.003638602	0.005231330	OK
