Position	Page	Line	Score	Significance	Discovery	Replication	MetadataBoundary
20	f1r	1	0.587367006	NOT_SIGNIFICANT	YES	NO	NONE
40	f1r	4	0.393700394	NOT_SIGNIFICANT	YES	NO	NONE
60	f1r	7	0.291547595	NOT_SIGNIFICANT	YES	NO	NONE
80	f1r	10	0.430116263	NOT_SIGNIFICANT	YES	NO	NONE
100	f1r	13	0.744326802	NOT_SIGNIFICANT	YES	NO	NONE
120	f1r	15	0.625678442	NOT_SIGNIFICANT	YES	NO	NONE
140	f1r	17	0.122474487	NOT_SIGNIFICANT	YES	NO	NONE
160	f1r	19	0.234520788	NOT_SIGNIFICANT	YES	NO	NONE
180	f1r	22	0.146371575	NOT_SIGNIFICANT	YES	NO	NONE
200	f1r	24	0.379374008	NOT_SIGNIFICANT	YES	NO	NONE
220	f1r	27	0.264575131	NOT_SIGNIFICANT	YES	NO	PAGE
240	f1v	30	0.868907360	NOT_SIGNIFICANT	YES	NO	PAGE
260	f1v	32	0.851469318	NOT_SIGNIFICANT	YES	NO	NONE
280	f1v	34	0.502493781	NOT_SIGNIFICANT	YES	NO	NONE
300	f1v	36	0.874642784	NOT_SIGNIFICANT	YES	NO	PAGE
320	f2r	39	1.252996409	P99	YES	NO	PAGE
340	f2r	42	0.524404424	NOT_SIGNIFICANT	YES	NO	NONE
360	f2r	44	0.304138127	NOT_SIGNIFICANT	YES	NO	NONE
380	f2r	46	0.273861279	NOT_SIGNIFICANT	YES	NO	NONE
400	f2r	48	0.158113883	NOT_SIGNIFICANT	YES	NO	NONE
420	f2r	52	0.282842712	NOT_SIGNIFICANT	YES	NO	PAGE
440	f2v	55	0.327871926	NOT_SIGNIFICANT	YES	NO	PAGE
460	f2v	58	0.350000000	NOT_SIGNIFICANT	YES	NO	NONE
480	f2v	60	0.467893832	NOT_SIGNIFICANT	YES	NO	PAGE
500	f3r	64	0.262628089	NOT_SIGNIFICANT	YES	NO	PAGE
520	f3r	68	0.455521679	NOT_SIGNIFICANT	YES	NO	NONE
540	f3r	73	0.433012702	NOT_SIGNIFICANT	YES	NO	NONE
560	f3r	76	0.550000000	NOT_SIGNIFICANT	YES	NO	NONE
580	f3r	79	1.510794493	P99	YES	NO	PAGE
600	f3v	81	0.531507291	NOT_SIGNIFICANT	YES	NO	PAGE
620	f3v	84	0.874642784	NOT_SIGNIFICANT	YES	NO	NONE
640	f3v	87	0.899429549	NOT_SIGNIFICANT	YES	NO	NONE
660	f3v	91	0.571378607	NOT_SIGNIFICANT	YES	NO	NONE
680	f3v	94	0.173205081	NOT_SIGNIFICANT	YES	NO	PAGE
700	f4r	96	0.158113883	NOT_SIGNIFICANT	YES	NO	PAGE
720	f4r	100	0.180277564	NOT_SIGNIFICANT	YES	NO	NONE
740	f4r	105	0.229128785	NOT_SIGNIFICANT	YES	NO	PAGE
