evidence_type	schema_id	producer_stage	schema_path	allowed_statuses	forbidden_statuses	payload_contract_source	canonicalization	normative	notes
fit	urn:g1v2:fit:v1_1	FIT	schemas/fit.schema.json	FIT_SUCCESS	PASS;FAIL;NOT_ASSESSABLE;GENERATION_SUCCESS;COMPLEXITY_SUCCESS;AGGREGATION_SUCCESS;FIT_FAILURE;NUMERICAL_FAILURE;INDUCTION_CAP;GENERATION_FAILURE;PROTOCOL_VETO;NOT_REACHED	V1+Status/Reachability V2	G1V2-CJ-1	YES	Draft 2020-12; closed properties
fitted_model	urn:g1v2:fitted_model:v1_1	FIT	schemas/fitted_model.schema.json	FIT_SUCCESS	PASS;FAIL;NOT_ASSESSABLE;GENERATION_SUCCESS;COMPLEXITY_SUCCESS;AGGREGATION_SUCCESS;FIT_FAILURE;NUMERICAL_FAILURE;INDUCTION_CAP;GENERATION_FAILURE;PROTOCOL_VETO;NOT_REACHED	V1+Status/Reachability V2	G1V2-CJ-1	YES	Draft 2020-12; closed properties
predictive_metric	urn:g1v2:predictive_metric:v1_1	PREDICTIVE	schemas/predictive_metric.schema.json	PASS;FAIL;NOT_ASSESSABLE	FIT_SUCCESS;GENERATION_SUCCESS;COMPLEXITY_SUCCESS;AGGREGATION_SUCCESS;FIT_FAILURE;NUMERICAL_FAILURE;INDUCTION_CAP;GENERATION_FAILURE;PROTOCOL_VETO;NOT_REACHED	V1+Status/Reachability V2	G1V2-CJ-1	YES	Draft 2020-12; closed properties
predictive_gate	urn:g1v2:predictive_gate:v1_1	PREDICTIVE	schemas/predictive_gate.schema.json	PASS;FAIL;NOT_ASSESSABLE	FIT_SUCCESS;GENERATION_SUCCESS;COMPLEXITY_SUCCESS;AGGREGATION_SUCCESS;FIT_FAILURE;NUMERICAL_FAILURE;INDUCTION_CAP;GENERATION_FAILURE;PROTOCOL_VETO;NOT_REACHED	V1+Status/Reachability V2	G1V2-CJ-1	YES	Draft 2020-12; closed properties
predictive_verdict	urn:g1v2:predictive_verdict:v1_1	PREDICTIVE	schemas/predictive_verdict.schema.json	PASS;FAIL;NOT_ASSESSABLE	FIT_SUCCESS;GENERATION_SUCCESS;COMPLEXITY_SUCCESS;AGGREGATION_SUCCESS;FIT_FAILURE;NUMERICAL_FAILURE;INDUCTION_CAP;GENERATION_FAILURE;PROTOCOL_VETO;NOT_REACHED	V1+Status/Reachability V2	G1V2-CJ-1	YES	Draft 2020-12; closed properties
generation	urn:g1v2:generation:v1_1	GENERATION	schemas/generation.schema.json	GENERATION_SUCCESS	PASS;FAIL;NOT_ASSESSABLE;FIT_SUCCESS;COMPLEXITY_SUCCESS;AGGREGATION_SUCCESS;FIT_FAILURE;NUMERICAL_FAILURE;INDUCTION_CAP;GENERATION_FAILURE;PROTOCOL_VETO;NOT_REACHED	V1+Status/Reachability V2	G1V2-CJ-1	YES	Draft 2020-12; closed properties
f2_metric	urn:g1v2:f2_metric:v1_1	F2_METRIC	schemas/f2_metric.schema.json	PASS;FAIL;NOT_ASSESSABLE	FIT_SUCCESS;GENERATION_SUCCESS;COMPLEXITY_SUCCESS;AGGREGATION_SUCCESS;FIT_FAILURE;NUMERICAL_FAILURE;INDUCTION_CAP;GENERATION_FAILURE;PROTOCOL_VETO;NOT_REACHED	V1+Status/Reachability V2	G1V2-CJ-1	YES	Draft 2020-12; closed properties
structural_family	urn:g1v2:structural_family:v1_1	CANDIDATE_AGGREGATION	schemas/structural_family.schema.json	PASS;FAIL;NOT_ASSESSABLE	FIT_SUCCESS;GENERATION_SUCCESS;COMPLEXITY_SUCCESS;AGGREGATION_SUCCESS;FIT_FAILURE;NUMERICAL_FAILURE;INDUCTION_CAP;GENERATION_FAILURE;PROTOCOL_VETO;NOT_REACHED	V1+Status/Reachability V2	G1V2-CJ-1	YES	Draft 2020-12; closed properties
structural_gate	urn:g1v2:structural_gate:v1_1	CANDIDATE_AGGREGATION	schemas/structural_gate.schema.json	PASS;FAIL;NOT_ASSESSABLE	FIT_SUCCESS;GENERATION_SUCCESS;COMPLEXITY_SUCCESS;AGGREGATION_SUCCESS;FIT_FAILURE;NUMERICAL_FAILURE;INDUCTION_CAP;GENERATION_FAILURE;PROTOCOL_VETO;NOT_REACHED	V1+Status/Reachability V2	G1V2-CJ-1	YES	Draft 2020-12; closed properties
structural_verdict	urn:g1v2:structural_verdict:v1_1	CANDIDATE_AGGREGATION	schemas/structural_verdict.schema.json	PASS;FAIL;NOT_ASSESSABLE	FIT_SUCCESS;GENERATION_SUCCESS;COMPLEXITY_SUCCESS;AGGREGATION_SUCCESS;FIT_FAILURE;NUMERICAL_FAILURE;INDUCTION_CAP;GENERATION_FAILURE;PROTOCOL_VETO;NOT_REACHED	V1+Status/Reachability V2	G1V2-CJ-1	YES	Draft 2020-12; closed properties
