artifact	field_or_region	old_value	new_value	change_class	scientific_semantics_changed	verdict
G1V2_EXECUTABLE_CONTRACT_V1_1.json	models	parent value	identical parent value	TRANSITIVE_HASH_CHANGE	false	PASS
G1V2_EXECUTABLE_CONTRACT_V1_1.json	candidate_count	parent value	identical parent value	TRANSITIVE_HASH_CHANGE	false	PASS
G1V2_EXECUTABLE_CONTRACT_V1_1.json	rng	parent value	identical parent value	TRANSITIVE_HASH_CHANGE	false	PASS
G1V2_EXECUTABLE_CONTRACT_V1_1.json	metrics	parent value	identical parent value	TRANSITIVE_HASH_CHANGE	false	PASS
G1V2_EXECUTABLE_CONTRACT_V1_1.json	thresholds	parent value	identical parent value	TRANSITIVE_HASH_CHANGE	false	PASS
G1V2_EXECUTABLE_CONTRACT_V1_1.json	generation	parent value	identical parent value	TRANSITIVE_HASH_CHANGE	false	PASS
G1V2_EXECUTABLE_CONTRACT_V1_1.json	dag	parent value	identical parent value	TRANSITIVE_HASH_CHANGE	false	PASS
G1V2_EXECUTABLE_CONTRACT_V1_1.json	canonicalization	parent value	identical parent value	TRANSITIVE_HASH_CHANGE	false	PASS
G1V2_EXECUTABLE_CONTRACT_V1_1.json	firewall	parent value	identical parent value	TRANSITIVE_HASH_CHANGE	false	PASS
status/reachability	V1 generic/contradictory	V2 integrated	STATUS_REACHABILITY_V2_INTEGRATION	true (authorized V2 only)	PASS
schemas/	permissive V1	closed V1.1 branches	A17_SCHEMA_REPAIR	false	PASS
golden/	V1 roots	inherited plus A17 extension	GOLDEN_EXTENSION	false	PASS
Markdown	V1	V1 plus integration preamble	DOCUMENTATION_ALIGNMENT	false	PASS
