sequence	n	canonical_occurrences	eligible_occurrences	physical_blocks	joint_classes	currier_classes	hands	max_block_fraction	block_entropy_bits	classification	token_validity	canonical_token_occurrences	contains_question	contains_at	contains_other_nonstandard_marker	absent_tokens
x000053 x010892	2	11	11	11	4	4	1	0.09090909090909091	3.459431618637298	GROUP_CONSISTENT	ambiguous-transcription	342,43	false	false	true	
x000712 x000052	2	7	7	7	4	4	1	0.14285714285714285	2.807354922057604	GROUP_CONSISTENT	ambiguous-transcription	469,405	false	false	true	
x000712 x000053	2	7	7	7	4	4	1	0.14285714285714285	2.807354922057604	GROUP_CONSISTENT	ambiguous-transcription	469,342	false	false	true	
x000712 x009248	2	11	11	10	4	4	1	0.18181818181818182	3.277613436819116	GROUP_CONSISTENT	ambiguous-transcription	469,495	false	false	true	
x000712 x009249	2	8	8	7	4	4	1	0.25	2.75	GROUP_CONSISTENT	ambiguous-transcription	469,383	false	false	true	
x000712 x009251	2	6	6	6	3	3	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	469,119	false	false	true	
x000712 x018928	2	13	13	12	4	4	1	0.15384615384615385	3.546593564294939	GROUP_CONSISTENT	ambiguous-transcription	469,943	false	false	true	
x000712 x018929	2	6	6	6	4	4	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	469,697	false	false	true	
x000713 x009248	2	9	9	9	4	4	1	0.1111111111111111	3.169925001442312	GROUP_CONSISTENT	ambiguous-transcription	377,495	false	false	true	
x000713 x009249	2	14	14	11	4	4	1	0.21428571428571427	3.3248629576173574	GROUP_CONSISTENT	ambiguous-transcription	377,383	false	false	true	
x000713 x018928	2	10	10	8	3	3	1	0.3	2.8464393446710154	GROUP_CONSISTENT	ambiguous-transcription	377,943	false	false	true	
x000713 x018929	2	7	7	7	4	4	1	0.14285714285714285	2.807354922057604	GROUP_CONSISTENT	ambiguous-transcription	377,697	false	false	true	
x000713 x018930	2	6	6	6	3	3	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	377,456	false	false	true	
x000713 x018956	2	6	6	6	3	3	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	377,54	false	false	true	
x000714 x009248	2	6	6	5	4	4	1	0.3333333333333333	2.2516291673878226	GROUP_CONSISTENT	ambiguous-transcription	224,495	false	false	true	
x000714 x018928	2	6	6	6	3	3	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	224,943	false	false	true	
x001052 x008704	2	6	6	6	3	3	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	132,265	false	false	true	
x001052 x009249	2	8	8	7	4	4	1	0.25	2.75	GROUP_CONSISTENT	ambiguous-transcription	132,383	false	false	true	
x001168 x018928	2	19	19	16	4	4	1	0.10526315789473684	3.9321380397593733	GROUP_CONSISTENT	ambiguous-transcription	153,943	false	false	true	
x001168 x018929	2	19	19	14	4	4	1	0.21052631578947367	3.576617644908665	GROUP_CONSISTENT	ambiguous-transcription	153,697	false	false	true	
x001169 x018928	2	12	12	11	4	4	1	0.16666666666666666	3.418295834054489	GROUP_CONSISTENT	ambiguous-transcription	99,943	false	false	true	
x001169 x018929	2	7	7	7	3	3	1	0.14285714285714285	2.807354922057604	GROUP_CONSISTENT	ambiguous-transcription	99,697	false	false	true	
x001170 x018928	2	8	8	8	4	4	1	0.125	3	GROUP_CONSISTENT	ambiguous-transcription	61,943	false	false	true	
x001170 x018930	2	6	6	6	4	4	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	61,456	false	false	true	
x002536 x009248	2	8	8	7	4	4	1	0.25	2.75	GROUP_CONSISTENT	ambiguous-transcription	100,495	false	false	true	
x002536 x009249	2	6	6	5	3	3	1	0.3333333333333333	2.2516291673878226	GROUP_CONSISTENT	ambiguous-transcription	100,383	false	false	true	
