rank	opening_candidate	closing_candidate	score	reliability	ranking_scope	line_probability	page_probability	directionality	ranking_z_score	permutation_p	mean_distance	adjacent_share	page_balance_stddev	AABB	ABAB
1	x000049	x000003	0.330125	0.809524	page	0.023529	0.247059	0.202538	2.496837	0.029703	24.857143	0.000000	0.757513	1	0
2	x000018	x000002	0.329199	0.907834	page	0.045685	0.340102	0.194940	3.288997	0.00990099	24.089552	0.014925	0.807854	3	6
3	x000130	x000000	0.329056	0.753086	page	0.065574	0.377049	0.358323	3.185672	0.00990099	23.086957	0.000000	0.709483	2	1
4	x000046	x000035	0.325800	0.844961	page	0.018349	0.137615	0.103368	2.779101	0.029703	20.933333	0.000000	0.650633	1	0
5	x000072	x000005	0.325208	0.800000	page	0.050000	0.287500	0.223214	2.282698	0.019802	23.695652	0.000000	0.781624	1	0
6	x000009	x000024	0.321065	0.878049	page	0.053254	0.189349	0.071294	3.485703	0.00990099	20.531250	0.000000	0.663395	1	0
7	x000133	x000004	0.314832	0.701493	page	0.042553	0.319149	0.305635	2.718640	0.029703	21.800000	0.000000	0.825524	1	0
8	x000029	x000031	0.312909	0.874214	page	0.025641	0.160256	0.045148	2.329013	0.029703	20.640000	0.000000	0.613165	1	0
9	x000130	x000001	0.309172	0.753086	page	0.049180	0.377049	0.344262	3.333076	0.00990099	21.695652	0.000000	0.762121	1	1
10	x000130	x000029	0.304684	0.753086	page	0.032787	0.229508	0.210277	2.460845	0.019802	21.428571	0.000000	0.579205	1	0
11	x000079	x000002	0.304346	0.803922	page	0.048780	0.170732	0.164280	2.370180	0.00990099	17.500000	0.000000	0.918933	1	0
12	x000027	x000002	0.302341	0.888268	page	0.100629	0.371069	0.209779	2.755013	0.00990099	19.000000	0.118644	0.757458	4	8
13	x000052	x000028	0.301998	0.842520	page	0.028037	0.214953	0.157991	3.547746	0.00990099	23.391304	0.000000	0.581779	1	1
14	x000039	x000022	0.301681	0.890710	page	0.042945	0.208589	0.136733	3.427606	0.00990099	20.823529	0.000000	0.670945	1	1
15	x000009	x000003	0.301212	0.894180	page	0.053254	0.242604	0.156987	2.776049	0.00990099	20.414634	0.000000	0.826023	2	1
16	x000067	x000015	0.300604	0.801980	page	0.000000	0.197531	0.141034	2.322878	0.029703	30.000000	0.000000	0.625129	1	0
17	x000083	x000002	0.299886	0.791667	page	0.039474	0.210526	0.200849	2.179974	0.019802	24.000000	0.000000	0.910741	1	0
18	x000079	x000032	0.298358	0.803922	page	0.024390	0.231707	0.202972	2.774070	0.00990099	25.157895	0.000000	0.594336	1	0
19	x000129	x000072	0.297386	0.696970	page	0.000000	0.130435	0.117935	3.473270	0.00990099	18.333333	0.000000	0.426339	1	0
20	x000008	x000041	0.294144	0.890710	page	0.017241	0.126437	0.083492	2.001571	0.029703	24.409091	0.000000	0.732575	1	0
21	x000079	x000001	0.293371	0.803922	page	0.048780	0.280488	0.244422	3.271413	0.00990099	24.565217	0.000000	0.839414	0	0
22	x000061	x000000	0.291910	0.803922	page	0.060976	0.231707	0.183018	1.790572	0.049505	25.000000	0.000000	0.748197	1	0
