mechanism	corpus	family	progress
M0_IDENTITY	Astafiev	CHARACTER_ENTROPY	-0
M0_IDENTITY	Astafiev	LOCAL_REGIME_TOPOLOGY	0
M0_IDENTITY	Astafiev	LOCAL_TRANSITION	0
M0_IDENTITY	Astafiev	POSITIONAL_STRUCTURE	1.80129424e-15
M0_IDENTITY	Astafiev	REPETITION_EDIT_GEOMETRY	8.5007664e-18
M0_IDENTITY	Astafiev	TOKEN_FORMATION	1.69653837e-16
M0_IDENTITY	Astafiev	TOKEN_ORDER	1.60245312e-16
M0_IDENTITY	Doyle	CHARACTER_ENTROPY	5.21548241e-16
M0_IDENTITY	Doyle	LOCAL_REGIME_TOPOLOGY	0
M0_IDENTITY	Doyle	LOCAL_TRANSITION	-7.38983057e-17
M0_IDENTITY	Doyle	POSITIONAL_STRUCTURE	7.64871216e-16
M0_IDENTITY	Doyle	REPETITION_EDIT_GEOMETRY	0
M0_IDENTITY	Doyle	TOKEN_FORMATION	0
M0_IDENTITY	Doyle	TOKEN_ORDER	-0
M0_IDENTITY	Longfellow	CHARACTER_ENTROPY	1.9218922e-15
M0_IDENTITY	Longfellow	LOCAL_REGIME_TOPOLOGY	0
M0_IDENTITY	Longfellow	LOCAL_TRANSITION	3.36113099e-17
M0_IDENTITY	Longfellow	POSITIONAL_STRUCTURE	-4.65782973e-16
M0_IDENTITY	Longfellow	REPETITION_EDIT_GEOMETRY	-8.73824131e-17
M0_IDENTITY	Longfellow	TOKEN_FORMATION	-1.27653731e-16
M0_IDENTITY	Longfellow	TOKEN_ORDER	2.05628841e-16
M10_STATEFUL_FORM_K2	Astafiev	CHARACTER_ENTROPY	1.26609198
M10_STATEFUL_FORM_K2	Astafiev	LOCAL_REGIME_TOPOLOGY	-0.5
M10_STATEFUL_FORM_K2	Astafiev	LOCAL_TRANSITION	0.105327049
M10_STATEFUL_FORM_K2	Astafiev	POSITIONAL_STRUCTURE	3.40891179
M10_STATEFUL_FORM_K2	Astafiev	REPETITION_EDIT_GEOMETRY	0.300724742
M10_STATEFUL_FORM_K2	Astafiev	TOKEN_FORMATION	1.923176
M10_STATEFUL_FORM_K2	Astafiev	TOKEN_ORDER	0.288298458
M10_STATEFUL_FORM_K2	Doyle	CHARACTER_ENTROPY	1.61983172
M10_STATEFUL_FORM_K2	Doyle	LOCAL_REGIME_TOPOLOGY	-0.5
M10_STATEFUL_FORM_K2	Doyle	LOCAL_TRANSITION	0.201572396
M10_STATEFUL_FORM_K2	Doyle	POSITIONAL_STRUCTURE	2.03774984
M10_STATEFUL_FORM_K2	Doyle	REPETITION_EDIT_GEOMETRY	0.141813951
M10_STATEFUL_FORM_K2	Doyle	TOKEN_FORMATION	1.75019342
M10_STATEFUL_FORM_K2	Doyle	TOKEN_ORDER	-0.469109951
M10_STATEFUL_FORM_K2	Longfellow	CHARACTER_ENTROPY	1.54556804
M10_STATEFUL_FORM_K2	Longfellow	LOCAL_REGIME_TOPOLOGY	-0.5
M10_STATEFUL_FORM_K2	Longfellow	LOCAL_TRANSITION	0.269846701
M10_STATEFUL_FORM_K2	Longfellow	POSITIONAL_STRUCTURE	2.26473974
M10_STATEFUL_FORM_K2	Longfellow	REPETITION_EDIT_GEOMETRY	0.101711703
M10_STATEFUL_FORM_K2	Longfellow	TOKEN_FORMATION	1.71183541
M10_STATEFUL_FORM_K2	Longfellow	TOKEN_ORDER	-2.59069428
M10_STATEFUL_FORM_K4	Astafiev	CHARACTER_ENTROPY	0.799165097
M10_STATEFUL_FORM_K4	Astafiev	LOCAL_REGIME_TOPOLOGY	-0.5
M10_STATEFUL_FORM_K4	Astafiev	LOCAL_TRANSITION	-0.231144842
M10_STATEFUL_FORM_K4	Astafiev	POSITIONAL_STRUCTURE	2.38119866
M10_STATEFUL_FORM_K4	Astafiev	REPETITION_EDIT_GEOMETRY	0.504285937
M10_STATEFUL_FORM_K4	Astafiev	TOKEN_FORMATION	1.36405893
M10_STATEFUL_FORM_K4	Astafiev	TOKEN_ORDER	0.22277992
M10_STATEFUL_FORM_K4	Doyle	CHARACTER_ENTROPY	0.453357882
M10_STATEFUL_FORM_K4	Doyle	LOCAL_REGIME_TOPOLOGY	-0.5
M10_STATEFUL_FORM_K4	Doyle	LOCAL_TRANSITION	-0.0696461334
M10_STATEFUL_FORM_K4	Doyle	POSITIONAL_STRUCTURE	1.61095644
M10_STATEFUL_FORM_K4	Doyle	REPETITION_EDIT_GEOMETRY	0.405571328
M10_STATEFUL_FORM_K4	Doyle	TOKEN_FORMATION	1.31658458
M10_STATEFUL_FORM_K4	Doyle	TOKEN_ORDER	-0.621922805
M10_STATEFUL_FORM_K4	Longfellow	CHARACTER_ENTROPY	0.527199779
M10_STATEFUL_FORM_K4	Longfellow	LOCAL_REGIME_TOPOLOGY	-0.5
M10_STATEFUL_FORM_K4	Longfellow	LOCAL_TRANSITION	0.0189758493
M10_STATEFUL_FORM_K4	Longfellow	POSITIONAL_STRUCTURE	1.73896144
M10_STATEFUL_FORM_K4	Longfellow	REPETITION_EDIT_GEOMETRY	0.379314393
M10_STATEFUL_FORM_K4	Longfellow	TOKEN_FORMATION	1.29285041
M10_STATEFUL_FORM_K4	Longfellow	TOKEN_ORDER	-2.88541046
M10_STATEFUL_FORM_K8	Astafiev	CHARACTER_ENTROPY	0.29130186
M10_STATEFUL_FORM_K8	Astafiev	LOCAL_REGIME_TOPOLOGY	-0.5
M10_STATEFUL_FORM_K8	Astafiev	LOCAL_TRANSITION	-0.396802
M10_STATEFUL_FORM_K8	Astafiev	POSITIONAL_STRUCTURE	0.381809224
M10_STATEFUL_FORM_K8	Astafiev	REPETITION_EDIT_GEOMETRY	0.550269389
M10_STATEFUL_FORM_K8	Astafiev	TOKEN_FORMATION	0.277050215
M10_STATEFUL_FORM_K8	Astafiev	TOKEN_ORDER	0.289804767
M10_STATEFUL_FORM_K8	Doyle	CHARACTER_ENTROPY	-0.683371351
