mechanism	corpus	error_rate	token_order_bits	weighted_entropy	h2	giant_component_fraction
M0_IDENTITY	Longfellow	0	0.773081688	0.834765652	3.13903774	0
M0_IDENTITY	Longfellow	0.001	0.763649696	0.835940048	3.14492891	0
M0_IDENTITY	Longfellow	0.005	0.735299133	0.839644717	3.16794277	0
M0_IDENTITY	Longfellow	0.01	0.695846643	0.844502285	3.19237764	0
M0_IDENTITY	Longfellow	0.02	0.625445311	0.853383907	3.23677974	0
M0_IDENTITY	Longfellow	0.05	0.477616043	0.872846823	3.3513889	0
M0_IDENTITY	Astafiev	0	1.57814917	0.71967884	3.23224258	0
M0_IDENTITY	Astafiev	0.001	1.55837904	0.720072155	3.24061582	0
M0_IDENTITY	Astafiev	0.005	1.46920122	0.722626646	3.27865888	0
M0_IDENTITY	Astafiev	0.01	1.38290008	0.726026192	3.31833096	0
M0_IDENTITY	Astafiev	0.02	1.20948765	0.732370485	3.39170393	0
M0_IDENTITY	Astafiev	0.05	0.868332553	0.74754095	3.57015922	0
M0_IDENTITY	Doyle	0	0.879884619	0.886712617	3.16982309	0
M0_IDENTITY	Doyle	0.001	0.86902963	0.887851216	3.17583708	0
M0_IDENTITY	Doyle	0.005	0.827960231	0.89223857	3.1984255	0
M0_IDENTITY	Doyle	0.01	0.794292136	0.896524393	3.22340354	0
M0_IDENTITY	Doyle	0.02	0.709855551	0.906799457	3.2730699	0
M0_IDENTITY	Doyle	0.05	0.543023928	0.930215954	3.38925736	0
M10_STATEFUL_FORM_K2	Doyle	0	1.13710672	0.235441858	2.24006405	0
M10_STATEFUL_FORM_K2	Doyle	0.001	1.11680012	0.240740709	2.24973272	0
M10_STATEFUL_FORM_K2	Doyle	0.005	1.04938265	0.259822674	2.28278921	0
M10_STATEFUL_FORM_K2	Doyle	0.01	0.967961076	0.279692634	2.31910415	0
M10_STATEFUL_FORM_K2	Doyle	0.02	0.83840364	0.317764104	2.3846064	0
M10_STATEFUL_FORM_K2	Doyle	0.05	0.586367453	0.393958535	2.55431758	0
M10_STATEFUL_FORM_K2	Longfellow	0	1.16232594	0.235205227	2.23134459	0
M10_STATEFUL_FORM_K2	Longfellow	0.001	1.13799462	0.240740296	2.23992637	0
M10_STATEFUL_FORM_K2	Longfellow	0.005	1.06319503	0.259331983	2.27549816	0
M10_STATEFUL_FORM_K2	Longfellow	0.01	0.983434421	0.280273033	2.31003223	0
M10_STATEFUL_FORM_K2	Longfellow	0.02	0.847049491	0.313704557	2.3800083	0
M10_STATEFUL_FORM_K2	Longfellow	0.05	0.586553014	0.398276626	2.55002826	0
M10_STATEFUL_FORM_K2	Astafiev	0	1.1056323	0.233171722	2.25680695	0
M10_STATEFUL_FORM_K2	Astafiev	0.001	1.08596593	0.238630341	2.26581893	0
