mechanism	corpus	replicates	token_order_bits	token_order_ci_lo	token_order_ci_hi	edge_order_bits	weighted_entropy	giant_component_fraction	exact_adjacent_repeat_rate	h1	h2	h3	h4	position_gain_bits	order_gain_bits	adjacent_near_rate	residual_adjacency	correlation_length_tokens	cluster_stability	within_cluster_drift	line_boundary_delta	topology
M0_IDENTITY	Astafiev	12	1.4766635	1.4766635	1.4766635	0.343203608	0.71967884	0.0506666667	0.00039653167	4.5249676	3.35761267	2.37860655	1.5582518	0.374345542	1.02376782	0.0170141446	-0.0199937294	10	0.76375	0.0965095269	1.40630951	MIXED_DRIFT_AND_STATES
M0_IDENTITY	Doyle	12	0.741787572	0.741787572	0.741787572	0.0729560118	0.886712617	0.203666667	0.000610060451	4.09895648	3.2972487	2.62248045	2.00798711	0.290815748	0.710281258	0.0117067473	-0.0171985106	10	0.77	0.0955749795	0.801275087	MIXED_DRIFT_AND_STATES
M0_IDENTITY	Longfellow	12	0.360967211	0.360967211	0.360967211	0.0923433776	0.834765652	0.231666667	0.00139132982	4.1302431	3.27080041	2.54419249	1.8450845	0.266690738	0.728281879	0.00704438263	-0.026796002	10	0.7375	0.103068367	0.783263817	MIXED_DRIFT_AND_STATES
M10_STATEFUL_FORM_K2	Astafiev	12	1.07718151	1.06299968	1.09136333	0.0218091099	0.299464056	0.296138308	0.00282044718	3.77452293	2.19407794	2.52803859	2.11800913	1.00361344	1.118402	0.0214001252	0.0212948578	5	0.733229167	0.0406404256	0	DISCRETE_REGIMES
M10_STATEFUL_FORM_K2	Doyle	12	1.04707418	1.03483285	1.0593155	0.0568619339	0.295147202	0.297727161	0.00266534579	3.76596065	2.19300253	2.48899341	2.05993359	1.00967662	1.11838839	0.0211703571	0.0211413211	5	0.7265625	0.0379442321	0	DISCRETE_REGIMES
M10_STATEFUL_FORM_K2	Longfellow	12	1.06034586	1.04649625	1.07419548	0.0586020917	0.294950686	0.296280741	0.00240048439	3.76873025	2.19205055	2.48618012	2.06502792	1.01109479	1.12292165	0.0209715223	0.0209109603	5	0.725833333	0.0380322007	0	DISCRETE_REGIMES
M10_STATEFUL_FORM_K4	Astafiev	12	1.16796755	1.15908629	1.17684881	0.0411275849	0.426149719	0.462298565	0.000886101155	4.101205	2.54698366	2.60408293	2.13594794	0.820668966	1.11088192	0.00738891734	0.00702759427	5	0.756875	0.0434208943	0	DISCRETE_REGIMES
M10_STATEFUL_FORM_K4	Doyle	12	1.14652148	1.13536016	1.1576828	0.0695711844	0.419046716	0.472668688	0.0011249247	4.09743731	2.53274308	2.56033731	2.07927144	0.83157949	1.12613146	0.00843693527	0.00803950496	5	0.755208333	0.0429427917	0	DISCRETE_REGIMES
M10_STATEFUL_FORM_K4	Longfellow	12	1.13990686	1.12991237	1.14990135	0.0711464033	0.420273252	0.47263253	0.000976600648	4.09787212	2.53265124	2.55843891	2.08307937	0.82889612	1.12365764	0.00802375093	0.00758614153	5	0.758541667	0.0444113681	0	DISCRETE_REGIMES
M10_STATEFUL_FORM_K8	Astafiev	12	1.07509428	1.06885638	1.08133218	0.0962635492	0.672613416	0.499833333	2.8446265e-06	4.40452954	3.01019607	2.72693234	2.16349375	0.464997052	1.02673895	0.000490698071	7.24737324e-05	5	0.754375	0.0392329543	0	DISCRETE_REGIMES
M10_STATEFUL_FORM_K8	Doyle	12	1.07472177	1.06847106	1.08097249	0.11128393	0.665015934	0.584444444	0	4.39402533	2.99515091	2.67671284	2.10244999	0.475695296	1.03063542	0.000591492666	1.80315745e-05	5	0.736770833	0.0421539775	0	DISCRETE_REGIMES
M10_STATEFUL_FORM_K8	Longfellow	12	1.06371291	1.05860713	1.06881868	0.112798874	0.666076471	0.577194444	1.9532013e-06	4.39517723	2.99405736	2.67417504	2.10332508	0.473243122	1.03119748	0.000548849564	5.45853734e-05	5	0.739791667	0.0438040621	0	DISCRETE_REGIMES
