mechanism	corpus	correlation_length_tokens	cluster_stability	within_cluster_drift	line_boundary_delta	topology
M0_IDENTITY	Astafiev	10	0.76375	0.0965095269	1.40630951	MIXED_DRIFT_AND_STATES
M0_IDENTITY	Doyle	10	0.77	0.0955749795	0.801275087	MIXED_DRIFT_AND_STATES
M0_IDENTITY	Longfellow	10	0.7375	0.103068367	0.783263817	MIXED_DRIFT_AND_STATES
M10_STATEFUL_FORM_K2	Astafiev	5	0.733229167	0.0406404256	0	DISCRETE_REGIMES
M10_STATEFUL_FORM_K2	Doyle	5	0.7265625	0.0379442321	0	DISCRETE_REGIMES
M10_STATEFUL_FORM_K2	Longfellow	5	0.725833333	0.0380322007	0	DISCRETE_REGIMES
M10_STATEFUL_FORM_K4	Astafiev	5	0.756875	0.0434208943	0	DISCRETE_REGIMES
M10_STATEFUL_FORM_K4	Doyle	5	0.755208333	0.0429427917	0	DISCRETE_REGIMES
M10_STATEFUL_FORM_K4	Longfellow	5	0.758541667	0.0444113681	0	DISCRETE_REGIMES
M10_STATEFUL_FORM_K8	Astafiev	5	0.754375	0.0392329543	0	DISCRETE_REGIMES
M10_STATEFUL_FORM_K8	Doyle	5	0.736770833	0.0421539775	0	DISCRETE_REGIMES
M10_STATEFUL_FORM_K8	Longfellow	5	0.739791667	0.0438040621	0	DISCRETE_REGIMES
M11_MIXED_FORM_K2	Astafiev	5.83333333	0.744166667	0.0497355459	0	DISCRETE_REGIMES
M11_MIXED_FORM_K2	Doyle	5.83333333	0.737291667	0.0555444864	0	MIXED_DRIFT_AND_STATES
M11_MIXED_FORM_K2	Longfellow	7.08333333	0.709375	0.0592240479	0	MIXED_DRIFT_AND_STATES
M11_MIXED_FORM_K5	Astafiev	5.41666667	0.740208333	0.0535142878	0	MIXED_DRIFT_AND_STATES
M11_MIXED_FORM_K5	Doyle	5.41666667	0.759270833	0.0549608582	0	MIXED_DRIFT_AND_STATES
M11_MIXED_FORM_K5	Longfellow	5.83333333	0.748020833	0.0582162589	0	MIXED_DRIFT_AND_STATES
M1_MONOALPHABETIC	Astafiev	10	0.75875	0.0939489446	1.40288622	MIXED_DRIFT_AND_STATES
M1_MONOALPHABETIC	Doyle	10	0.7240625	0.093210167	0.799590791	MIXED_DRIFT_AND_STATES
M1_MONOALPHABETIC	Longfellow	10	0.748958333	0.102228404	0.781944566	MIXED_DRIFT_AND_STATES
M2_HOMOPHONY_H2	Astafiev	10	0.757604167	0.113636069	1.39117266	MIXED_DRIFT_AND_STATES
M2_HOMOPHONY_H2	Doyle	10	0.718958333	0.104565042	0.774566013	MIXED_DRIFT_AND_STATES
M2_HOMOPHONY_H2	Longfellow	10	0.746458333	0.0962251611	0.766177543	MIXED_DRIFT_AND_STATES
M2_HOMOPHONY_H4	Astafiev	10	0.772083333	0.126293632	1.38727203	MIXED_DRIFT_AND_STATES
M2_HOMOPHONY_H4	Doyle	10	0.742916667	0.122352754	0.764341207	MIXED_DRIFT_AND_STATES
M2_HOMOPHONY_H4	Longfellow	10	0.740729167	0.104227476	0.76168929	MIXED_DRIFT_AND_STATES
M2_HOMOPHONY_H8	Astafiev	10	0.7665625	0.132990406	1.38367548	MIXED_DRIFT_AND_STATES
M2_HOMOPHONY_H8	Doyle	10	0.7515625	0.10422298	0.758640126	MIXED_DRIFT_AND_STATES
M2_HOMOPHONY_H8	Longfellow	10	0.7425	0.0776912369	0.753689895	MIXED_DRIFT_AND_STATES
M3_FORM_HIGH	Astafiev	5.83333333	0.7575	0.0695928728	0.721465288	MIXED_DRIFT_AND_STATES
M3_FORM_HIGH	Doyle	5.41666667	0.7534375	0.0741623139	0.69341601	MIXED_DRIFT_AND_STATES
M3_FORM_HIGH	Longfellow	9.58333333	0.754270833	0.0925072432	0.656038604	MIXED_DRIFT_AND_STATES
M3_FORM_LOW	Astafiev	5	0.796979167	0.0403672344	0.403246699	DISCRETE_REGIMES
M3_FORM_LOW	Doyle	5	0.756875	0.032411818	0.383961532	DISCRETE_REGIMES
M3_FORM_LOW	Longfellow	5	0.747395833	0.0439959897	0.375258464	DISCRETE_REGIMES
M3_FORM_MEDIUM	Astafiev	5	0.754583333	0.0542499875	0.509333621	MIXED_DRIFT_AND_STATES
M3_FORM_MEDIUM	Doyle	5	0.752395833	0.0561202994	0.491343995	MIXED_DRIFT_AND_STATES
M3_FORM_MEDIUM	Longfellow	6.66666667	0.741354167	0.0711071875	0.475545348	MIXED_DRIFT_AND_STATES
M4_STATE_K2_A	Astafiev	10	0.759479167	0.0984697736	1.4046621	MIXED_DRIFT_AND_STATES
M4_STATE_K2_A	Doyle	10	0.745416667	0.0966806626	0.798522909	MIXED_DRIFT_AND_STATES
M4_STATE_K2_A	Longfellow	10	0.749270833	0.10007732	0.781555287	MIXED_DRIFT_AND_STATES
M4_STATE_K2_B	Astafiev	10	0.759479167	0.0984697736	1.4046621	MIXED_DRIFT_AND_STATES
M4_STATE_K2_B	Doyle	10	0.745416667	0.0966806626	0.798522909	MIXED_DRIFT_AND_STATES
M4_STATE_K2_B	Longfellow	10	0.749270833	0.10007732	0.781555287	MIXED_DRIFT_AND_STATES
M4_STATE_K2_C	Astafiev	10	0.759479167	0.0984697736	1.4046621	MIXED_DRIFT_AND_STATES
M4_STATE_K2_C	Doyle	10	0.745416667	0.0966806626	0.798522909	MIXED_DRIFT_AND_STATES
M4_STATE_K2_C	Longfellow	10	0.749270833	0.10007732	0.781555287	MIXED_DRIFT_AND_STATES
M4_STATE_K4_A	Astafiev	10	0.7221875	0.106039887	1.40001934	MIXED_DRIFT_AND_STATES
M4_STATE_K4_A	Doyle	10	0.745	0.106937738	0.790471505	MIXED_DRIFT_AND_STATES
M4_STATE_K4_A	Longfellow	10	0.745	0.100858366	0.775372661	MIXED_DRIFT_AND_STATES
M4_STATE_K4_B	Astafiev	10	0.730520833	0.111554252	1.40261014	MIXED_DRIFT_AND_STATES
M4_STATE_K4_B	Doyle	10	0.7353125	0.101601405	0.79186236	MIXED_DRIFT_AND_STATES
M4_STATE_K4_B	Longfellow	10	0.751770833	0.092983504	0.775829301	MIXED_DRIFT_AND_STATES
M4_STATE_K4_C	Astafiev	10	0.7575	0.106544688	1.40364033	MIXED_DRIFT_AND_STATES
M4_STATE_K4_C	Doyle	10	0.7278125	0.0971610016	0.791522566	MIXED_DRIFT_AND_STATES
M4_STATE_K4_C	Longfellow	10	0.755208333	0.096228995	0.774698218	MIXED_DRIFT_AND_STATES
M4_STATE_K8_A	Astafiev	10	0.754270833	0.108806592	1.40012425	MIXED_DRIFT_AND_STATES
M4_STATE_K8_A	Doyle	10	0.765	0.105777594	0.785667251	MIXED_DRIFT_AND_STATES
M4_STATE_K8_A	Longfellow	10	0.734375	0.0932347578	0.775710876	MIXED_DRIFT_AND_STATES
M4_STATE_K8_B	Astafiev	10	0.737083333	0.10523127	1.40149409	MIXED_DRIFT_AND_STATES
M4_STATE_K8_B	Doyle	10	0.73875	0.103655425	0.787751885	MIXED_DRIFT_AND_STATES
M4_STATE_K8_B	Longfellow	10	0.733854167	0.0922372832	0.776885147	MIXED_DRIFT_AND_STATES
M4_STATE_K8_C	Astafiev	10	0.7565625	0.108497173	1.40148423	MIXED_DRIFT_AND_STATES
M4_STATE_K8_C	Doyle	10	0.715625	0.105866213	0.788633229	MIXED_DRIFT_AND_STATES
M4_STATE_K8_C	Longfellow	10	0.738958333	0.0894494952	0.775901668	MIXED_DRIFT_AND_STATES
M5_DRIFT_N20	Astafiev	10	0.737291667	0.11046861	1.39379011	MIXED_DRIFT_AND_STATES
M5_DRIFT_N20	Doyle	10	0.7221875	0.101598009	0.773334622	MIXED_DRIFT_AND_STATES
M5_DRIFT_N20	Longfellow	10	0.754375	0.0930319643	0.749351233	MIXED_DRIFT_AND_STATES
M5_DRIFT_N5	Astafiev	10	0.7409375	0.118514287	1.40504445	MIXED_DRIFT_AND_STATES
M5_DRIFT_N5	Doyle	10	0.766145833	0.112381701	0.794192396	MIXED_DRIFT_AND_STATES
M5_DRIFT_N5	Longfellow	10	0.7184375	0.102648835	0.792117523	MIXED_DRIFT_AND_STATES
M5_DRIFT_N80	Astafiev	10	0.766354167	0.123886487	1.39038918	MIXED_DRIFT_AND_STATES
M5_DRIFT_N80	Doyle	10	0.7371875	0.100798851	0.772049399	MIXED_DRIFT_AND_STATES
M5_DRIFT_N80	Longfellow	10	0.7440625	0.118643908	0.755357987	MIXED_DRIFT_AND_STATES
M6_MACRO_K2	Astafiev	10	0.762291667	0.108766414	1.40341274	MIXED_DRIFT_AND_STATES
M6_MACRO_K2	Doyle	10	0.715833333	0.104796004	0.7947547	MIXED_DRIFT_AND_STATES
M6_MACRO_K2	Longfellow	10	0.741770833	0.120859933	0.778028444	MIXED_DRIFT_AND_STATES
M6_MACRO_K5	Astafiev	10	0.7690625	0.115754892	1.39921879	MIXED_DRIFT_AND_STATES
M6_MACRO_K5	Doyle	10	0.7396875	0.106624065	0.783312596	MIXED_DRIFT_AND_STATES
M6_MACRO_K5	Longfellow	10	0.736041667	0.126959287	0.76579206	MIXED_DRIFT_AND_STATES
M7_MIXED_K2_N20	Astafiev	10	0.740208333	0.108052448	1.39341523	MIXED_DRIFT_AND_STATES
M7_MIXED_K2_N20	Doyle	10	0.724479167	0.108291032	0.773095632	MIXED_DRIFT_AND_STATES
M7_MIXED_K2_N20	Longfellow	10	0.7421875	0.0939626622	0.749095481	MIXED_DRIFT_AND_STATES
M7_MIXED_K2_N5	Astafiev	10	0.762291667	0.109717888	1.40564804	MIXED_DRIFT_AND_STATES
M7_MIXED_K2_N5	Doyle	10	0.750520833	0.11032642	0.794742159	MIXED_DRIFT_AND_STATES
M7_MIXED_K2_N5	Longfellow	10	0.7321875	0.100747218	0.793160988	MIXED_DRIFT_AND_STATES
M7_MIXED_K2_N80	Astafiev	10	0.7596875	0.118088075	1.39054339	MIXED_DRIFT_AND_STATES
M7_MIXED_K2_N80	Doyle	10	0.741666667	0.101085481	0.771378402	MIXED_DRIFT_AND_STATES
M7_MIXED_K2_N80	Longfellow	10	0.738125	0.121116025	0.755883765	MIXED_DRIFT_AND_STATES
M7_MIXED_K5_N20	Astafiev	10	0.744166667	0.109961028	1.39397655	MIXED_DRIFT_AND_STATES
M7_MIXED_K5_N20	Doyle	10	0.7259375	0.101743396	0.773166463	MIXED_DRIFT_AND_STATES
M7_MIXED_K5_N20	Longfellow	10	0.754270833	0.0942011054	0.749215241	MIXED_DRIFT_AND_STATES
M7_MIXED_K5_N5	Astafiev	10	0.758854167	0.121159224	1.40486185	MIXED_DRIFT_AND_STATES
M7_MIXED_K5_N5	Doyle	10	0.766875	0.120062568	0.794631018	MIXED_DRIFT_AND_STATES
M7_MIXED_K5_N5	Longfellow	10	0.718333333	0.102561732	0.792635087	MIXED_DRIFT_AND_STATES
M7_MIXED_K5_N80	Astafiev	10	0.74875	0.120669908	1.39094022	MIXED_DRIFT_AND_STATES
M7_MIXED_K5_N80	Doyle	10	0.733645833	0.103530925	0.771798057	MIXED_DRIFT_AND_STATES
M7_MIXED_K5_N80	Longfellow	10	0.746979167	0.118332817	0.755622873	MIXED_DRIFT_AND_STATES
M8_BOUNDARY_FIXED	Astafiev	5	0.759479167	0.0161001351	0	DISCRETE_REGIMES
M8_BOUNDARY_FIXED	Doyle	5	0.739791667	0.0172319563	0	DISCRETE_REGIMES
M8_BOUNDARY_FIXED	Longfellow	5	0.7475	0.0208743021	0	DISCRETE_REGIMES
M8_BOUNDARY_RANDOM	Astafiev	7.5	0.723333333	0.069003884	0	MIXED_DRIFT_AND_STATES
M8_BOUNDARY_RANDOM	Doyle	7.5	0.755729167	0.0659255675	0	MIXED_DRIFT_AND_STATES
M8_BOUNDARY_RANDOM	Longfellow	7.5	0.75125	0.0648848031	0	MIXED_DRIFT_AND_STATES
M8_BOUNDARY_STATE	Astafiev	5	0.714166667	0.00042021068	0	DISCRETE_REGIMES
M8_BOUNDARY_STATE	Doyle	5	0.7184375	-2.03376295e-05	0	DISCRETE_REGIMES
