mechanism	on_pareto_front	mean_family_scores
M0_IDENTITY	true	CHARACTER_ENTROPY=8.145e-16;LOCAL_REGIME_TOPOLOGY=0;LOCAL_TRANSITION=-1.343e-17;POSITIONAL_STRUCTURE=7.001e-16;REPETITION_EDIT_GEOMETRY=-2.629e-17;TOKEN_FORMATION=1.4e-17;TOKEN_ORDER=1.22e-16
M10_STATEFUL_FORM_K2	true	CHARACTER_ENTROPY=1.477;LOCAL_REGIME_TOPOLOGY=-0.5;LOCAL_TRANSITION=0.1922;POSITIONAL_STRUCTURE=2.57;REPETITION_EDIT_GEOMETRY=0.1814;TOKEN_FORMATION=1.795;TOKEN_ORDER=-0.9238
M10_STATEFUL_FORM_K4	true	CHARACTER_ENTROPY=0.5932;LOCAL_REGIME_TOPOLOGY=-0.5;LOCAL_TRANSITION=-0.09394;POSITIONAL_STRUCTURE=1.91;REPETITION_EDIT_GEOMETRY=0.4297;TOKEN_FORMATION=1.324;TOKEN_ORDER=-1.095
M10_STATEFUL_FORM_K8	true	CHARACTER_ENTROPY=-0.2926;LOCAL_REGIME_TOPOLOGY=-0.5;LOCAL_TRANSITION=-0.2531;POSITIONAL_STRUCTURE=0.6177;REPETITION_EDIT_GEOMETRY=0.5561;TOKEN_FORMATION=0.4007;TOKEN_ORDER=-0.9417
M11_MIXED_FORM_K2	true	CHARACTER_ENTROPY=-0.3472;LOCAL_REGIME_TOPOLOGY=-0.375;LOCAL_TRANSITION=-0.09398;POSITIONAL_STRUCTURE=0.8109;REPETITION_EDIT_GEOMETRY=0.3592;TOKEN_FORMATION=-0.06086;TOKEN_ORDER=-0.9604
M11_MIXED_FORM_K5	true	CHARACTER_ENTROPY=-1.123;LOCAL_REGIME_TOPOLOGY=-0.4444;LOCAL_TRANSITION=-0.09945;POSITIONAL_STRUCTURE=-0.5479;REPETITION_EDIT_GEOMETRY=0.3173;TOKEN_FORMATION=-2.351;TOKEN_ORDER=-0.5022
M1_MONOALPHABETIC	false	CHARACTER_ENTROPY=-8.93e-16;LOCAL_REGIME_TOPOLOGY=0;LOCAL_TRANSITION=-1.343e-17;POSITIONAL_STRUCTURE=-1.011e-15;REPETITION_EDIT_GEOMETRY=-0.007719;TOKEN_FORMATION=1.4e-17;TOKEN_ORDER=-0.002649
M2_HOMOPHONY_H2	true	CHARACTER_ENTROPY=-2.204;LOCAL_REGIME_TOPOLOGY=0;LOCAL_TRANSITION=-0.09447;POSITIONAL_STRUCTURE=0.001216;REPETITION_EDIT_GEOMETRY=-0.2147;TOKEN_FORMATION=-0.001386;TOKEN_ORDER=0.6
M2_HOMOPHONY_H4	true	CHARACTER_ENTROPY=-4.4;LOCAL_REGIME_TOPOLOGY=0;LOCAL_TRANSITION=-0.1289;POSITIONAL_STRUCTURE=0.00347;REPETITION_EDIT_GEOMETRY=-0.2041;TOKEN_FORMATION=-0.003827;TOKEN_ORDER=1.084
M2_HOMOPHONY_H8	true	CHARACTER_ENTROPY=-6.567;LOCAL_REGIME_TOPOLOGY=0;LOCAL_TRANSITION=-0.1442;POSITIONAL_STRUCTURE=0.007814;REPETITION_EDIT_GEOMETRY=-0.1505;TOKEN_FORMATION=-0.008445;TOKEN_ORDER=1.309
M3_FORM_HIGH	true	CHARACTER_ENTROPY=1.951;LOCAL_REGIME_TOPOLOGY=-0.3056;LOCAL_TRANSITION=0.04511;POSITIONAL_STRUCTURE=2.942;REPETITION_EDIT_GEOMETRY=0.2072;TOKEN_FORMATION=1.747;TOKEN_ORDER=0.1969
M3_FORM_LOW	true	CHARACTER_ENTROPY=4.573;LOCAL_REGIME_TOPOLOGY=-0.5;LOCAL_TRANSITION=7.18;POSITIONAL_STRUCTURE=3.528;REPETITION_EDIT_GEOMETRY=0.7125;TOKEN_FORMATION=2.787;TOKEN_ORDER=1.112
M3_FORM_MEDIUM	true	CHARACTER_ENTROPY=2.918;LOCAL_REGIME_TOPOLOGY=-0.4444;LOCAL_TRANSITION=0.7666;POSITIONAL_STRUCTURE=3.141;REPETITION_EDIT_GEOMETRY=0.4634;TOKEN_FORMATION=2.197;TOKEN_ORDER=0.3113
M4_STATE_K2_A	false	CHARACTER_ENTROPY=-0.2726;LOCAL_REGIME_TOPOLOGY=0;LOCAL_TRANSITION=-0.09664;POSITIONAL_STRUCTURE=-0.6098;REPETITION_EDIT_GEOMETRY=-0.05372;TOKEN_FORMATION=-0.4044;TOKEN_ORDER=-0.2018
M4_STATE_K2_B	false	CHARACTER_ENTROPY=-0.2726;LOCAL_REGIME_TOPOLOGY=0;LOCAL_TRANSITION=-0.09664;POSITIONAL_STRUCTURE=-0.6098;REPETITION_EDIT_GEOMETRY=-0.05372;TOKEN_FORMATION=-0.4044;TOKEN_ORDER=-0.2018
M4_STATE_K2_C	false	CHARACTER_ENTROPY=-0.2726;LOCAL_REGIME_TOPOLOGY=0;LOCAL_TRANSITION=-0.09664;POSITIONAL_STRUCTURE=-0.6098;REPETITION_EDIT_GEOMETRY=-0.05372;TOKEN_FORMATION=-0.4044;TOKEN_ORDER=-0.2018
M4_STATE_K4_A	false	CHARACTER_ENTROPY=-0.8847;LOCAL_REGIME_TOPOLOGY=0;LOCAL_TRANSITION=-0.1063;POSITIONAL_STRUCTURE=-0.852;REPETITION_EDIT_GEOMETRY=-0.1201;TOKEN_FORMATION=-0.5872;TOKEN_ORDER=-0.1763
M4_STATE_K4_B	false	CHARACTER_ENTROPY=-0.8833;LOCAL_REGIME_TOPOLOGY=0;LOCAL_TRANSITION=-0.1095;POSITIONAL_STRUCTURE=-0.8514;REPETITION_EDIT_GEOMETRY=-0.1159;TOKEN_FORMATION=-0.5865;TOKEN_ORDER=-0.1948
M4_STATE_K4_C	false	CHARACTER_ENTROPY=-0.8824;LOCAL_REGIME_TOPOLOGY=0;LOCAL_TRANSITION=-0.1028;POSITIONAL_STRUCTURE=-0.8469;REPETITION_EDIT_GEOMETRY=-0.1162;TOKEN_FORMATION=-0.5838;TOKEN_ORDER=-0.2103
M4_STATE_K8_A	false	CHARACTER_ENTROPY=-1.168;LOCAL_REGIME_TOPOLOGY=0;LOCAL_TRANSITION=-0.1045;POSITIONAL_STRUCTURE=-1.009;REPETITION_EDIT_GEOMETRY=-0.1304;TOKEN_FORMATION=-0.7069;TOKEN_ORDER=0.03489
