mechanism	corpus	sensitivity_class
M0_IDENTITY	Doyle	PARTIAL_INPUT_DEPENDENCE
M0_IDENTITY	Longfellow	PARTIAL_INPUT_DEPENDENCE
M0_IDENTITY	Astafiev	PARTIAL_INPUT_DEPENDENCE
M1_MONOALPHABETIC	Doyle	PARTIAL_INPUT_DEPENDENCE
M1_MONOALPHABETIC	Longfellow	PARTIAL_INPUT_DEPENDENCE
M1_MONOALPHABETIC	Astafiev	PARTIAL_INPUT_DEPENDENCE
M2_HOMOPHONY_H2	Doyle	PARTIAL_INPUT_DEPENDENCE
M2_HOMOPHONY_H2	Longfellow	PARTIAL_INPUT_DEPENDENCE
M2_HOMOPHONY_H2	Astafiev	PARTIAL_INPUT_DEPENDENCE
M3_FORM_LOW	Astafiev	PARTIAL_INPUT_DEPENDENCE
M3_FORM_LOW	Doyle	WEAK_INPUT_DEPENDENCE
M3_FORM_LOW	Longfellow	PARTIAL_INPUT_DEPENDENCE
M4_STATE_K2_A	Doyle	PARTIAL_INPUT_DEPENDENCE
M4_STATE_K2_A	Longfellow	WEAK_INPUT_DEPENDENCE
M4_STATE_K2_A	Astafiev	PARTIAL_INPUT_DEPENDENCE
M5_DRIFT_N5	Astafiev	PARTIAL_INPUT_DEPENDENCE
M5_DRIFT_N5	Doyle	PARTIAL_INPUT_DEPENDENCE
M5_DRIFT_N5	Longfellow	PARTIAL_INPUT_DEPENDENCE
M6_MACRO_K2	Astafiev	PARTIAL_INPUT_DEPENDENCE
M6_MACRO_K2	Doyle	PARTIAL_INPUT_DEPENDENCE
M6_MACRO_K2	Longfellow	PARTIAL_INPUT_DEPENDENCE
M7_MIXED_K2_N5	Doyle	PARTIAL_INPUT_DEPENDENCE
M7_MIXED_K2_N5	Longfellow	PARTIAL_INPUT_DEPENDENCE
M7_MIXED_K2_N5	Astafiev	PARTIAL_INPUT_DEPENDENCE
M8_BOUNDARY_FIXED	Doyle	STRONG_INPUT_DEPENDENCE
M8_BOUNDARY_FIXED	Longfellow	STRONG_INPUT_DEPENDENCE
M8_BOUNDARY_FIXED	Astafiev	STRONG_INPUT_DEPENDENCE
M9_GROUP_FORM_FIXED	Doyle	PARTIAL_INPUT_DEPENDENCE
M9_GROUP_FORM_FIXED	Longfellow	PARTIAL_INPUT_DEPENDENCE
M9_GROUP_FORM_FIXED	Astafiev	PARTIAL_INPUT_DEPENDENCE
M10_STATEFUL_FORM_K2	Longfellow	PARTIAL_INPUT_DEPENDENCE
M10_STATEFUL_FORM_K2	Astafiev	PARTIAL_INPUT_DEPENDENCE
M10_STATEFUL_FORM_K2	Doyle	PARTIAL_INPUT_DEPENDENCE
M11_MIXED_FORM_K2	Doyle	PARTIAL_INPUT_DEPENDENCE
M11_MIXED_FORM_K2	Longfellow	PARTIAL_INPUT_DEPENDENCE
M11_MIXED_FORM_K2	Astafiev	WEAK_INPUT_DEPENDENCE
