operation_combination	corpus	family	progress	overall_status
G_ONLY	Astafiev	CHARACTER_ENTROPY	1.91823254	PATHOLOGICAL
G_ONLY	Astafiev	LOCAL_REGIME_TOPOLOGY	-0.5	PATHOLOGICAL
G_ONLY	Astafiev	LOCAL_TRANSITION	0.601290919	PATHOLOGICAL
G_ONLY	Astafiev	POSITIONAL_STRUCTURE	4.53719287	PATHOLOGICAL
G_ONLY	Astafiev	REPETITION_EDIT_GEOMETRY	0.366093392	PATHOLOGICAL
G_ONLY	Astafiev	TOKEN_FORMATION	2.53734332	PATHOLOGICAL
G_ONLY	Astafiev	TOKEN_ORDER	0.467882787	PATHOLOGICAL
G_ONLY	Doyle	CHARACTER_ENTROPY	3.60273867	PARTIAL_MULTI_FAMILY
G_ONLY	Doyle	LOCAL_REGIME_TOPOLOGY	-0.5	PARTIAL_MULTI_FAMILY
G_ONLY	Doyle	LOCAL_TRANSITION	0.626621841	PARTIAL_MULTI_FAMILY
G_ONLY	Doyle	POSITIONAL_STRUCTURE	2.52536872	PARTIAL_MULTI_FAMILY
G_ONLY	Doyle	REPETITION_EDIT_GEOMETRY	0.242971657	PARTIAL_MULTI_FAMILY
G_ONLY	Doyle	TOKEN_FORMATION	2.2491874	PARTIAL_MULTI_FAMILY
G_ONLY	Doyle	TOKEN_ORDER	-0.0384338265	PARTIAL_MULTI_FAMILY
G_ONLY	Longfellow	CHARACTER_ENTROPY	3.24612122	PARTIAL_MULTI_FAMILY
G_ONLY	Longfellow	LOCAL_REGIME_TOPOLOGY	-0.5	PARTIAL_MULTI_FAMILY
G_ONLY	Longfellow	LOCAL_TRANSITION	0.662274715	PARTIAL_MULTI_FAMILY
G_ONLY	Longfellow	POSITIONAL_STRUCTURE	2.85630396	PARTIAL_MULTI_FAMILY
G_ONLY	Longfellow	REPETITION_EDIT_GEOMETRY	0.209635809	PARTIAL_MULTI_FAMILY
G_ONLY	Longfellow	TOKEN_FORMATION	2.17836374	PARTIAL_MULTI_FAMILY
G_ONLY	Longfellow	TOKEN_ORDER	-1.59676785	PARTIAL_MULTI_FAMILY
G_PLUS_S	Astafiev	CHARACTER_ENTROPY	0.791784446	PARTIAL_MULTI_FAMILY
G_PLUS_S	Astafiev	LOCAL_REGIME_TOPOLOGY	-0.5	PARTIAL_MULTI_FAMILY
G_PLUS_S	Astafiev	LOCAL_TRANSITION	-0.221017553	PARTIAL_MULTI_FAMILY
G_PLUS_S	Astafiev	POSITIONAL_STRUCTURE	2.50328551	PARTIAL_MULTI_FAMILY
G_PLUS_S	Astafiev	REPETITION_EDIT_GEOMETRY	0.497522253	PARTIAL_MULTI_FAMILY
G_PLUS_S	Astafiev	TOKEN_FORMATION	1.43520519	PARTIAL_MULTI_FAMILY
G_PLUS_S	Astafiev	TOKEN_ORDER	0.228199043	PARTIAL_MULTI_FAMILY
G_PLUS_S	Doyle	CHARACTER_ENTROPY	0.401147353	PARTIAL_MULTI_FAMILY
G_PLUS_S	Doyle	LOCAL_REGIME_TOPOLOGY	-0.5	PARTIAL_MULTI_FAMILY
G_PLUS_S	Doyle	LOCAL_TRANSITION	-0.0598493398	PARTIAL_MULTI_FAMILY
G_PLUS_S	Doyle	POSITIONAL_STRUCTURE	1.68730343	PARTIAL_MULTI_FAMILY
G_PLUS_S	Doyle	REPETITION_EDIT_GEOMETRY	0.379878277	PARTIAL_MULTI_FAMILY
G_PLUS_S	Doyle	TOKEN_FORMATION	1.39259558	PARTIAL_MULTI_FAMILY
G_PLUS_S	Doyle	TOKEN_ORDER	-0.616154562	PARTIAL_MULTI_FAMILY
G_PLUS_S	Longfellow	CHARACTER_ENTROPY	0.482180274	PARTIAL_MULTI_FAMILY
G_PLUS_S	Longfellow	LOCAL_REGIME_TOPOLOGY	-0.5	PARTIAL_MULTI_FAMILY
G_PLUS_S	Longfellow	LOCAL_TRANSITION	0.0273394725	PARTIAL_MULTI_FAMILY
G_PLUS_S	Longfellow	POSITIONAL_STRUCTURE	1.83232182	PARTIAL_MULTI_FAMILY
G_PLUS_S	Longfellow	REPETITION_EDIT_GEOMETRY	0.356179625	PARTIAL_MULTI_FAMILY
G_PLUS_S	Longfellow	TOKEN_FORMATION	1.36909438	PARTIAL_MULTI_FAMILY
G_PLUS_S	Longfellow	TOKEN_ORDER	-2.86491107	PARTIAL_MULTI_FAMILY
M_ONLY	Astafiev	CHARACTER_ENTROPY	-0.560734463	PARTIAL_MULTI_FAMILY
M_ONLY	Astafiev	LOCAL_REGIME_TOPOLOGY	-0.5	PARTIAL_MULTI_FAMILY
M_ONLY	Astafiev	LOCAL_TRANSITION	0.0294150831	PARTIAL_MULTI_FAMILY
M_ONLY	Astafiev	POSITIONAL_STRUCTURE	-3.74656069	PARTIAL_MULTI_FAMILY
M_ONLY	Astafiev	REPETITION_EDIT_GEOMETRY	0.226845748	PARTIAL_MULTI_FAMILY
M_ONLY	Astafiev	TOKEN_FORMATION	-1.14588193	PARTIAL_MULTI_FAMILY
M_ONLY	Astafiev	TOKEN_ORDER	0.425920917	PARTIAL_MULTI_FAMILY
M_ONLY	Doyle	CHARACTER_ENTROPY	-1.78276564	SINGLE_FAMILY_EFFECT
M_ONLY	Doyle	LOCAL_REGIME_TOPOLOGY	-0.5	SINGLE_FAMILY_EFFECT
M_ONLY	Doyle	LOCAL_TRANSITION	0.160027808	SINGLE_FAMILY_EFFECT
M_ONLY	Doyle	POSITIONAL_STRUCTURE	-1.01512325	SINGLE_FAMILY_EFFECT
M_ONLY	Doyle	REPETITION_EDIT_GEOMETRY	0.0839280084	SINGLE_FAMILY_EFFECT
M_ONLY	Doyle	TOKEN_FORMATION	-0.711299072	SINGLE_FAMILY_EFFECT
M_ONLY	Doyle	TOKEN_ORDER	-0.176365136	SINGLE_FAMILY_EFFECT
M_ONLY	Longfellow	CHARACTER_ENTROPY	-1.51183046	SINGLE_FAMILY_EFFECT
M_ONLY	Longfellow	LOCAL_REGIME_TOPOLOGY	-0.5	SINGLE_FAMILY_EFFECT
M_ONLY	Longfellow	LOCAL_TRANSITION	0.239590064	SINGLE_FAMILY_EFFECT
M_ONLY	Longfellow	POSITIONAL_STRUCTURE	-1.45434213	SINGLE_FAMILY_EFFECT
M_ONLY	Longfellow	REPETITION_EDIT_GEOMETRY	0.0684095709	SINGLE_FAMILY_EFFECT
M_ONLY	Longfellow	TOKEN_FORMATION	-0.615495449	SINGLE_FAMILY_EFFECT
M_ONLY	Longfellow	TOKEN_ORDER	-1.82197021	SINGLE_FAMILY_EFFECT
M_PLUS_G	Astafiev	CHARACTER_ENTROPY	0.516522288	PARTIAL_MULTI_FAMILY
M_PLUS_G	Astafiev	LOCAL_REGIME_TOPOLOGY	-0.0625	PARTIAL_MULTI_FAMILY
M_PLUS_G	Astafiev	LOCAL_TRANSITION	0.563428866	PARTIAL_MULTI_FAMILY
M_PLUS_G	Astafiev	POSITIONAL_STRUCTURE	1.18002087	PARTIAL_MULTI_FAMILY
M_PLUS_G	Astafiev	REPETITION_EDIT_GEOMETRY	0.222390804	PARTIAL_MULTI_FAMILY
M_PLUS_G	Astafiev	TOKEN_FORMATION	-9.49759424	PARTIAL_MULTI_FAMILY
M_PLUS_G	Astafiev	TOKEN_ORDER	0.130518401	PARTIAL_MULTI_FAMILY
M_PLUS_G	Doyle	CHARACTER_ENTROPY	-0.346157388	PARTIAL_MULTI_FAMILY
M_PLUS_G	Doyle	LOCAL_REGIME_TOPOLOGY	-0.1875	PARTIAL_MULTI_FAMILY
M_PLUS_G	Doyle	LOCAL_TRANSITION	0.608999206	PARTIAL_MULTI_FAMILY
M_PLUS_G	Doyle	POSITIONAL_STRUCTURE	1.09827635	PARTIAL_MULTI_FAMILY
M_PLUS_G	Doyle	REPETITION_EDIT_GEOMETRY	0.0155721765	PARTIAL_MULTI_FAMILY
M_PLUS_G	Doyle	TOKEN_FORMATION	-7.2499612	PARTIAL_MULTI_FAMILY
M_PLUS_G	Doyle	TOKEN_ORDER	-0.801329523	PARTIAL_MULTI_FAMILY
M_PLUS_G	Longfellow	CHARACTER_ENTROPY	-0.163296011	PARTIAL_MULTI_FAMILY
M_PLUS_G	Longfellow	LOCAL_REGIME_TOPOLOGY	-0.0625	PARTIAL_MULTI_FAMILY
M_PLUS_G	Longfellow	LOCAL_TRANSITION	0.644052612	PARTIAL_MULTI_FAMILY
M_PLUS_G	Longfellow	POSITIONAL_STRUCTURE	1.1158421	PARTIAL_MULTI_FAMILY
M_PLUS_G	Longfellow	REPETITION_EDIT_GEOMETRY	-0.00417504429	PARTIAL_MULTI_FAMILY
M_PLUS_G	Longfellow	TOKEN_FORMATION	-6.70237938	PARTIAL_MULTI_FAMILY
M_PLUS_G	Longfellow	TOKEN_ORDER	-3.29001442	PARTIAL_MULTI_FAMILY
M_PLUS_S_PLUS_G	Astafiev	CHARACTER_ENTROPY	-0.203876874	PARTIAL_MULTI_FAMILY
M_PLUS_S_PLUS_G	Astafiev	LOCAL_REGIME_TOPOLOGY	-0.5	PARTIAL_MULTI_FAMILY
M_PLUS_S_PLUS_G	Astafiev	LOCAL_TRANSITION	-0.236182869	PARTIAL_MULTI_FAMILY
M_PLUS_S_PLUS_G	Astafiev	POSITIONAL_STRUCTURE	-1.38302255	PARTIAL_MULTI_FAMILY
M_PLUS_S_PLUS_G	Astafiev	REPETITION_EDIT_GEOMETRY	0.260944074	PARTIAL_MULTI_FAMILY
M_PLUS_S_PLUS_G	Astafiev	TOKEN_FORMATION	-3.72251653	PARTIAL_MULTI_FAMILY
M_PLUS_S_PLUS_G	Astafiev	TOKEN_ORDER	0.443812004	PARTIAL_MULTI_FAMILY
M_PLUS_S_PLUS_G	Doyle	CHARACTER_ENTROPY	-1.66252819	SINGLE_FAMILY_EFFECT
M_PLUS_S_PLUS_G	Doyle	LOCAL_REGIME_TOPOLOGY	-0.4375	SINGLE_FAMILY_EFFECT
M_PLUS_S_PLUS_G	Doyle	LOCAL_TRANSITION	-0.0720808395	SINGLE_FAMILY_EFFECT
M_PLUS_S_PLUS_G	Doyle	POSITIONAL_STRUCTURE	0.0254508052	SINGLE_FAMILY_EFFECT
M_PLUS_S_PLUS_G	Doyle	REPETITION_EDIT_GEOMETRY	0.311965935	SINGLE_FAMILY_EFFECT
M_PLUS_S_PLUS_G	Doyle	TOKEN_FORMATION	-2.67340555	SINGLE_FAMILY_EFFECT
M_PLUS_S_PLUS_G	Doyle	TOKEN_ORDER	-0.186997998	SINGLE_FAMILY_EFFECT
M_PLUS_S_PLUS_G	Longfellow	CHARACTER_ENTROPY	-1.37522904	SINGLE_FAMILY_EFFECT
M_PLUS_S_PLUS_G	Longfellow	LOCAL_REGIME_TOPOLOGY	-0.4375	SINGLE_FAMILY_EFFECT
M_PLUS_S_PLUS_G	Longfellow	LOCAL_TRANSITION	0.0170079379	SINGLE_FAMILY_EFFECT
M_PLUS_S_PLUS_G	Longfellow	POSITIONAL_STRUCTURE	-0.193058625	SINGLE_FAMILY_EFFECT
M_PLUS_S_PLUS_G	Longfellow	REPETITION_EDIT_GEOMETRY	0.294954784	SINGLE_FAMILY_EFFECT
M_PLUS_S_PLUS_G	Longfellow	TOKEN_FORMATION	-2.46287761	SINGLE_FAMILY_EFFECT
M_PLUS_S_PLUS_G	Longfellow	TOKEN_ORDER	-1.76431946	SINGLE_FAMILY_EFFECT
M_PLUS_S	Astafiev	CHARACTER_ENTROPY	-0.761147262	PARTIAL_MULTI_FAMILY
M_PLUS_S	Astafiev	LOCAL_REGIME_TOPOLOGY	-0.5	PARTIAL_MULTI_FAMILY
M_PLUS_S	Astafiev	LOCAL_TRANSITION	-0.0913438621	PARTIAL_MULTI_FAMILY
M_PLUS_S	Astafiev	POSITIONAL_STRUCTURE	-3.74619985	PARTIAL_MULTI_FAMILY
M_PLUS_S	Astafiev	REPETITION_EDIT_GEOMETRY	0.223731979	PARTIAL_MULTI_FAMILY
M_PLUS_S	Astafiev	TOKEN_FORMATION	-1.14536934	PARTIAL_MULTI_FAMILY
M_PLUS_S	Astafiev	TOKEN_ORDER	0.512201141	PARTIAL_MULTI_FAMILY
M_PLUS_S	Doyle	CHARACTER_ENTROPY	-2.35268648	NO_EFFECT
M_PLUS_S	Doyle	LOCAL_REGIME_TOPOLOGY	-0.5	NO_EFFECT
M_PLUS_S	Doyle	LOCAL_TRANSITION	0.0324955843	NO_EFFECT
M_PLUS_S	Doyle	POSITIONAL_STRUCTURE	-1.01508876	NO_EFFECT
M_PLUS_S	Doyle	REPETITION_EDIT_GEOMETRY	0.060307551	NO_EFFECT
M_PLUS_S	Doyle	TOKEN_FORMATION	-0.709206328	NO_EFFECT
M_PLUS_S	Doyle	TOKEN_ORDER	-0.0405637889	NO_EFFECT
M_PLUS_S	Longfellow	CHARACTER_ENTROPY	-2.04389723	NO_EFFECT
M_PLUS_S	Longfellow	LOCAL_REGIME_TOPOLOGY	-0.5	NO_EFFECT
M_PLUS_S	Longfellow	LOCAL_TRANSITION	0.122310117	NO_EFFECT
M_PLUS_S	Longfellow	POSITIONAL_STRUCTURE	-1.45447751	NO_EFFECT
M_PLUS_S	Longfellow	REPETITION_EDIT_GEOMETRY	0.0450598036	NO_EFFECT
M_PLUS_S	Longfellow	TOKEN_FORMATION	-0.614347303	NO_EFFECT
M_PLUS_S	Longfellow	TOKEN_ORDER	-1.4672861	NO_EFFECT
S_ONLY	Astafiev	CHARACTER_ENTROPY	-0.480716601	PARTIAL_MULTI_FAMILY
S_ONLY	Astafiev	LOCAL_REGIME_TOPOLOGY	-0.5	PARTIAL_MULTI_FAMILY
S_ONLY	Astafiev	LOCAL_TRANSITION	-0.0962623427	PARTIAL_MULTI_FAMILY
S_ONLY	Astafiev	POSITIONAL_STRUCTURE	-3.74613964	PARTIAL_MULTI_FAMILY
S_ONLY	Astafiev	REPETITION_EDIT_GEOMETRY	0.233685831	PARTIAL_MULTI_FAMILY
S_ONLY	Astafiev	TOKEN_FORMATION	-1.1454468	PARTIAL_MULTI_FAMILY
S_ONLY	Astafiev	TOKEN_ORDER	0.413472818	PARTIAL_MULTI_FAMILY
S_ONLY	Doyle	CHARACTER_ENTROPY	-1.55885054	NO_EFFECT
S_ONLY	Doyle	LOCAL_REGIME_TOPOLOGY	-0.5	NO_EFFECT
S_ONLY	Doyle	LOCAL_TRANSITION	0.0627555029	NO_EFFECT
S_ONLY	Doyle	POSITIONAL_STRUCTURE	-1.0151409	NO_EFFECT
S_ONLY	Doyle	REPETITION_EDIT_GEOMETRY	0.112636915	NO_EFFECT
S_ONLY	Doyle	TOKEN_FORMATION	-0.708919763	NO_EFFECT
S_ONLY	Doyle	TOKEN_ORDER	-0.211780157	NO_EFFECT
S_ONLY	Longfellow	CHARACTER_ENTROPY	-1.31304768	NO_EFFECT
S_ONLY	Longfellow	LOCAL_REGIME_TOPOLOGY	-0.5	NO_EFFECT
S_ONLY	Longfellow	LOCAL_TRANSITION	0.135820585	NO_EFFECT
S_ONLY	Longfellow	POSITIONAL_STRUCTURE	-1.45438382	NO_EFFECT
S_ONLY	Longfellow	REPETITION_EDIT_GEOMETRY	0.0827736131	NO_EFFECT
S_ONLY	Longfellow	TOKEN_FORMATION	-0.614189898	NO_EFFECT
