mechanism	corpus	evaluation_set	family	progress	overall_status
M0_IDENTITY	Astafiev	DEVELOPMENT	CHARACTER_ENTROPY	-0	NO_EFFECT
M0_IDENTITY	Astafiev	DEVELOPMENT	LOCAL_REGIME_TOPOLOGY	0	NO_EFFECT
M0_IDENTITY	Astafiev	DEVELOPMENT	LOCAL_TRANSITION	0	NO_EFFECT
M0_IDENTITY	Astafiev	DEVELOPMENT	POSITIONAL_STRUCTURE	1.80129424e-15	NO_EFFECT
M0_IDENTITY	Astafiev	DEVELOPMENT	REPETITION_EDIT_GEOMETRY	8.5007664e-18	NO_EFFECT
M0_IDENTITY	Astafiev	DEVELOPMENT	TOKEN_FORMATION	1.69653837e-16	NO_EFFECT
M0_IDENTITY	Astafiev	DEVELOPMENT	TOKEN_ORDER	1.60245312e-16	NO_EFFECT
M0_IDENTITY	Doyle	DEVELOPMENT	CHARACTER_ENTROPY	5.21548241e-16	NO_EFFECT
M0_IDENTITY	Doyle	DEVELOPMENT	LOCAL_REGIME_TOPOLOGY	0	NO_EFFECT
M0_IDENTITY	Doyle	DEVELOPMENT	LOCAL_TRANSITION	-7.38983057e-17	NO_EFFECT
M0_IDENTITY	Doyle	DEVELOPMENT	POSITIONAL_STRUCTURE	7.64871216e-16	NO_EFFECT
M0_IDENTITY	Doyle	DEVELOPMENT	REPETITION_EDIT_GEOMETRY	0	NO_EFFECT
M0_IDENTITY	Doyle	DEVELOPMENT	TOKEN_FORMATION	0	NO_EFFECT
M0_IDENTITY	Doyle	DEVELOPMENT	TOKEN_ORDER	-0	NO_EFFECT
M0_IDENTITY	Longfellow	DEVELOPMENT	CHARACTER_ENTROPY	1.9218922e-15	NO_EFFECT
M0_IDENTITY	Longfellow	DEVELOPMENT	LOCAL_REGIME_TOPOLOGY	0	NO_EFFECT
M0_IDENTITY	Longfellow	DEVELOPMENT	LOCAL_TRANSITION	3.36113099e-17	NO_EFFECT
M0_IDENTITY	Longfellow	DEVELOPMENT	POSITIONAL_STRUCTURE	-4.65782973e-16	NO_EFFECT
M0_IDENTITY	Longfellow	DEVELOPMENT	REPETITION_EDIT_GEOMETRY	-8.73824131e-17	NO_EFFECT
M0_IDENTITY	Longfellow	DEVELOPMENT	TOKEN_FORMATION	-1.27653731e-16	NO_EFFECT
M0_IDENTITY	Longfellow	DEVELOPMENT	TOKEN_ORDER	2.05628841e-16	NO_EFFECT
M10_STATEFUL_FORM_K2	Astafiev	DEVELOPMENT	CHARACTER_ENTROPY	1.26609198	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K2	Astafiev	DEVELOPMENT	LOCAL_REGIME_TOPOLOGY	-0.5	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K2	Astafiev	DEVELOPMENT	LOCAL_TRANSITION	0.105327049	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K2	Astafiev	DEVELOPMENT	POSITIONAL_STRUCTURE	3.40891179	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K2	Astafiev	DEVELOPMENT	REPETITION_EDIT_GEOMETRY	0.300724742	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K2	Astafiev	DEVELOPMENT	TOKEN_FORMATION	1.923176	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K2	Astafiev	DEVELOPMENT	TOKEN_ORDER	0.288298458	PARTIAL_MULTI_FAMILY
