token_a	token_b	count_a	count_b	structural_similarity	reliability	normalized_graphemic_distance	position_similarity	left_similarity	right_similarity	predecessor_jaccard	successor_jaccard	predecessor_js_similarity	successor_js_similarity	left_entropy_a	left_entropy_b	right_entropy_a	right_entropy_b	shared_context_strength	differential_context_strength	positional_agreement	entropy_agreement
or	s	390	350	0.7587908262449526	0.9331850161618348	1	0.9473900984806156	0.41714965081234173	0.9118327294419004	0.10884353741496598	0.18478260869565216	0.3011646973376919	0.5786179587829037	5.283305873952113	5.318911672224851	4.575446803258294	4.1030294515671795	0.4398913280602978	0.6469915769958414	0.9473900984806156	0.9450276358255905
chol	daiin	395	848	0.720236721735486	0.9331850161618348	1	0.9066569922600659	0.7032857693395507	0.5507674036068415	0.1781818181818182	0.15026833631484796	0.4579756337161609	0.4369793111463107	5.199292096542044	5.612622199788733	4.9320076810707745	5.710499145692747	0.4474774724312358	0.6617814758445174	0.906656992260066	0.895015349347364
r	s	169	350	0.6988530464477312	0.9331850161618348	1	0.9149710539846702	0.35932910110793426	0.8222589842505891	0.09451219512195122	0.14136125654450263	0.2504360618207141	0.5031820014298072	4.5527189123345915	5.31891167222485	3.871144348462329	4.103029451567179	0.37680903162526064	0.7026848961017049	0.9149710539846703	0.8997168761426442
ol	y	560	305	0.6788038364455339	0.9331850161618348	1	0.8899982309132505	0.542992986786107	0.6034202916372442	0.1485148514851485	0.15926892950391644	0.4101745068127186	0.4414888406030447	5.400147449264827	4.864311311302273	5.097747986269094	5.040395598786011	0.42583167370788166	0.6636755319548668	0.8899982309132505	0.9447616304446483
dar	ol	323	560	0.674578885789166	0.9331850161618348	1	0.941954989750444	0.49762984457854953	0.5841518230385048	0.1489841986455982	0.16145833333333334	0.3811887106763805	0.433230865042078	5.173537439817556	5.400147449264818	5.001566543611374	5.097747986269092	0.40720978785922923	0.6898396346214732	0.9419549897504439	0.9695844457742355
ar	ol	403	560	0.6638920748133615	0.9331850161618348	1	0.9386285426584687	0.5757735892378254	0.47727409254379055	0.15711252653927812	0.15384615384615385	0.4508570991397185	0.41138766532949633	5.116256838559792	5.400147449264827	4.969236329844173	5.097747986269094	0.4311223822346074	0.693053775348695	0.9386285426584687	0.9611098021797531
chor	daiin	211	848	0.6626583020013217	0.9331850161618348	1	0.8913911543153574	0.5747556306999441	0.5218281209886636	0.12423625254582485	0.11752988047808766	0.3756715207469147	0.3726639104967442	4.8346311905088815	5.612622199788733	4.733941613647649	5.710499145692747	0.37416771562182943	0.7288451692032072	0.8913911543153575	0.845187288936124
chey	ol	351	560	0.6528833498747931	0.9331850161618348	1	0.9506636836813019	0.6984032402718132	0.30958312567126395	0.18032786885245902	0.15815085158150852	0.4976854784624307	0.34124948494732876	5.002584805507343	5.4001474492648205	5.145977334793864	5.097747986269089	0.41946748170487974	0.6742360285673448	0.9506636836813019	0.9585035278671986
lchedy	qokar	116	159	0.6585046544057792	0.9064660692678381	1	0.9736476936566725	0.5639259014801931	0.4379403680804718	0.11176470588235295	0.11538461538461539	0.34352609038329107	0.301623799038126	4.185984054264024	4.519509426072266	4.160753918200513	4.385104050783809	0.3225749447107085	0.746731748726654	0.9736476936566724	0.9375206596811819
lchedy	qol	116	142	0.6556496788421006	0.897689354051992	1	0.9663440960004056	0.5352311220617068	0.46537381846418946	0.15789473684210525	0.08759124087591241	0.3804270136836122	0.2496064800877631	4.185984054264024	4.010224624248175	4.160753918200511	3.9499004256267276	0.31501674688568765	0.7494638110427585	0.9663440960004056	0.9536678235155512
