position	metadata_type	from	to
10	line	f1r.1	f1r.2
21	line	f1r.2	f1r.3
30	line	f1r.3	f1r.4
39	line	f1r.4	f1r.5
45	line	f1r.5	f1r.6
46	line	f1r.6	f1r.7
55	line	f1r.7	f1r.8
65	line	f1r.8	f1r.9
69	line	f1r.9	f1r.10
72	line	f1r.10	f1r.11
80	line	f1r.11	f1r.12
88	line	f1r.12	f1r.13
97	line	f1r.13	f1r.14
107	line	f1r.14	f1r.15
118	line	f1r.15	f1r.16
128	line	f1r.16	f1r.17
136	line	f1r.17	f1r.18
145	line	f1r.18	f1r.19
153	line	f1r.19	f1r.20
158	line	f1r.20	f1r.21
160	line	f1r.21	f1r.22
170	line	f1r.22	f1r.23
180	line	f1r.23	f1r.24
190	line	f1r.24	f1r.25
199	line	f1r.25	f1r.26
209	line	f1r.26	f1r.27
214	line	f1r.27	f1r.28
215	line	f1r.28	f1v.1
224	line	f1v.1	f1v.2
232	line	f1v.2	f1v.3
240	line	f1v.3	f1v.4
246	line	f1v.4	f1v.5
255	line	f1v.5	f1v.6
266	line	f1v.6	f1v.7
278	line	f1v.7	f1v.8
288	line	f1v.8	f1v.9
300	line	f1v.9	f1v.10
307	line	f1v.10	f2r.1
313	line	f2r.1	f2r.2
319	line	f2r.2	f2r.3
326	line	f2r.3	f2r.4
333	line	f2r.4	f2r.5
340	line	f2r.5	f2r.6
349	line	f2r.6	f2r.7
354	line	f2r.7	f2r.8
363	line	f2r.8	f2r.9
374	line	f2r.9	f2r.10
383	line	f2r.10	f2r.11
392	line	f2r.11	f2r.12
403	line	f2r.12	f2r.13
408	line	f2r.13	f2r.14
409	line	f2r.14	f2r.15
412	line	f2r.15	f2v.1
420	line	f2v.1	f2v.2
429	line	f2v.2	f2v.3
437	line	f2v.3	f2v.4
441	line	f2v.4	f2v.5
450	line	f2v.5	f2v.6
461	line	f2v.6	f2v.7
468	line	f2v.7	f2v.8
473	line	f2v.8	f3r.1
478	line	f3r.1	f3r.2
483	line	f3r.2	f3r.3
488	line	f3r.3	f3r.4
494	line	f3r.4	f3r.5
499	line	f3r.5	f3r.6
503	line	f3r.6	f3r.7
508	line	f3r.7	f3r.8
513	line	f3r.8	f3r.9
518	line	f3r.9	f3r.10
520	line	f3r.10	f3r.11
525	line	f3r.11	f3r.12
530	line	f3r.12	f3r.13
536	line	f3r.13	f3r.14
540	line	f3r.14	f3r.15
548	line	f3r.15	f3r.16
557	line	f3r.16	f3r.17
562	line	f3r.17	f3r.18
569	line	f3r.18	f3r.19
578	line	f3r.19	f3r.20
587	line	f3r.20	f3v.1
595	line	f3v.1	f3v.2
602	line	f3v.2	f3v.3
609	line	f3v.3	f3v.4
618	line	f3v.4	f3v.5
