target_a	target_b	control_rank	control_a	control_b	match_cost	count_a	count_b	structural_similarity	reliability	normalized_graphemic_distance	position_similarity	left_similarity	right_similarity	predecessor_js_similarity	successor_js_similarity
or	s	1	am	qokeedy	1.8469761630051096	86	307	0.2501351238727358	0.8815792806867858	1	0.6544075318438762	0.03964169781350871	0.0563561419608225	0.054183790599324655	0.05565288255424161
or	s	2	am	qokeey	1.9237887071096789	86	307	0.2798721403295805	0.8815792806867858	1	0.643753597814462	0.09877086850170246	0.0970919546725772	0.11333741191139235	0.09422850766209667
or	s	3	ar	qotchy	2.0632848338112533	403	62	0.2760051153730186	0.8509325591667113	1	0.6888191343810692	0.07282628694196525	0.06636992479602136	0.06971726858634586	0.10597389400994695
chol	daiin	1	aiin	qotchy	2.5890249551095907	504	62	0.2678369848179705	0.8509325591667113	1	0.6792556306184054	0.011869122675221742	0.11238620116028429	0.025871655344087974	0.12487397304196857
chol	daiin	2	am	qokeedy	2.7429557771197066	86	307	0.2501351238727358	0.8815792806867858	1	0.6544075318438762	0.03964169781350871	0.0563561419608225	0.054183790599324766	0.055652882554241945
chol	daiin	3	aiin	sor	2.8114233602416134	504	51	0.2553001290808446	0.8316233399709739	1	0.5177279399607508	0.011729206713016145	0.2364432405687668	0.0193979048676044	0.1930917912144886
r	s	1	am	qokeedy	1.0140670400700058	86	307	0.2501351238727358	0.8815792806867858	1	0.6544075318438762	0.03964169781350871	0.0563561419608225	0.05418379059932421	0.05565288255424161
r	s	2	am	qokeey	1.090879584174575	86	307	0.2798721403295805	0.8815792806867858	1	0.643753597814462	0.09877086850170246	0.0970919546725772	0.11333741191139213	0.09422850766209667
r	s	3	am	qokedy	1.3238891258100525	86	276	0.2925648668145046	0.8815792806867858	1	0.6619389212751003	0.04563034514353219	0.1701253340248813	0.0776409451180563	0.17115448159398694
ol	y	1	aiin	qotchy	1.916857565018839	504	62	0.2678369848179705	0.8509325591667113	1	0.6792556306184054	0.011869122675221742	0.11238620116028429	0.025871655344089417	0.12487397304196834
