token_position	token	folio	locus_id	locus_type	line_id	paragraph_id	paragraph_start	currier	hand	quire	token_index_in_locus	token_index_in_line	token_index_in_folio
0	fachys	f1r	f1r.1	P	f1r.1	1	true	1	1	A	0	0	0
1	ykal	f1r	f1r.1	P	f1r.1	1	false	1	1	A	1	1	1
2	ar	f1r	f1r.1	P	f1r.1	1	false	1	1	A	2	2	2
3	ataiin	f1r	f1r.1	P	f1r.1	1	false	1	1	A	3	3	3
4	shol	f1r	f1r.1	P	f1r.1	1	false	1	1	A	4	4	4
5	shory	f1r	f1r.1	P	f1r.1	1	false	1	1	A	5	5	5
6	cthres	f1r	f1r.1	P	f1r.1	1	false	1	1	A	6	6	6
7	y	f1r	f1r.1	P	f1r.1	1	false	1	1	A	7	7	7
8	kor	f1r	f1r.1	P	f1r.1	1	false	1	1	A	8	8	8
9	sholdy	f1r	f1r.1	P	f1r.1	1	false	1	1	A	9	9	9
10	sory	f1r	f1r.2	P	f1r.2	1	false	1	1	A	0	0	10
11	ckhar	f1r	f1r.2	P	f1r.2	1	false	1	1	A	1	1	11
12	or	f1r	f1r.2	P	f1r.2	1	false	1	1	A	2	2	12
13	y	f1r	f1r.2	P	f1r.2	1	false	1	1	A	3	3	13
14	kair	f1r	f1r.2	P	f1r.2	1	false	1	1	A	4	4	14
15	chtaiin	f1r	f1r.2	P	f1r.2	1	false	1	1	A	5	5	15
16	shar	f1r	f1r.2	P	f1r.2	1	false	1	1	A	6	6	16
17	ase	f1r	f1r.2	P	f1r.2	1	false	1	1	A	7	7	17
18	cthar	f1r	f1r.2	P	f1r.2	1	false	1	1	A	8	8	18
19	cthar	f1r	f1r.2	P	f1r.2	1	false	1	1	A	9	9	19
20	dan	f1r	f1r.2	P	f1r.2	1	false	1	1	A	10	10	20
21	syaiir	f1r	f1r.3	P	f1r.3	1	false	1	1	A	0	0	21
22	sheky	f1r	f1r.3	P	f1r.3	1	false	1	1	A	1	1	22
23	or	f1r	f1r.3	P	f1r.3	1	false	1	1	A	2	2	23
24	ykaiin	f1r	f1r.3	P	f1r.3	1	false	1	1	A	3	3	24
25	shod	f1r	f1r.3	P	f1r.3	1	false	1	1	A	4	4	25
26	cthoary	f1r	f1r.3	P	f1r.3	1	false	1	1	A	5	5	26
27	cthes	f1r	f1r.3	P	f1r.3	1	false	1	1	A	6	6	27
28	daraiin	f1r	f1r.3	P	f1r.3	1	false	1	1	A	7	7	28
29	sy	f1r	f1r.3	P	f1r.3	1	false	1	1	A	8	8	29
30	soiin	f1r	f1r.4	P	f1r.4	1	false	1	1	A	0	0	30
31	oteey	f1r	f1r.4	P	f1r.4	1	false	1	1	A	1	1	31
32	oteos	f1r	f1r.4	P	f1r.4	1	false	1	1	A	2	2	32
33	roloty	f1r	f1r.4	P	f1r.4	1	false	1	1	A	3	3	33
34	cthiar	f1r	f1r.4	P	f1r.4	1	false	1	1	A	4	4	34
35	daiin	f1r	f1r.4	P	f1r.4	1	false	1	1	A	5	5	35
36	okaiin	f1r	f1r.4	P	f1r.4	1	false	1	1	A	6	6	36
37	or	f1r	f1r.4	P	f1r.4	1	false	1	1	A	7	7	37
38	okan	f1r	f1r.4	P	f1r.4	1	false	1	1	A	8	8	38
39	sair	f1r	f1r.5	P	f1r.5	1	false	1	1	A	0	0	39
40	y	f1r	f1r.5	P	f1r.5	1	false	1	1	A	1	1	40
41	chear	f1r	f1r.5	P	f1r.5	1	false	1	1	A	2	2	41
42	cthaiin	f1r	f1r.5	P	f1r.5	1	false	1	1	A	3	3	42
43	cphar	f1r	f1r.5	P	f1r.5	1	false	1	1	A	4	4	43
44	cfhaiin	f1r	f1r.5	P	f1r.5	1	false	1	1	A	5	5	44
45	ydaraishy	f1r	f1r.6	P	f1r.6	1	false	1	1	A	0	0	45
46	odar	f1r	f1r.7	P	f1r.7	2	true	1	1	A	0	0	46
47	c'y	f1r	f1r.7	P	f1r.7	2	false	1	1	A	1	1	47
48	shol	f1r	f1r.7	P	f1r.7	2	false	1	1	A	2	2	48
49	cphoy	f1r	f1r.7	P	f1r.7	2	false	1	1	A	3	3	49
50	oydar	f1r	f1r.7	P	f1r.7	2	false	1	1	A	4	4	50
51	sh	f1r	f1r.7	P	f1r.7	2	false	1	1	A	5	5	51
52	s	f1r	f1r.7	P	f1r.7	2	false	1	1	A	6	6	52
53	cfhoaiin	f1r	f1r.7	P	f1r.7	2	false	1	1	A	7	7	53
54	shodary	f1r	f1r.7	P	f1r.7	2	false	1	1	A	8	8	54
55	yshey	f1r	f1r.8	P	f1r.8	2	false	1	1	A	0	0	55
56	shody	f1r	f1r.8	P	f1r.8	2	false	1	1	A	1	1	56
57	okchoy	f1r	f1r.8	P	f1r.8	2	false	1	1	A	2	2	57
58	otchol	f1r	f1r.8	P	f1r.8	2	false	1	1	A	3	3	58
59	chocthy	f1r	f1r.8	P	f1r.8	2	false	1	1	A	4	4	59
60	os	f1r	f1r.8	P	f1r.8	2	false	1	1	A	5	5	60
61	chy	f1r	f1r.8	P	f1r.8	2	false	1	1	A	6	6	61
62	dain	f1r	f1r.8	P	f1r.8	2	false	1	1	A	7	7	62
63	chor	f1r	f1r.8	P	f1r.8	2	false	1	1	A	8	8	63
64	kos	f1r	f1r.8	P	f1r.8	2	false	1	1	A	9	9	64
65	daiin	f1r	f1r.9	P	f1r.9	2	false	1	1	A	0	0	65
66	shos	f1r	f1r.9	P	f1r.9	2	false	1	1	A	1	1	66
67	cfhol	f1r	f1r.9	P	f1r.9	2	false	1	1	A	2	2	67
68	shody	f1r	f1r.9	P	f1r.9	2	false	1	1	A	3	3	68
69	dain	f1r	f1r.10	P	f1r.10	2	false	1	1	A	0	0	69
70	os	f1r	f1r.10	P	f1r.10	2	false	1	1	A	1	1	70
71	teody	f1r	f1r.10	P	f1r.10	2	false	1	1	A	2	2	71
72	ydain	f1r	f1r.11	P	f1r.11	3	true	1	1	A	0	0	72
73	cphesaiin	f1r	f1r.11	P	f1r.11	3	false	1	1	A	1	1	73
74	ols	f1r	f1r.11	P	f1r.11	3	false	1	1	A	2	2	74
75	cphey	f1r	f1r.11	P	f1r.11	3	false	1	1	A	3	3	75
76	ytain	f1r	f1r.11	P	f1r.11	3	false	1	1	A	4	4	76
77	shoshy	f1r	f1r.11	P	f1r.11	3	false	1	1	A	5	5	77
78	cphodal	f1r	f1r.11	P	f1r.11	3	false	1	1	A	6	6	78
79	es	f1r	f1r.11	P	f1r.11	3	false	1	1	A	7	7	79
80	oksho	f1r	f1r.12	P	f1r.12	3	false	1	1	A	0	0	80
81	kshoy	f1r	f1r.12	P	f1r.12	3	false	1	1	A	1	1	81
82	otairin	f1r	f1r.12	P	f1r.12	3	false	1	1	A	2	2	82
83	oteol	f1r	f1r.12	P	f1r.12	3	false	1	1	A	3	3	83
84	okan	f1r	f1r.12	P	f1r.12	3	false	1	1	A	4	4	84
