record_type	token_a	token_b	control	parameter	observed_gain	control_mean	control_p95	percentile	mean_gain_full	mean_gain_ablated
pair	chedy	qokeey	random_space		0.04492964866623237	0.054926123510921576	0.05778473005731695	0		
pair	chedy	qokeey	generic_smoothing		0.04492964866623237	0.5059534087562292	0.507852300448324	0		
pair	chedy	qokeey	random_space_ablated		0.1384255039125214	0.15045131003761367	0.15310280663830184	0		
pair	chedy	qokeey	generic_smoothing_ablated		0.1384255039125214	0.4999580183369553	0.5011886839648773	0		
pair	chol	daiin	random_space		0.032739099608757115	0.0407606354376016	0.0427513351431116	0		
pair	chol	daiin	generic_smoothing		0.032739099608757115	0.5340028637014398	0.5358597379630499	0		
pair	chol	daiin	random_space_ablated		0.11862240126607715	0.12868516538240213	0.1310626777266451	0		
pair	chol	daiin	generic_smoothing_ablated		0.11862240126607715	0.5231796453501746	0.5243693652427434	0		
pair	ol	y	random_space		0.042478866619995226	0.050231036619751784	0.05271819850642403	0		
pair	ol	y	generic_smoothing		0.042478866619995226	0.5403474258160678	0.542020542611896	0		
pair	ol	y	random_space_ablated		0.14167487798357198	0.15483908859921447	0.15729735091190683	0		
pair	ol	y	generic_smoothing_ablated		0.14167487798357198	0.5257753375456041	0.5273347983270311	0		
pair	chey	ol	random_space		0.0475050768160904	0.05805510216254309	0.06092246466546647	0		
pair	chey	ol	generic_smoothing		0.0475050768160904	0.5325222548957617	0.534249408376398	0		
pair	chey	ol	random_space_ablated		0.14328135875496073	0.15758004105188855	0.16027759218543508	0		
pair	chey	ol	generic_smoothing_ablated		0.14328135875496073	0.5218214212962645	0.5232017401109315	0		
pair	dar	ol	random_space		0.05158062509815964	0.05800088833658562	0.06086369721256586	0		
pair	dar	ol	generic_smoothing		0.05158062509815964	0.5541019280428113	0.5558912183515219	0		
pair	dar	ol	random_space_ablated		0.1506998796556479	0.16339236362556694	0.16640691703698104	0		
pair	dar	ol	generic_smoothing_ablated		0.1506998796556479	0.5470723720631714	0.5483833778871909	0		
pair	ar	ol	random_space		0.044795676462445665	0.05443317588042062	0.0579072240662978	0		
pair	ar	ol	generic_smoothing		0.044795676462445665	0.5593887025965436	0.5611597676854208	0		
pair	ar	ol	random_space_ablated		0.1470427004052231	0.1619427611248188	0.16482794364922226	0		
