rank	opening_candidate	closing_candidate	score	reliability	ranking_scope	line_probability	page_probability	directionality	ranking_z_score	permutation_p	mean_distance	adjacent_share	page_balance_stddev	AABB	ABAB
1	or	aiin	0.422148	0.951220	line	0.230769	0.594872	0.181166	15.035523	0.00990099	18.818966	0.245690	0.000000	40	39
2	chol	daiin	0.420196	0.951807	line	0.189873	0.731646	0.140345	6.185742	0.00990099	17.415225	0.114187	0.000000	56	36
3	sho	daiin	0.410103	0.862069	line	0.264000	0.808000	0.255745	5.709221	0.00990099	16.287129	0.009901	0.000000	11	18
4	s	aiin	0.409572	0.945946	line	0.217143	0.485714	0.177460	11.791524	0.00990099	16.558824	0.347059	0.000000	17	51
5	qokeedy	chedy	0.402697	0.938838	line	0.143322	0.697068	0.078105	5.959345	0.00990099	20.322430	0.032710	0.000000	40	26
6	r	aiin	0.401832	0.894180	line	0.195266	0.491124	0.175425	6.714070	0.00990099	18.650602	0.301205	0.000000	25	12
7	qokain	ol	0.396591	0.933110	line	0.150538	0.688172	0.121966	5.673915	0.00990099	22.489583	0.067708	0.000000	32	29
8	qokedy	chedy	0.393258	0.932432	line	0.155797	0.800725	0.096509	5.969677	0.00990099	19.542986	0.049774	0.000000	35	35
9	ol	aiin	0.393195	0.961832	line	0.114286	0.453571	0.030952	5.026508	0.00990099	22.307087	0.055118	0.000000	45	33
10	saiin	chedy	0.393114	0.863946	line	0.173228	0.511811	0.169276	6.073381	0.00990099	17.184615	0.046154	0.000000	15	12
11	ar	aiin	0.392512	0.952719	line	0.151365	0.590571	0.079936	7.822176	0.00990099	22.521008	0.113445	0.000000	47	48
12	shedy	chedy	0.391210	0.955947	line	0.117512	0.730415	0.048342	5.996268	0.00990099	20.492114	0.025237	0.000000	59	50
13	o	aiin	0.389772	0.908676	line	0.150754	0.432161	0.120992	5.400014	0.00990099	22.860465	0.081395	0.000000	20	28
14	or	ol	0.387992	0.951220	line	0.135897	0.587179	0.041255	5.617964	0.00990099	21.921397	0.043668	0.000000	50	44
15	qokal	chedy	0.387413	0.907834	line	0.157360	0.629442	0.117835	5.748305	0.00990099	16.838710	0.088710	0.000000	28	25
16	qol	chedy	0.387014	0.876543	line	0.204225	0.760563	0.158771	7.502447	0.00990099	18.462963	0.138889	0.000000	21	20
17	qokal	dal	0.386844	0.907834	line	0.091371	0.395939	0.078974	5.453248	0.00990099	22.051282	0.064103	0.000000	21	12
18	or	ar	0.385411	0.951220	line	0.115385	0.441026	0.040943	6.651945	0.00990099	21.598837	0.052326	0.000000	37	36
19	otar	ar	0.381161	0.883721	line	0.157895	0.532895	0.118193	6.558966	0.00990099	20.444444	0.148148	0.000000	26	16
20	shey	shedy	0.380525	0.932886	line	0.107914	0.485612	0.050310	4.930874	0.00990099	20.992593	0.007407	0.000000	33	23
21	okedy	chedy	0.379635	0.857143	line	0.166667	0.716667	0.142951	5.160573	0.00990099	21.290698	0.046512	0.000000	18	10
22	qol	ol	0.379274	0.876543	line	0.161972	0.725352	0.135186	4.837475	0.00990099	19.320388	0.038835	0.000000	22	13
23	o	l	0.377007	0.903846	line	0.180905	0.371859	0.106436	14.082482	0.00990099	14.445946	0.351351	0.000000	12	20
24	s	ar	0.374536	0.945946	line	0.100000	0.362857	0.065261	4.784026	0.00990099	20.913386	0.157480	0.000000	25	18
25	qokal	shedy	0.374428	0.907834	line	0.137056	0.680203	0.093277	5.308495	0.00990099	18.768657	0.097015	0.000000	23	24
26	okar	ar	0.374288	0.875000	line	0.142857	0.592857	0.110599	4.979990	0.00990099	19.987952	0.144578	0.000000	21	13
27	qokedy	shedy	0.372756	0.932432	line	0.123188	0.786232	0.026414	5.586444	0.00990099	17.612903	0.041475	0.000000	29	42
28	shey	qokain	0.371945	0.932886	line	0.111511	0.410072	0.046995	7.476176	0.00990099	17.833333	0.149123	0.000000	26	27
29	al	ar	0.371299	0.928826	line	0.137931	0.536398	0.028750	6.410973	0.00990099	22.507143	0.064286	0.000000	36	34
30	qokeedy	qokal	0.370536	0.907834	line	0.065147	0.286645	0.019461	5.327247	0.00990099	23.204545	0.079545	0.000000	23	12
31	qokeedy	qokedy	0.368427	0.932432	line	0.084691	0.530945	-0.009512	6.155323	0.00990099	21.644172	0.073620	0.000000	30	23
32	sol	shedy	0.368212	0.770115	line	0.194030	0.582090	0.191726	5.042053	0.00990099	17.179487	0.102564	0.000000	9	4
