rank	token_a	token_b	count_a	count_b	cosine_1_5	cosine_6_10	cosine_11_20	matched_percentile	random_percentile
1	chedy	qokeey	506	307	0.9983187455045905	0.9988864550534199	0.998637029324833	100	100
2	dal	ol	242	560	0.9982047685177902	0.9977204554475861	0.997163077429214	100	100
3	chey	ol	351	560	0.9977534872955518	0.9977829539324293	0.9980263513473087	100	100
4	daiin	dol	848	109	0.9971484860010106	0.9969514029610933	0.9953574221173138	100	100
5	or	s	390	350	0.9971056226799746	0.9948547361664689	0.9958613012652767	100	99.9
6	dar	ol	323	560	0.9970005118317298	0.9975027821539634	0.9964466374389473	100	100
7	lchedy	qokeey	116	307	0.9969702399866257	0.995957175695198	0.9963481675573579	100	100
8	qokedy	qol	276	142	0.9968764964470231	0.9971313572699161	0.9971063303535909	100	99.9
9	ol	y	560	305	0.9961559855617841	0.9963769626891598	0.9960030250074642	100	99.4
10	chol	daiin	395	848	0.9959549573443474	0.998670018309918	0.9980760928747806	100	99.2
11	lchedy	qol	116	142	0.9956130018412728	0.9956258053502893	0.9952070298191409	100	99.5
12	okaiin	ol	216	560	0.995493236828836	0.9951779440069639	0.9967445872503488	100	98.4
13	aiin	ar	504	403	0.9953701701480003	0.9979342681146106	0.9975054225481538	100	98.1
14	okain	ol	141	560	0.9949141867783281	0.9958544359365453	0.9961505244041813	100	98.3
15	chol	cthy	395	103	0.9944700840477865	0.9943266158752214	0.9912481005291763	100	96.8
16	chor	daiin	211	848	0.9944364639764627	0.9959098429948678	0.9952174579734752	100	96.9
17	qokain	qol	279	142	0.9942957738709695	0.9977965001973355	0.9972121937298027	100	96
18	or	r	390	169	0.9939857901536818	0.9967347360743423	0.9927066573753024	70	95.1
19	r	s	169	350	0.9936223358161111	0.9933093114633449	0.994042370649729	100	93.7
20	qokaiin	qol	265	142	0.9933537738527722	0.9973622517195064	0.9954314287483393	100	92.9
21	okar	otain	140	96	0.992719171142556	0.9921626610125237	0.9918218943325445	100	92.8
22	qokar	qol	159	142	0.9924818425229184	0.9949178609965408	0.9919410696911779	100	89.6
23	lchedy	qokain	116	279	0.9919124442344953	0.9963776717515872	0.9966539350894548	75	91
24	ain	al	113	261	0.9918489649780998	0.9926172706607101	0.993317263298825	100	90.4
25	qol	qotain	142	60	0.9911787370835003	0.9937740947461519	0.9916945676736134	100	93.3
26	lchedy	qokar	116	159	0.9909476604878353	0.9949585771181745	0.9925138092050814	100	87
27	ar	ol	403	560	0.9898591441178315	0.9961940745407805	0.9938184023816108	66.66666666666667	81.2
28	ain	ar	113	403	0.9867741117159617	0.9950231640305598	0.9914789927806866	100	69.5
