target_a	target_b	control_rank	control_a	control_b	frequency_match_score	regime_js	distance_js_1_5	regime_concentration_a	regime_concentration_b
or	s	1	am	qokeedy	0	0.7347972068880602	0.2191996646346926	0.0029659190778799607	0.005759717112383264
or	s	2	am	qokeey	0	0.781484964277195	0.23078185352745045	0.0029659190778799607	0.004604756250729499
or	s	3	ar	qotchy	0	0.675998841652684	0.15492903328865076	0.003027269728795925	0.005247382284078687
chol	daiin	1	aiin	qotchy	0	0.6965754080690876	0.174282912119771	0.0031706534972206625	0.005247382284078687
chol	daiin	2	am	qokeedy	0	0.7347972068880602	0.2191996646346926	0.0029659190778799607	0.005759717112383264
chol	daiin	3	aiin	sor	0	0.7870680564787326	0.21694370112556696	0.0031706534972206625	0.00366406550365238
r	s	1	am	qokeedy	0	0.7347972068880602	0.2191996646346926	0.0029659190778799607	0.005759717112383264
r	s	2	am	qokeey	0	0.781484964277195	0.23078185352745045	0.0029659190778799607	0.004604756250729499
r	s	3	am	qokedy	0	0.7336031477335354	0.22323687716744595	0.0029659190778799607	0.005883188069405193
ol	y	1	aiin	qotchy	0	0.6965754080690876	0.174282912119771	0.0031706534972206625	0.005247382284078687
ol	y	2	am	qokeedy	0	0.7347972068880602	0.2191996646346926	0.0029659190778799607	0.005759717112383264
ol	y	3	aiin	sor	0	0.7870680564787326	0.21694370112556696	0.0031706534972206625	0.00366406550365238
dar	ol	1	aiin	qotchy	0	0.6965754080690876	0.174282912119771	0.0031706534972206625	0.005247382284078687
dar	ol	2	am	qokeedy	0	0.7347972068880602	0.2191996646346926	0.0029659190778799607	0.005759717112383264
dar	ol	3	aiin	sor	0	0.7870680564787326	0.21694370112556696	0.0031706534972206625	0.00366406550365238
ar	ol	1	aiin	qotchy	0	0.6965754080690876	0.174282912119771	0.0031706534972206625	0.005247382284078687
ar	ol	2	am	qokeedy	0	0.7347972068880602	0.2191996646346926	0.0029659190778799607	0.005759717112383264
ar	ol	3	aiin	sor	0	0.7870680564787326	0.21694370112556696	0.0031706534972206625	0.00366406550365238
chor	daiin	1	aiin	qotchy	0	0.6965754080690876	0.174282912119771	0.0031706534972206625	0.005247382284078687
chor	daiin	2	am	qokeedy	0	0.7347972068880602	0.2191996646346926	0.0029659190778799607	0.005759717112383264
chor	daiin	3	aiin	sor	0	0.7870680564787326	0.21694370112556696	0.0031706534972206625	0.00366406550365238
chey	ol	1	aiin	qotchy	0	0.6965754080690876	0.174282912119771	0.0031706534972206625	0.005247382284078687
chey	ol	2	am	qokeedy	0	0.7347972068880602	0.2191996646346926	0.0029659190778799607	0.005759717112383264
chey	ol	3	aiin	sor	0	0.7870680564787326	0.21694370112556696	0.0031706534972206625	0.00366406550365238
lchedy	qokar	1	chy	sar	0	0.7445108258607245	0.18159646562510878	0.004063760572939687	0.003420519928364653
lchedy	qokar	2	cheey	sar	0	0.8217981847912795	0.2350228389680145	0.0034241508725841208	0.003420519928364653
lchedy	qokar	3	cthy	saiin	0	0.6337537122335464	0.14566587092237043	0.005613431108021463	0.003624115529481206
