metadata	method_scope	metric	observed	observed_window	observed_method	observed_k	null_mean	null_median	null_sd	null_p95	null_p99	null_max	exceedances	empirical_p	permutations	scope
currier	contiguous_segmentation	NMI	0.7132895555068619	50	contiguous_segmentation	11	0.4851153754269906	0.4851074522665303	0.08069507716197541	0.618411239651439	0.6579956191268508	0.7292879160447426	1	0.00019998000199980003	10000	primary
currier	hierarchical	NMI	0.6589465854790248	1000	hierarchical	15	0.44576517404039795	0.45028730969909847	0.08666588765434259	0.5811025120095763	0.6248984643027484	0.7994077110333084	33	0.0033996600339966003	10000	primary
currier	k_medoids	NMI	0.6639787524762399	1000	k_medoids	8	0.4997667420711204	0.5021130819139232	0.07597016696357024	0.6207439441996937	0.6590473246063586	0.7405968555828438	70	0.007099290070992901	10000	primary
currier	global	NMI	0.7132895555068619	50	contiguous_segmentation	11	0.5113777423834469	0.5138356332148769	0.0761957052402301	0.633080012254169	0.6709601549597537	0.7994077110333084	7	0.0007999200079992001	10000	primary
currier	contiguous_segmentation	ARI	0.5980351314309134	50	contiguous_segmentation	11	0.3910707561122604	0.3867000002697818	0.11162706733359387	0.5738563079920419	0.6333635878113892	0.7196085078590241	267	0.026797320267973202	10000	primary
currier	hierarchical	ARI	0.5641023292897295	1000	hierarchical	15	0.3492699879140812	0.34508395231777467	0.1124700412804485	0.5350316136243519	0.6079795392927492	0.7657962711445552	281	0.028197180281971802	10000	primary
currier	k_medoids	ARI	0.6622286988552917	200	k_medoids	11	0.37192898854953094	0.3780304151699442	0.095399862827878	0.5250642694641269	0.57738559916897	0.7675023540398723	4	0.0004999500049995	10000	primary
currier	global	ARI	0.6622286988552917	200	k_medoids	11	0.43403952907912263	0.436327280000919	0.09760538528780144	0.5901278467330716	0.6460705181403665	0.7675023540398723	60	0.006099390060993901	10000	primary
currier	contiguous_segmentation	NMI	0.8217777139628438	1000	contiguous_segmentation	15	0.6160402861023649	0.6288997651093174	0.11412945664511444	0.7758419975101839	0.8092471031360078	0.8575375205218737	37	0.0037996200379962005	10000	purity_0.8
currier	hierarchical	NMI	0.8280867532061237	1000	hierarchical	15	0.5823102037473603	0.5998792076734127	0.13677537343777443	0.7840635166566918	0.8529945760709641	0.9742807636617395	193	0.0193980601939806	10000	purity_0.8
currier	k_medoids	NMI	0.8286461072863828	1000	k_medoids	14	0.6421740226272941	0.6626860577195473	0.11197759147364064	0.7897306351867002	0.8226033451601377	0.861399629238561	72	0.0072992700729927005	10000	purity_0.8
currier	global	NMI	0.8286461072863828	1000	k_medoids	14	0.664517707218107	0.6812264029601172	0.1095217220306236	0.8123674472231043	0.8542214159445825	0.9742807636617395	267	0.026797320267973202	10000	purity_0.8
currier	contiguous_segmentation	ARI	0.7348962340767998	1000	contiguous_segmentation	15	0.5065792235534734	0.5135904518132771	0.15226631858567494	0.7423673725256481	0.7892267920389953	0.8592257026529926	590	0.05909409059094091	10000	purity_0.8
currier	hierarchical	ARI	0.7985270876163459	1000	hierarchical	9	0.5366628305282723	0.5633250398342788	0.18471905625122348	0.8106936682854073	0.9004523362043123	0.9885434338746859	572	0.05729427057294271	10000	purity_0.8
currier	k_medoids	ARI	0.8437373969395361	1000	k_medoids	14	0.5786561662310147	0.621320615299614	0.16653174270728235	0.8009620757747618	0.8484049355230805	0.9162868531826468	122	0.0122987701229877	10000	purity_0.8
currier	global	ARI	0.8437373969395361	1000	k_medoids	14	0.6226814339860879	0.6617284913969941	0.1611237041617515	0.839639946184054	0.9015920407046268	0.9885434338746859	444	0.044495550444955505	10000	purity_0.8
currier	contiguous_segmentation	NMI	0.8567491330431419	1000	contiguous_segmentation	15	0.6520990322206741	0.6678792612299426	0.12329544167155462	0.8208428245877233	0.8535896180527618	0.8906713071135448	82	0.0082991700829917	10000	purity_0.9
currier	hierarchical	NMI	0.8225165578986113	1000	hierarchical	8	0.6094678630396162	0.6331567504712046	0.14885095005819718	0.8262360423876268	0.8996602064534599	0.9861066794709356	554	0.05549445055494451	10000	purity_0.9
currier	k_medoids	NMI	0.8286271294666144	1000	k_medoids	14	0.6597530155568752	0.6824605365449913	0.11609046777817295	0.8083052329152902	0.8426650893014104	0.8719742218441353	217	0.0217978202179782	10000	purity_0.9
currier	global	NMI	0.8567491330431419	1000	contiguous_segmentation	15	0.6910154978265958	0.7104743827586949	0.11693694479305908	0.847133849026831	0.8996602064534599	0.9861066794709356	371	0.037196280371962806	10000	purity_0.9
currier	contiguous_segmentation	ARI	0.7890658976624298	1000	contiguous_segmentation	15	0.5412211154968481	0.5530998033994107	0.16446440883401878	0.7853572569844253	0.8245423089028064	0.8798269235696777	447	0.044795520447955206	10000	purity_0.9
currier	hierarchical	ARI	0.7953511774307584	1000	hierarchical	9	0.557863048388667	0.589812627213752	0.1925771034593384	0.8364958741985117	0.9311194343692561	0.9944950846100209	818	0.08189181081891811	10000	purity_0.9
currier	k_medoids	ARI	0.8439444092252671	1000	k_medoids	14	0.6014316859898177	0.6485566805345597	0.17136781630286396	0.826351791208385	0.8666619227354244	0.9230637951869072	298	0.029897010298970104	10000	purity_0.9
currier	global	ARI	0.8439444092252671	1000	k_medoids	14	0.6466099262104971	0.691259606403723	0.16802248170804385	0.8636617118361806	0.9311194343692561	0.9944950846100209	799	0.07999200079992001	10000	purity_0.9
hand	contiguous_segmentation	NMI	0.542724457395341	500	contiguous_segmentation	12	0.4560656804935661	0.4613358213725912	0.06855827578438231	0.5621902264956515	0.59770334665624	0.6684024736564292	957	0.09579042095790422	10000	primary
hand	hierarchical	NMI	0.6307319893182465	500	hierarchical	14	0.4663784346623281	0.4709526395820415	0.0721065184616181	0.5759089118640403	0.6152866829362973	0.6816505876620791	53	0.0053994600539946005	10000	primary
hand	k_medoids	NMI	0.5981657394519603	200	k_medoids	5	0.4870213212328452	0.4922920522593812	0.06587875848617845	0.5859639238314642	0.6177375888973072	0.7111465496082453	294	0.029497050294970503	10000	primary
hand	global	NMI	0.6307319893182465	500	hierarchical	14	0.4949978536736051	0.5007287593684515	0.0666786595582964	0.5957170358247074	0.631074131926395	0.7111465496082453	103	0.0103989601039896	10000	primary
hand	contiguous_segmentation	ARI	0.43603914782395886	100	contiguous_segmentation	4	0.33362615917959304	0.33232218078904363	0.09922568868477442	0.4970820150199937	0.5782360762932816	0.714862291072776	1423	0.14238576142385762	10000	primary
hand	hierarchical	ARI	0.5704068460473702	500	hierarchical	9	0.3925803093127073	0.3959148615790038	0.0910395891862997	0.5362868667100952	0.5979495451987883	0.7287530063825227	207	0.0207979202079792	10000	primary
hand	k_medoids	ARI	0.6205493602092618	200	k_medoids	5	0.3230319012452033	0.30119678479814627	0.1022298050479759	0.5396031850550341	0.6327450327792633	0.7668899038834515	138	0.013898610138986101	10000	primary
hand	global	ARI	0.6205493602092618	200	k_medoids	5	0.42443480868348843	0.42224583860320386	0.09101037765098423	0.580893674807392	0.6528663248253914	0.7668899038834515	225	0.0225977402259774	10000	primary
hand	contiguous_segmentation	NMI	0.6589614789341997	1000	contiguous_segmentation	5	0.55607348994692	0.5677375054880326	0.10052288543806835	0.7000794239745215	0.7602525783297596	0.8684828394512262	1374	0.1374862513748625	10000	purity_0.8
hand	hierarchical	NMI	0.7450819387653966	1000	hierarchical	15	0.5953279958549093	0.6079560543566492	0.10278334473478706	0.7386229536946015	0.7835276205798143	0.8439737745102832	430	0.0430956904309569	10000	purity_0.8
