rank	token_a	token_b	count_a	count_b	persistence_1_5	mean_js_1_5	mean_js_6_10	mean_js_11_20	js_d1	percentile_d1	js_d2	percentile_d2	js_d3	percentile_d3	js_d5	percentile_d5	js_d10	percentile_d10	js_d20	percentile_d20
1	chedy	qokeey	506	307	99.9032378116859	0.47182438029356744	0.457353568112826	0.44486216701975023	0.5001659878851186	99.93487160401935	0.47259469099685636	99.91626349088203	0.47432668425703717	99.91626349088203	0.464765230230744	99.8976553777447	0.47861907423222894	99.90695943431336	0.44570452763403534	99.90695943431336
2	chol	daiin	395	848	99.78786751023446	0.4431582408637099	0.4450975171678945	0.4235604645351906	0.4213525292743385	99.73948641607741	0.4469506575326875	99.80461481205806	0.47900600017456085	99.94417566058802	0.42920766651960307	99.62783773725344	0.46804154427060773	99.87904726460737	0.42109289336987565	99.73948641607741
3	ol	y	560	305	99.71157424637141	0.4329432867034792	0.4240125569911511	0.4023368131300421	0.42895587052505424	99.77670264235206	0.45228672502413425	99.84183103833271	0.44322284422478486	99.7673985857834	0.4238151974418728	99.54410122813546	0.3870624603742375	98.98585783401563	0.3857690233316212	99.39523632303684
4	chey	ol	351	560	99.61853368068478	0.44095663372049476	0.450976958248109	0.446569582248957	0.33887800617040886	98.46483066617046	0.47673022791219355	99.96278377372535	0.4528135717088494	99.83252698176405	0.46118385547812946	99.8697432080387	0.44329543803328697	99.77670264235206	0.45409043290968043	99.95347971715668
5	dar	ol	323	560	99.54224041682173	0.41479591676613303	0.4222166557013443	0.4197153334227995	0.4197592037726172	99.72087830294008	0.38424946783128167	99.15333085225159	0.43356575229937877	99.70227018980276	0.4294289199271095	99.63714179382211	0.4101373257577584	99.37662820989952	0.4099427809979307	99.61853368068478
6	ar	ol	403	560	99.47711202084108	0.4049283596469723	0.4341509906552897	0.4073505949907073	0.4070536781472497	99.60922962411611	0.39413289211255564	99.36732415333086	0.41007901126628965	99.58131745441013	0.4108919910065508	99.38593226646817	0.4151551236476365	99.45106066244882	0.37138872393115285	99.05098622999628
7	qokain	qol	279	142	99.47152958689989	0.40357378408921624	0.41991287880221934	0.410814114473649	0.4018444636558549	99.54410122813546	0.4057739922151019	99.54410122813546	0.39160168771521064	99.37662820989952	0.42339570469221477	99.53479717156681	0.42521295039191087	99.59062151097879	0.4148244745850491	99.70227018980276
8	dal	ol	242	560	99.46222553033122	0.40934666604754366	0.4007500504173249	0.39165254423963103	0.40578294346137433	99.60922962411611	0.3655577856414314	98.70673613695571	0.40914150835855734	99.5627093412728	0.45036489738458296	99.83252698176405	0.3688709010486282	98.43691849646446	0.41309595973013835	99.6650539635281
9	aiin	ar	504	403	99.38965388909565	0.4016190665740747	0.4210724840396603	0.3940512206253397	0.3668134347022204	99.04168217342762	0.40270182466589344	99.50688500186081	0.43659719577988776	99.73948641607741	0.41231490867512155	99.4045403796055	0.4530836762353725	99.85113509490138	0.35549616713023846	98.52065500558244
10	okaiin	ol	216	560	99.16263490882025	0.3910348001007889	0.38392771739292453	0.3776796912134882	0.3612088573083926	98.95794566430963	0.41775963813360917	99.62783773725344	0.39542158466411503	99.45106066244882	0.35732556662622994	98.05545217714923	0.3440697722506708	97.54372906587272	0.37237028983323284	99.07889839970227
