rank	token_a	token_b	mean_token_js_1_5	mean_projected_js_1_5	mean_ablated_projected_js_1_5	projection_gain_1_5	projection_gain_percentile	gain_6_10	gain_11_20
1	qol	qotain	0.26538617709083795	0.40508971232302093	0.5902090161804396	0.13970353523218298	47	0.12867453169211837	0.13679696288828322
2	lchedy	qol	0.3327717051640281	0.46703840150803055	0.5997948319751158	0.13426669634400248	31.5	0.10461120063286693	0.1133729557098719
3	qokedy	qol	0.36307068451714963	0.4882964533624364	0.6154703941618613	0.12522576884528674	0.5	0.08127699553838245	0.08502275480906919
4	qokar	qol	0.3597281493204208	0.4793393198143555	0.6237783048103313	0.11961117049393463	7	0.0996123260652648	0.10835472864278457
5	lchedy	qokar	0.30863895134322084	0.4178429218836979	0.5604773263191831	0.10920397054047706	0	0.11445653182535227	0.10686475704231517
6	qokaiin	qol	0.3689194814537394	0.47786721498811585	0.62428550407836	0.10894773353437645	16	0.09304322777622251	0.08922747798005949
7	okar	otain	0.23715358332281963	0.34474536531708333	0.5087564923622516	0.10759178199426374	0	0.10460266186707665	0.11734408308165664
8	qokain	qol	0.40357378408921624	0.509497679859454	0.6504344350752482	0.10592389577023775	2	0.07797227749111843	0.08188515046391451
9	lchedy	qokeey	0.36243539498563077	0.4553089278568879	0.586584289413119	0.0928735328712571	0	0.08729946062102704	0.09619750233901171
10	ain	al	0.2539437942494881	0.3444754750685874	0.47501447959160303	0.09053168081909928	0	0.08452185323311852	0.09536924868711319
11	lchedy	qokain	0.37016149004736604	0.4591752257109144	0.5854198824835685	0.08901373566354838	0	0.09449720723717507	0.10053641089520529
12	ain	ar	0.29520229553383387	0.3802775035770001	0.506220395937756	0.08507520804316623	0.5	0.08158861031143297	0.0849253132149968
13	okain	ol	0.3444561775382872	0.42656486041936603	0.5629566215504236	0.08210868288107875	0	0.06939676504728357	0.08291020354983289
14	daiin	dol	0.304462631845297	0.3839373529640478	0.5026802050722181	0.07947472111875079	0	0.06727335541106431	0.07870546002721758
15	or	r	0.34723240721307835	0.4168362848652233	0.5284682681179544	0.0696038776521449	1	0.07351996794528344	0.0766538165100144
16	okaiin	ol	0.3910348001007889	0.45567382555669067	0.5764960879236758	0.06463902545590176	0	0.06582854664141222	0.06569274095623073
17	r	s	0.3672174017096127	0.42999761388950786	0.5371230750491085	0.06278021217989507	3.5	0.07005488065419467	0.06626854026288545
18	chol	cthy	0.3033052144413251	0.3604477090116732	0.49325128606893165	0.057142494570348125	1	0.0622779950395266	0.0526837838083854
19	dal	ol	0.40934666604754366	0.4655934335361101	0.5655064293553294	0.056246767488566426	0	0.060268723235689416	0.05505800001940212
20	or	s	0.4040937436124114	0.45795364271605743	0.5484857842561872	0.05385989910364597	1	0.040877992274244136	0.051859281472402555
21	dar	ol	0.41479591676613303	0.4663765418642926	0.5654957964217809	0.05158062509815964	0	0.04443767141224324	0.04725538355916836
22	chey	ol	0.44095663372049476	0.48846171053658516	0.5842379924754555	0.0475050768160904	0	0.04709383019758266	0.042650778618481114
23	chedy	qokeey	0.47182438029356744	0.5167540289597998	0.6102498842060888	0.04492964866623237	0	0.04579290291088911	0.050513445469648824
24	ar	ol	0.4049283596469723	0.449724036109418	0.5519710600521954	0.044795676462445665	0	0.03950315856373672	0.0478965893006323
25	ol	y	0.4329432867034792	0.4754221533234745	0.5746181646870512	0.042478866619995226	0	0.041499999224861896	0.049398655121135615
26	aiin	ar	0.4016190665740747	0.4433725660046689	0.5364273740892184	0.04175349943059423	0	0.03658741424837555	0.038460126467530234
27	chor	daiin	0.3799236843922185	0.42134153885720255	0.5264842258464612	0.04141785446498405	0	0.041371918655123394	0.03912522974917345
28	chol	daiin	0.4431582408637099	0.47589734047246707	0.5617806421297871	0.032739099608757115	0	0.03665200969459448	0.03264655526660931
