position	support_50	support_100	support_200	support_500	support_1000	support_count	support_fraction	mean_position	mean_jump_strength	max_jump_strength	position_uncertainty
12504	1	1	1	1	1	5	1	12504	0.08263770550181025	0.09572623513863329	26
11486	1	1	1	1	1	5	1	11486	0.07958973388104265	0.09999999999999999	16
12230	1	1	1	1	0	4	0.8	12230	0.09548473390979172	0.10000000000000002	20
12051	1	1	1	1	0	4	0.8	12051.25	0.09293475684793735	0.09999999999999999	16.25
14499	1	1	1	1	0	4	0.8	14498.75	0.09268525791028552	0.10000000000000002	3.75
12686	1	1	1	0	1	4	0.8	12686.25	0.09021553962182383	0.09999999999999999	16.25
23960	1	1	1	1	0	4	0.8	23960	0.08987329356445224	0.09999999999999999	20
38003	1	1	1	1	0	4	0.8	38002.5	0.08959021692378635	0.09999999999999999	17.5
26898	1	1	1	0	1	4	0.8	26897.5	0.08958791542372356	0.09999999999999999	7.5
30894	1	1	1	1	0	4	0.8	30893.75	0.08953401267423396	0.09999999999999999	13.75
28159	1	1	1	1	0	4	0.8	28158.75	0.08912506046160622	0.10000000000000002	21.25
24409	1	1	1	1	0	4	0.8	24408.75	0.0888754992082541	0.09999999999999999	11.25
38094	1	1	1	0	1	4	0.8	38093.75	0.08805061454521997	0.09999999999999999	18.75
22298	1	1	1	0	1	4	0.8	22297.5	0.08794094196821921	0.09999999999999999	22.5
25358	1	1	1	1	0	4	0.8	25357.5	0.08763208057579441	0.09999999999999999	22.5
12178	0	1	1	1	1	4	0.8	12177.5	0.08744688522895694	0.10000000000000002	27.5
38186	1	1	1	1	0	4	0.8	38186.25	0.08742432792121635	0.09999999999999999	13.75
14205	1	1	1	1	0	4	0.8	14205	0.0874028884597978	0.09999999999999999	5
28114	1	1	1	1	0	4	0.8	28113.75	0.08700783421892244	0.09999999999999999	26.25
36386	1	1	1	0	1	4	0.8	36386.25	0.08670452236708688	0.09999999999999999	13.75
14284	1	1	1	0	1	4	0.8	14283.75	0.08665288752429787	0.10000000000000002	16.25
26506	1	1	1	0	1	4	0.8	26506.25	0.08637580022883308	0.10000000000000002	13.75
22185	1	1	1	1	0	4	0.8	22185	0.08568832703451562	0.09999999999999999	15
10703	1	1	1	1	0	4	0.8	10702.5	0.0847434037024066	0.09999999999999999	7.5
26593	1	1	1	1	0	4	0.8	26592.5	0.08467342865678804	0.09999999999999999	12.5
9091	1	1	1	0	1	4	0.8	9091.25	0.08378134561408222	0.09999999999999999	11.25
36886	1	1	1	0	1	4	0.8	36886.25	0.08283713875836927	0.09999999999999999	13.75
24694	1	1	1	0	1	4	0.8	24693.75	0.0821644486980387	0.09999999999999999	18.75
11803	0	1	1	1	1	4	0.8	11802.5	0.08123297854794803	0.08787380178214964	7.5
31591	1	1	1	0	1	4	0.8	31591.25	0.07668659332310977	0.09999999999999999	16.25
9904	1	0	1	1	1	4	0.8	9903.75	0.07295548110747174	0.09999999999999999	16.25
14868	1	1	1	0	1	4	0.8	14867.5	0.0582698061654417	0.08746881286661715	32.5
12347	1	1	1	0	0	3	0.6	12346.666666666666	0.09843360160832715	0.10000000000000002	16.66666666666606
24247	1	1	1	0	0	3	0.6	24246.666666666668	0.0976318216884251	0.10000000000000002	13.33333333333212
12278	1	1	1	0	0	3	0.6	12278.333333333334	0.09723783729871222	0.10000000000000002	3.3333333333339397
26463	1	1	1	0	0	3	0.6	26463.333333333332	0.09668894233610503	0.09999999999999999	6.666666666667879
30247	1	1	1	0	0	3	0.6	30246.666666666668	0.09635458028859317	0.10000000000000002	16.66666666666788
25312	1	1	1	0	0	3	0.6	25311.666666666668	0.09611261964664647	0.09999999999999999	18.33333333333212
14447	1	1	1	0	0	3	0.6	14446.666666666666	0.09608329565989265	0.09999999999999999	13.33333333333394
12403	1	1	0	1	0	3	0.6	12403.333333333334	0.09601398419576476	0.10000000000000002	6.66666666666606
14378	1	1	1	0	0	3	0.6	14378.333333333334	0.09578619419231055	0.09999999999999999	21.66666666666606
7568	1	1	1	0	0	3	0.6	7568.333333333333	0.09569099663908484	0.10000000000000003	13.33333333333303
38230	1	1	1	0	0	3	0.6	38230	0.09552421283829365	0.10000000000000002	10
9420	1	1	1	0	0	3	0.6	9420	0.0954318278226688	0.09999999999999999	0
24177	1	1	1	0	0	3	0.6	24176.666666666668	0.09540465634635167	0.09999999999999999	23.33333333333212
24318	1	1	1	0	0	3	0.6	24318.333333333332	0.09530962135366013	0.09999999999999999	8.33333333333212
7123	1	1	1	0	0	3	0.6	7123.333333333333	0.09523860661832068	0.09999999999999999	16.66666666666697
30397	1	1	1	0	0	3	0.6	30396.666666666668	0.09517814163123335	0.09999999999999999	6.666666666667879
29608	1	1	1	0	0	3	0.6	29608.333333333332	0.0950105014396099	0.09999999999999999	21.66666666666788
14538	1	1	1	0	0	3	0.6	14538.333333333334	0.09499526126130543	0.09999999999999999	3.3333333333339397
12430	1	1	1	0	0	3	0.6	12430	0.09491314657036401	0.1	10
7917	1	1	1	0	0	3	0.6	7916.666666666667	0.09476901366002939	0.09999999999999999	16.66666666666697
25845	1	1	1	0	0	3	0.6	25845	0.09474923782847781	0.09999999999999999	15
11995	1	1	1	0	0	3	0.6	11995	0.0946276883872198	0.09999999999999999	10
35715	1	1	1	0	0	3	0.6	35715	0.09461374579885606	0.09999999999999999	10
26400	1	1	1	0	0	3	0.6	26400	0.0945485223277713	0.09999999999999999	0
38337	1	1	1	0	0	3	0.6	38336.666666666664	0.0945335234965556	0.09999999999999999	16.66666666666424
13460	1	1	1	0	0	3	0.6	13460	0.09442217924482055	0.09999999999999999	20
22893	1	1	1	0	0	3	0.6	22893.333333333332	0.094391268246658	0.10000000000000002	6.666666666667879
36182	1	1	1	0	0	3	0.6	36181.666666666664	0.09438235331006144	0.09999999999999999	8.333333333335759
24097	1	1	1	0	0	3	0.6	24096.666666666668	0.09435758338902754	0.09999999999999999	16.66666666666788
30310	1	1	1	0	0	3	0.6	30310	0.09434550757314786	0.09999999999999999	10
25687	1	1	1	0	0	3	0.6	25686.666666666668	0.09418538254207175	0.09999999999999999	16.66666666666788
35967	1	1	1	0	0	3	0.6	35966.666666666664	0.09413515775549064	0.09999999999999999	6.666666666664241
29338	1	1	1	0	0	3	0.6	29338.333333333332	0.09398407010858327	0.09999999999999999	3.3333333333321207
14697	1	1	1	0	0	3	0.6	14696.666666666666	0.09398393254260533	0.09999999999999999	6.66666666666606
14750	1	1	1	0	0	3	0.6	14750	0.09396384822086196	0.09999999999999999	10
35898	1	1	1	0	0	3	0.6	35898.333333333336	0.09375687162828102	0.10000000000000002	8.333333333335759
7613	1	1	1	0	0	3	0.6	7613.333333333333	0.09372870325933719	0.09999999999999999	6.66666666666697
36052	1	1	1	0	0	3	0.6	36051.666666666664	0.09371123630741758	0.09999999999999999	8.333333333335759
36123	1	1	1	0	0	3	0.6	36123.333333333336	0.09367877052428224	0.09999999999999999	16.66666666666424
27720	1	1	1	0	0	3	0.6	27720	0.09355798306418917	0.09999999999999999	20
25800	1	1	1	0	0	3	0.6	25800	0.09354657525830097	0.09999999999999999	10
13842	1	1	1	0	0	3	0.6	13841.666666666666	0.09348943971109197	0.09999999999999999	18.33333333333394
