window_size	method	k	metadata	subset	windows	mutual_information	normalized_mutual_information	adjusted_rand_index	homogeneity	completeness	conditional_entropy	normalized_entropy_reduction	contingency
50	contiguous_segmentation	2	currier	all	4945	0.6081805627931954	0.570296807552086	0.4294432629343873	0.400420331570419	0.9905205939684959	0.9106747870536921	0.400420331570419	1:0=1483,2:0=1960,2:1=4,3:1=479,4:1=189,5:1=107,X:1=568,Y:1=155
50	contiguous_segmentation	2	currier	purity>=0.8	4802	0.6136693183623475	0.5749578140658953	0.43217112511285505	0.40394034035409815	0.9971054300121152	0.9055384879795463	0.4039403403540983	1:0=1426,2:0=1909,2:1=1,3:1=473,4:1=180,5:1=101,X:1=562,Y:1=150
50	contiguous_segmentation	2	currier	purity>=0.9	4752	0.6160156392971873	0.5769475807766936	0.4330930869301601	0.4054296053911972	0.9999999999999998	0.9033989054369014	0.40542960539119743	1:0=1407,2:0=1890,3:1=471,4:1=177,5:1=99,X:1=560,Y:1=148
50	contiguous_segmentation	3	currier	all	4945	0.8352394831215804	0.6421589669569264	0.5247884269174304	0.5499137776390484	0.7715890327091024	0.683615866725307	0.5499137776390485	1:0=1483,2:0=584,2:1=1376,2:2=4,3:2=479,4:2=189,5:2=107,X:2=568,Y:2=155
50	contiguous_segmentation	3	currier	purity>=0.8	4802	0.8489704245537091	0.6517045494960705	0.5400522015093199	0.5588244221822082	0.7816136441987352	0.6702373817881849	0.5588244221822083	1:0=1426,2:0=533,2:1=1376,2:2=1,3:2=473,4:2=180,5:2=101,X:2=562,Y:2=150
50	contiguous_segmentation	3	currier	purity>=0.9	4752	0.854658976408211	0.6557094907948697	0.5462467814408338	0.5624922963718133	0.7859601664319147	0.6647555683258778	0.5624922963718135	1:0=1407,2:0=514,2:1=1376,3:2=471,4:2=177,5:2=99,X:2=560,Y:2=148
50	contiguous_segmentation	4	currier	all	4945	0.8393612956428528	0.6406604217839701	0.5262332604867542	0.5526275400270783	0.7620548075205997	0.6794940542040347	0.5526275400270783	1:0=1483,2:0=568,2:1=16,2:2=1376,2:3=4,3:3=479,4:3=189,5:3=107,X:3=568,Y:3=155
50	contiguous_segmentation	4	currier	purity>=0.8	4802	0.8533443853311875	0.6502361784694012	0.541685990270286	0.5617035284896005	0.7718986361716506	0.6658634210107064	0.5617035284896006	1:0=1426,2:0=517,2:1=16,2:2=1376,2:3=1,3:3=473,4:3=180,5:3=101,X:3=562,Y:3=150
50	contiguous_segmentation	4	currier	purity>=0.9	4752	0.8591368553622079	0.6542573859458274	0.5479598033306887	0.5654394044994248	0.776177672268425	0.6602776893718809	0.5654394044994249	1:0=1407,2:0=498,2:1=16,2:2=1376,3:3=471,4:3=177,5:3=99,X:3=560,Y:3=148
50	contiguous_segmentation	5	currier	all	4945	0.8393612956428528	0.6406604217839701	0.5262332604867542	0.5526275400270783	0.7620548075205997	0.6794940542040347	0.5526275400270783	1:0=1483,2:0=568,2:2=16,2:3=1376,2:4=4,3:4=479,4:4=189,5:4=107,X:4=568,Y:4=155
50	contiguous_segmentation	5	currier	purity>=0.8	4802	0.8533443853311875	0.6502361784694012	0.541685990270286	0.5617035284896005	0.7718986361716506	0.6658634210107064	0.5617035284896006	1:0=1426,2:0=517,2:2=16,2:3=1376,2:4=1,3:4=473,4:4=180,5:4=101,X:4=562,Y:4=150
50	contiguous_segmentation	5	currier	purity>=0.9	4752	0.8591368553622079	0.6542573859458274	0.5479598033306887	0.5654394044994248	0.776177672268425	0.6602776893718809	0.5654394044994249	1:0=1407,2:0=498,2:2=16,2:3=1376,3:4=471,4:4=177,5:4=99,X:4=560,Y:4=148
50	contiguous_segmentation	6	currier	all	4945	0.8393612956428528	0.6406604217839701	0.5262332604867542	0.5526275400270783	0.7620548075205997	0.6794940542040347	0.5526275400270783	1:0=1483,2:0=568,2:3=16,2:4=1376,2:5=4,3:5=479,4:5=189,5:5=107,X:5=568,Y:5=155
50	contiguous_segmentation	6	currier	purity>=0.8	4802	0.8533443853311875	0.6502361784694012	0.541685990270286	0.5617035284896005	0.7718986361716506	0.6658634210107064	0.5617035284896006	1:0=1426,2:0=517,2:3=16,2:4=1376,2:5=1,3:5=473,4:5=180,5:5=101,X:5=562,Y:5=150
