Corpus	Transition	Samples	HNextGivenCurrent	Status
Voynich	INITIAL	37643	2.212882169	OK
Voynich	MEDIAL	47691	2.372133758	OK
Voynich	PENULTIMATE_TO_FINAL	33292	1.446729941	OK
Doyle	INITIAL	41104	2.267164748	OK
Doyle	MEDIAL	60363	3.331838304	OK
Doyle	PENULTIMATE_TO_FINAL	32876	2.296520979	OK
Longfellow	INITIAL	32348	2.167764139	OK
Longfellow	MEDIAL	56096	3.366848495	OK
Longfellow	PENULTIMATE_TO_FINAL	27806	2.178649623	OK
Astafiev	INITIAL	71525	2.293070077	OK
Astafiev	MEDIAL	224933	3.275380826	OK
Astafiev	PENULTIMATE_TO_FINAL	64144	2.078988570	OK
