Corpus	LengthClass	Tokens	Glyphs	H2	H3	Status
Voynich	1	1737	1737	0.000000000	0.000000000	INSUFFICIENT_DATA
Voynich	2	4351	8702	1.891002196	0.000000000	OK
Voynich	3	8995	26985	2.281430496	1.568784258	OK
Voynich	4	9899	39596	2.484925989	2.057680427	OK
Voynich	5	8073	40365	2.351176433	2.146471897	OK
Voynich	>=6	6325	40621	2.338954803	2.145002614	OK
Doyle	1	2609	2609	0.000000000	0.000000000	INSUFFICIENT_DATA
Doyle	2	8228	16456	1.022682551	0.000000000	OK
Doyle	3	9851	29553	1.655979043	0.401462477	OK
Doyle	4	8448	33792	2.657530567	1.348296999	OK
Doyle	5	5074	25370	2.922114366	1.648728251	OK
Doyle	>=6	9503	70276	3.346361915	2.562816388	OK
Longfellow	1	729	729	0.000000000	0.000000000	INSUFFICIENT_DATA
Longfellow	2	4542	9084	0.830978887	0.000000000	OK
Longfellow	3	8581	25743	1.233860768	0.242701383	OK
Longfellow	4	5598	22392	2.589559932	1.296662009	OK
Longfellow	5	3879	19395	3.049262359	1.701271782	OK
Longfellow	>=6	9748	71984	3.333594907	2.463796785	OK
Astafiev	1	13755	13755	0.000000000	0.000000000	INSUFFICIENT_DATA
Astafiev	2	7381	14762	0.698719591	0.000000000	OK
Astafiev	3	5457	16371	1.225245807	0.206455760	OK
Astafiev	4	6924	27696	2.006292794	0.727295836	OK
Astafiev	5	11870	59350	2.691109229	1.054591590	OK
Astafiev	>=6	39893	313948	3.274709416	2.201022866	OK
