Corpus	Mode	Order	Samples	ObservedContexts	UniqueContexts	EntropyBits	Normalized	ContextCoverage	Status
Voynich	CONTINUOUS	0	158006	1	45	4.005793448	0.729406519	0.000006329	OK
Voynich	CONTINUOUS	1	158005	45	852	2.772575962	0.504852536	0.000284801	OK
Voynich	CONTINUOUS	2	158004	852	5124	2.565767755	0.467195264	0.005392269	OK
Voynich	CONTINUOUS	3	158003	5124	18326	2.376808438	0.432788058	0.032429764	OK
Voynich	CONTINUOUS	4	158002	18326	44220	2.024087095	0.368561769	0.115985874	OK
Voynich	TOKEN_BOUNDARY	0	197385	1	46	3.927557601	0.711055227	0.000005066	OK
Voynich	TOKEN_BOUNDARY	1	197384	46	669	2.445766179	0.442787860	0.000233048	OK
Voynich	TOKEN_BOUNDARY	2	197383	669	3975	2.215066928	0.401021469	0.003389350	OK
Voynich	TOKEN_BOUNDARY	3	197382	3975	13265	2.093560497	0.379023629	0.020138614	OK
Voynich	TOKEN_BOUNDARY	4	197381	13265	31856	1.904886340	0.344865570	0.067205050	OK
Voynich	WITHIN_TOKEN_ONLY	0	158006	1	45	4.005793448	0.729406519	0.000006329	OK
Voynich	WITHIN_TOKEN_ONLY	1	118626	43	589	2.502565839	0.455686959	0.000362484	OK
Voynich	WITHIN_TOKEN_ONLY	2	80983	435	2595	2.295187321	0.417925840	0.005371498	OK
Voynich	WITHIN_TOKEN_ONLY	3	47691	1888	5581	1.971000546	0.358895351	0.039588182	OK
Voynich	WITHIN_TOKEN_ONLY	4	23394	3541	6708	1.450102137	0.264046054	0.151363598	OK
Doyle	CONTINUOUS	0	178056	1	43	4.178466229	0.770044666	0.000005616	OK
Doyle	CONTINUOUS	1	178055	43	614	3.597790022	0.663032525	0.000241498	OK
Doyle	CONTINUOUS	2	178054	614	5763	3.115115903	0.574081075	0.003448392	OK
Doyle	CONTINUOUS	3	178053	5763	28203	2.446984368	0.450951894	0.032366767	OK
Doyle	CONTINUOUS	4	178052	28203	65959	1.666913526	0.307193549	0.158397547	OK
Doyle	TOKEN_BOUNDARY	0	221768	1	44	4.070965755	0.745675748	0.000004509	OK
Doyle	TOKEN_BOUNDARY	1	221767	44	531	3.286979244	0.602073526	0.000198406	OK
Doyle	TOKEN_BOUNDARY	2	221766	531	4051	2.622592603	0.480378322	0.002394416	OK
Doyle	TOKEN_BOUNDARY	3	221765	4051	15561	2.033320941	0.372441874	0.018267085	OK
Doyle	TOKEN_BOUNDARY	4	221764	15561	38773	1.598853426	0.292860784	0.070169189	OK
Doyle	WITHIN_TOKEN_ONLY	0	178056	1	43	4.178466229	0.770044666	0.000005616	OK
Doyle	WITHIN_TOKEN_ONLY	1	134343	40	467	3.172925738	0.584734782	0.000297745	OK
Doyle	WITHIN_TOKEN_ONLY	2	93239	449	3053	2.449276849	0.451374373	0.004815581	OK
Doyle	WITHIN_TOKEN_ONLY	3	60363	2810	7590	1.341705634	0.247261366	0.046551696	OK
Doyle	WITHIN_TOKEN_ONLY	4	37338	6339	9042	0.526304912	0.096992118	0.169773421	OK
Longfellow	CONTINUOUS	0	149327	1	26	4.150750847	0.883055862	0.000006697	OK
Longfellow	CONTINUOUS	1	149326	26	509	3.522002476	0.749292127	0.000174116	OK
Longfellow	CONTINUOUS	2	149325	509	5082	2.988254811	0.635739418	0.003408672	OK
Longfellow	CONTINUOUS	3	149324	5082	22461	2.256780365	0.480121116	0.034033377	OK
Longfellow	CONTINUOUS	4	149323	22461	48008	1.499583497	0.319030471	0.150418891	OK
Longfellow	TOKEN_BOUNDARY	0	182403	1	27	4.081063796	0.858288192	0.000005482	OK
Longfellow	TOKEN_BOUNDARY	1	182402	27	474	3.252247999	0.683980009	0.000148025	OK
Longfellow	TOKEN_BOUNDARY	2	182401	474	3663	2.555285834	0.537401954	0.002598670	OK
Longfellow	TOKEN_BOUNDARY	3	182400	3663	13202	1.907417922	0.401148906	0.020082237	OK
Longfellow	TOKEN_BOUNDARY	4	182399	13202	31018	1.446766732	0.304269393	0.072379783	OK
Longfellow	WITHIN_TOKEN_ONLY	0	149327	1	26	4.150750847	0.883055862	0.000006697	OK
Longfellow	WITHIN_TOKEN_ONLY	1	116250	26	428	3.139037735	0.667817890	0.000223656	OK
Longfellow	WITHIN_TOKEN_ONLY	2	83902	419	2804	2.387590977	0.507950558	0.004993921	OK
Longfellow	WITHIN_TOKEN_ONLY	3	56096	2612	6323	1.224038316	0.260409321	0.046563035	OK
