Corpus	Mode	Order	Samples	ObservedContexts	UniqueContexts	EntropyBits	Normalized	ContextCoverage	Status
Voynich	CONTINUOUS	0	158006	1	45	4.005793448	0.729406519	0.000006329	OK
Voynich	CONTINUOUS	1	152621	45	811	2.726323122	0.496430453	0.000294848	OK
Voynich	CONTINUOUS	2	147307	784	4634	2.511887263	0.457384278	0.005322218	OK
Voynich	CONTINUOUS	3	141998	4459	15772	2.325119721	0.423376168	0.031401851	OK
Voynich	CONTINUOUS	4	136761	15217	36561	1.986539065	0.361724728	0.111267101	OK
Doyle	CONTINUOUS	0	178056	1	43	4.178466229	0.770044666	0.000005616	OK
Doyle	CONTINUOUS	1	174386	43	612	3.574505012	0.658741358	0.000246579	OK
Doyle	CONTINUOUS	2	170716	612	5669	3.088156594	0.569112775	0.003584901	OK
Doyle	CONTINUOUS	3	167053	5666	27017	2.400080596	0.442308052	0.033917380	OK
Doyle	CONTINUOUS	4	163401	26938	61236	1.607562968	0.296255904	0.164858232	OK
Longfellow	CONTINUOUS	0	149327	1	26	4.150750847	0.883055862	0.000006697	OK
Longfellow	CONTINUOUS	1	143562	26	507	3.474906160	0.739272572	0.000181106	OK
Longfellow	CONTINUOUS	2	137797	507	4852	2.920284179	0.621278934	0.003679325	OK
Longfellow	CONTINUOUS	3	132032	4839	19825	2.130605595	0.453277932	0.036650206	OK
Longfellow	CONTINUOUS	4	126267	19681	39260	1.363517787	0.290083028	0.155868121	OK
Astafiev	CONTINUOUS	0	445882	1	64	4.622513366	0.770418894	0.000002243	OK
Astafiev	CONTINUOUS	1	442272	64	1260	3.648772376	0.608128729	0.000144707	OK
Astafiev	CONTINUOUS	2	438662	1259	10522	2.791246935	0.465207823	0.002870091	OK
Astafiev	CONTINUOUS	3	435052	10511	39969	1.896200675	0.316033446	0.024160330	OK
Astafiev	CONTINUOUS	4	431443	39891	82253	1.256213939	0.209368990	0.092459491	OK
