Corpus	Mode	Order	Samples	ObservedContexts	UniqueContexts	EntropyBits	Normalized	ContextCoverage	Status
Voynich	CONTINUOUS	0	158006	1	45	4.005793448	0.729406519	0.000006329	OK
Voynich	CONTINUOUS	1	158005	45	852	2.772575962	0.504852536	0.000284801	OK
Voynich	CONTINUOUS	2	158004	852	5124	2.565767755	0.467195264	0.005392269	OK
Voynich	CONTINUOUS	3	158003	5124	18326	2.376808438	0.432788058	0.032429764	OK
Voynich	CONTINUOUS	4	158002	18326	44220	2.024087095	0.368561769	0.115985874	OK
Doyle	CONTINUOUS	0	178056	1	43	4.178466229	0.770044666	0.000005616	OK
Doyle	CONTINUOUS	1	178055	43	614	3.597790022	0.663032525	0.000241498	OK
Doyle	CONTINUOUS	2	178054	614	5763	3.115115903	0.574081075	0.003448392	OK
Doyle	CONTINUOUS	3	178053	5763	28203	2.446984368	0.450951894	0.032366767	OK
Doyle	CONTINUOUS	4	178052	28203	65959	1.666913526	0.307193549	0.158397547	OK
Longfellow	CONTINUOUS	0	149327	1	26	4.150750847	0.883055862	0.000006697	OK
Longfellow	CONTINUOUS	1	149326	26	509	3.522002476	0.749292127	0.000174116	OK
Longfellow	CONTINUOUS	2	149325	509	5082	2.988254811	0.635739418	0.003408672	OK
Longfellow	CONTINUOUS	3	149324	5082	22461	2.256780365	0.480121116	0.034033377	OK
Longfellow	CONTINUOUS	4	149323	22461	48008	1.499583497	0.319030471	0.150418891	OK
Astafiev	CONTINUOUS	0	445882	1	64	4.622513366	0.770418894	0.000002243	OK
Astafiev	CONTINUOUS	1	445881	64	1298	3.667520695	0.611253449	0.000143536	OK
Astafiev	CONTINUOUS	2	445880	1298	10950	2.819254126	0.469875688	0.002911097	OK
Astafiev	CONTINUOUS	3	445879	10950	41982	1.933129326	0.322188221	0.024558232	OK
Astafiev	CONTINUOUS	4	445878	41982	87348	1.291098320	0.215183053	0.094155800	OK
