transcription	class	object_id	corpus	policy	scale	replicate	direct_core_distance	coverage_adjusted_distance	core_coverage	metric_n
IT2a	SIMPLE_NULL	negative_randomized_convention	Astafiev	LITERAL_RESET_V1	LARGE	0	1.248179	1.248179	1.000000	3
IT2a	SIMPLE_NULL	negative_randomized_convention	Astafiev	LITERAL_RESET_V1	LARGE	1	1.248179	1.248179	1.000000	3
IT2a	SIMPLE_NULL	negative_randomized_convention	Astafiev	LITERAL_RESET_V1	MEDIUM	0	1.239642	1.239642	1.000000	3
IT2a	SIMPLE_NULL	negative_randomized_convention	Astafiev	LITERAL_RESET_V1	MEDIUM	1	1.239642	1.239642	1.000000	3
IT2a	SIMPLE_NULL	negative_randomized_convention	Astafiev	LITERAL_RESET_V1	SMALL	0	1.239642	1.239642	1.000000	3
IT2a	SIMPLE_NULL	negative_randomized_convention	Astafiev	LITERAL_RESET_V1	SMALL	1	1.239642	1.239642	1.000000	3
IT2a	SIMPLE_NULL	negative_randomized_convention	Doyle	LITERAL_RESET_V1	LARGE	0	1.244207	1.244207	1.000000	3
IT2a	SIMPLE_NULL	negative_randomized_convention	Doyle	LITERAL_RESET_V1	LARGE	1	1.244207	1.244207	1.000000	3
IT2a	SIMPLE_NULL	negative_randomized_convention	Doyle	LITERAL_RESET_V1	MEDIUM	0	1.244207	1.244207	1.000000	3
IT2a	SIMPLE_NULL	negative_randomized_convention	Doyle	LITERAL_RESET_V1	MEDIUM	1	1.244207	1.244207	1.000000	3
IT2a	SIMPLE_NULL	negative_randomized_convention	Doyle	LITERAL_RESET_V1	SMALL	0	1.239642	1.239642	1.000000	3
IT2a	SIMPLE_NULL	negative_randomized_convention	Doyle	LITERAL_RESET_V1	SMALL	1	1.239642	1.239642	1.000000	3
IT2a	SIMPLE_NULL	negative_randomized_convention	Longfellow	LITERAL_RESET_V1	LARGE	0	1.248179	1.248179	1.000000	3
IT2a	SIMPLE_NULL	negative_randomized_convention	Longfellow	LITERAL_RESET_V1	LARGE	1	1.248179	1.248179	1.000000	3
IT2a	SIMPLE_NULL	negative_randomized_convention	Longfellow	LITERAL_RESET_V1	MEDIUM	0	1.244171	1.244171	1.000000	3
IT2a	SIMPLE_NULL	negative_randomized_convention	Longfellow	LITERAL_RESET_V1	MEDIUM	1	1.244171	1.244171	1.000000	3
IT2a	SIMPLE_NULL	negative_randomized_convention	Longfellow	LITERAL_RESET_V1	SMALL	0	1.239497	1.239497	1.000000	3
IT2a	SIMPLE_NULL	negative_randomized_convention	Longfellow	LITERAL_RESET_V1	SMALL	1	1.239497	1.239497	1.000000	3
IT2a	SIMPLE_NULL	negative_randomized_cue_association	Astafiev	CUE_RESET_GLOBAL_V1	LARGE	0	0.647320	0.647320	1.000000	3
IT2a	SIMPLE_NULL	negative_randomized_cue_association	Astafiev	CUE_RESET_GLOBAL_V1	LARGE	1	0.647320	0.647320	1.000000	3
IT2a	SIMPLE_NULL	negative_randomized_cue_association	Astafiev	CUE_RESET_GLOBAL_V1	MEDIUM	0	0.570410	0.570410	1.000000	3
