transcription	class	mechanism_id	frozen_family	corpus	policy	scale	replicate	direct_core_distance	coverage_adjusted_distance	core_coverage	metric_n	corpus_stability	seed_stability	scale_stability	cue_policy_effect	input_dependence	EM_class	recovery	knowledge_dependence
IT2a	FONTANA	f01_speculum_core	F01_LITERAL_ROTATIONAL_STORAGE	Astafiev	LITERAL_RESET_V1	LARGE	0	1.248179	1.248179	1.000000	3	unstable_groups=0	unstable_groups=0	not_converged_groups=0	NOT_APPLICABLE_NO_LOCAL_GLOBAL_PAIR	INPUT_SENSITIVE	EM3	R0=1.000000;R6=0.041969	task82_rows=6
IT2a	FONTANA	f01_speculum_core	F01_LITERAL_ROTATIONAL_STORAGE	Astafiev	LITERAL_RESET_V1	LARGE	1	1.248179	1.248179	1.000000	3	unstable_groups=0	unstable_groups=0	not_converged_groups=0	NOT_APPLICABLE_NO_LOCAL_GLOBAL_PAIR	INPUT_SENSITIVE	EM3	R0=1.000000;R6=0.041969	task82_rows=6
IT2a	FONTANA	f01_speculum_core	F01_LITERAL_ROTATIONAL_STORAGE	Astafiev	LITERAL_RESET_V1	MEDIUM	0	1.239642	1.239642	1.000000	3	unstable_groups=0	unstable_groups=0	not_converged_groups=0	NOT_APPLICABLE_NO_LOCAL_GLOBAL_PAIR	INPUT_SENSITIVE	EM3	R0=1.000000;R6=0.041969	task82_rows=6
IT2a	FONTANA	f01_speculum_core	F01_LITERAL_ROTATIONAL_STORAGE	Astafiev	LITERAL_RESET_V1	MEDIUM	1	1.239642	1.239642	1.000000	3	unstable_groups=0	unstable_groups=0	not_converged_groups=0	NOT_APPLICABLE_NO_LOCAL_GLOBAL_PAIR	INPUT_SENSITIVE	EM3	R0=1.000000;R6=0.041969	task82_rows=6
IT2a	FONTANA	f01_speculum_core	F01_LITERAL_ROTATIONAL_STORAGE	Astafiev	LITERAL_RESET_V1	SMALL	0	1.239642	1.239642	1.000000	3	unstable_groups=0	unstable_groups=0	not_converged_groups=0	NOT_APPLICABLE_NO_LOCAL_GLOBAL_PAIR	INPUT_SENSITIVE	EM3	R0=1.000000;R6=0.041969	task82_rows=6
IT2a	FONTANA	f01_speculum_core	F01_LITERAL_ROTATIONAL_STORAGE	Astafiev	LITERAL_RESET_V1	SMALL	1	1.239642	1.239642	1.000000	3	unstable_groups=0	unstable_groups=0	not_converged_groups=0	NOT_APPLICABLE_NO_LOCAL_GLOBAL_PAIR	INPUT_SENSITIVE	EM3	R0=1.000000;R6=0.041969	task82_rows=6
IT2a	FONTANA	f01_speculum_core	F01_LITERAL_ROTATIONAL_STORAGE	Doyle	LITERAL_RESET_V1	LARGE	0	1.244207	1.244207	1.000000	3	unstable_groups=0	unstable_groups=0	not_converged_groups=0	NOT_APPLICABLE_NO_LOCAL_GLOBAL_PAIR	INPUT_SENSITIVE	EM3	R0=1.000000;R6=0.041969	task82_rows=6
IT2a	FONTANA	f01_speculum_core	F01_LITERAL_ROTATIONAL_STORAGE	Doyle	LITERAL_RESET_V1	LARGE	1	1.244207	1.244207	1.000000	3	unstable_groups=0	unstable_groups=0	not_converged_groups=0	NOT_APPLICABLE_NO_LOCAL_GLOBAL_PAIR	INPUT_SENSITIVE	EM3	R0=1.000000;R6=0.041969	task82_rows=6
IT2a	FONTANA	f01_speculum_core	F01_LITERAL_ROTATIONAL_STORAGE	Doyle	LITERAL_RESET_V1	MEDIUM	0	1.244207	1.244207	1.000000	3	unstable_groups=0	unstable_groups=0	not_converged_groups=0	NOT_APPLICABLE_NO_LOCAL_GLOBAL_PAIR	INPUT_SENSITIVE	EM3	R0=1.000000;R6=0.041969	task82_rows=6
IT2a	FONTANA	f01_speculum_core	F01_LITERAL_ROTATIONAL_STORAGE	Doyle	LITERAL_RESET_V1	MEDIUM	1	1.244207	1.244207	1.000000	3	unstable_groups=0	unstable_groups=0	not_converged_groups=0	NOT_APPLICABLE_NO_LOCAL_GLOBAL_PAIR	INPUT_SENSITIVE	EM3	R0=1.000000;R6=0.041969	task82_rows=6
IT2a	FONTANA	f01_speculum_core	F01_LITERAL_ROTATIONAL_STORAGE	Doyle	LITERAL_RESET_V1	SMALL	0	1.239642	1.239642	1.000000	3	unstable_groups=0	unstable_groups=0	not_converged_groups=0	NOT_APPLICABLE_NO_LOCAL_GLOBAL_PAIR	INPUT_SENSITIVE	EM3	R0=1.000000;R6=0.041969	task82_rows=6
IT2a	FONTANA	f01_speculum_core	F01_LITERAL_ROTATIONAL_STORAGE	Doyle	LITERAL_RESET_V1	SMALL	1	1.239642	1.239642	1.000000	3	unstable_groups=0	unstable_groups=0	not_converged_groups=0	NOT_APPLICABLE_NO_LOCAL_GLOBAL_PAIR	INPUT_SENSITIVE	EM3	R0=1.000000;R6=0.041969	task82_rows=6
IT2a	FONTANA	f01_speculum_core	F01_LITERAL_ROTATIONAL_STORAGE	Longfellow	LITERAL_RESET_V1	LARGE	0	1.248179	1.248179	1.000000	3	unstable_groups=0	unstable_groups=0	not_converged_groups=0	NOT_APPLICABLE_NO_LOCAL_GLOBAL_PAIR	INPUT_SENSITIVE	EM3	R0=1.000000;R6=0.041969	task82_rows=6
IT2a	FONTANA	f01_speculum_core	F01_LITERAL_ROTATIONAL_STORAGE	Longfellow	LITERAL_RESET_V1	LARGE	1	1.248179	1.248179	1.000000	3	unstable_groups=0	unstable_groups=0	not_converged_groups=0	NOT_APPLICABLE_NO_LOCAL_GLOBAL_PAIR	INPUT_SENSITIVE	EM3	R0=1.000000;R6=0.041969	task82_rows=6
IT2a	FONTANA	f01_speculum_core	F01_LITERAL_ROTATIONAL_STORAGE	Longfellow	LITERAL_RESET_V1	MEDIUM	0	1.244171	1.244171	1.000000	3	unstable_groups=0	unstable_groups=0	not_converged_groups=0	NOT_APPLICABLE_NO_LOCAL_GLOBAL_PAIR	INPUT_SENSITIVE	EM3	R0=1.000000;R6=0.041969	task82_rows=6
IT2a	FONTANA	f01_speculum_core	F01_LITERAL_ROTATIONAL_STORAGE	Longfellow	LITERAL_RESET_V1	MEDIUM	1	1.244171	1.244171	1.000000	3	unstable_groups=0	unstable_groups=0	not_converged_groups=0	NOT_APPLICABLE_NO_LOCAL_GLOBAL_PAIR	INPUT_SENSITIVE	EM3	R0=1.000000;R6=0.041969	task82_rows=6
IT2a	FONTANA	f01_speculum_core	F01_LITERAL_ROTATIONAL_STORAGE	Longfellow	LITERAL_RESET_V1	SMALL	0	1.239497	1.239497	1.000000	3	unstable_groups=0	unstable_groups=0	not_converged_groups=0	NOT_APPLICABLE_NO_LOCAL_GLOBAL_PAIR	INPUT_SENSITIVE	EM3	R0=1.000000;R6=0.041969	task82_rows=6
IT2a	FONTANA	f01_speculum_core	F01_LITERAL_ROTATIONAL_STORAGE	Longfellow	LITERAL_RESET_V1	SMALL	1	1.239497	1.239497	1.000000	3	unstable_groups=0	unstable_groups=0	not_converged_groups=0	NOT_APPLICABLE_NO_LOCAL_GLOBAL_PAIR	INPUT_SENSITIVE	EM3	R0=1.000000;R6=0.041969	task82_rows=6
