transcription	class	object_id	corpus	policy	scale	replicate	direct_core_distance	coverage_adjusted_distance	core_coverage	metric_n
IT2a	EXTRACTION	FIRST_GLYPH_OF_LINE	Astafiev			0	1.261075	1.261075	1.000000	3
IT2a	EXTRACTION	FIRST_GLYPH_OF_LINE	Doyle			0	1.261075	1.261075	1.000000	3
IT2a	EXTRACTION	FIRST_GLYPH_OF_LINE	Longfellow			0	1.261075	1.261075	1.000000	3
IT2a	EXTRACTION	FIRST_GLYPH_OF_TOKEN	Astafiev			0	1.261075	1.261075	1.000000	3
IT2a	EXTRACTION	FIRST_GLYPH_OF_TOKEN	Doyle			0	1.261075	1.261075	1.000000	3
IT2a	EXTRACTION	FIRST_GLYPH_OF_TOKEN	Longfellow			0	1.261075	1.261075	1.000000	3
IT2a	EXTRACTION	FIRST_TOKEN_OF_LINE	Astafiev			0	1.246870	1.246870	1.000000	3
IT2a	EXTRACTION	FIRST_TOKEN_OF_LINE	Doyle			0	0.681678	0.681678	1.000000	3
IT2a	EXTRACTION	FIRST_TOKEN_OF_LINE	Longfellow			0	0.701356	0.701356	1.000000	3
IT2a	EXTRACTION	FIXED_OFFSET_WITHIN_GROUP_1	Astafiev			0	1.128091	1.128091	1.000000	3
IT2a	EXTRACTION	FIXED_OFFSET_WITHIN_GROUP_1	Doyle			0	0.666669	0.666669	1.000000	3
IT2a	EXTRACTION	FIXED_OFFSET_WITHIN_GROUP_1	Longfellow			0	0.625958	0.625958	1.000000	3
IT2a	EXTRACTION	FIXED_OFFSET_WITHIN_GROUP_2	Astafiev			0	1.117701	1.117701	1.000000	3
IT2a	EXTRACTION	FIXED_OFFSET_WITHIN_GROUP_2	Doyle			0	0.683986	0.683986	1.000000	3
IT2a	EXTRACTION	FIXED_OFFSET_WITHIN_GROUP_2	Longfellow			0	0.705343	0.705343	1.000000	3
IT2a	EXTRACTION	LAST_GLYPH_OF_LINE	Astafiev			0	1.261075	1.261075	1.000000	3
IT2a	EXTRACTION	LAST_GLYPH_OF_LINE	Doyle			0	1.261075	1.261075	1.000000	3
IT2a	EXTRACTION	LAST_GLYPH_OF_LINE	Longfellow			0	1.261075	1.261075	1.000000	3
IT2a	EXTRACTION	LAST_GLYPH_OF_TOKEN	Astafiev			0	1.261075	1.261075	1.000000	3
IT2a	EXTRACTION	LAST_GLYPH_OF_TOKEN	Doyle			0	1.261075	1.261075	1.000000	3
IT2a	EXTRACTION	LAST_GLYPH_OF_TOKEN	Longfellow			0	1.261075	1.261075	1.000000	3
IT2a	EXTRACTION	LAST_TOKEN_OF_LINE	Astafiev			0	1.150190	1.150190	1.000000	3
IT2a	EXTRACTION	LAST_TOKEN_OF_LINE	Doyle			0	0.655907	0.655907	1.000000	3
IT2a	EXTRACTION	LAST_TOKEN_OF_LINE	Longfellow			0	1.109412	1.109412	1.000000	3
IT2a	EXTRACTION	NTH_GLYPH_OF_TOKEN_2	Astafiev			0	1.261075	1.261075	1.000000	3
IT2a	EXTRACTION	NTH_GLYPH_OF_TOKEN_2	Doyle			0	1.261075	1.261075	1.000000	3
IT2a	EXTRACTION	NTH_GLYPH_OF_TOKEN_2	Longfellow			0	1.261075	1.261075	1.000000	3
IT2a	EXTRACTION	NTH_GLYPH_OF_TOKEN_3	Astafiev			0	1.261075	1.261075	1.000000	3
IT2a	EXTRACTION	NTH_GLYPH_OF_TOKEN_3	Doyle			0	1.261075	1.261075	1.000000	3
IT2a	EXTRACTION	NTH_GLYPH_OF_TOKEN_3	Longfellow			0	1.261075	1.261075	1.000000	3
IT2a	EXTRACTION	NTH_TOKEN_OF_LINE_2	Astafiev			0	1.271044	1.271044	1.000000	3
IT2a	EXTRACTION	NTH_TOKEN_OF_LINE_2	Doyle			0	0.607803	0.607803	1.000000	3
IT2a	EXTRACTION	NTH_TOKEN_OF_LINE_2	Longfellow			0	0.645344	0.645344	1.000000	3
IT2a	EXTRACTION	NTH_TOKEN_OF_LINE_3	Astafiev			0	1.175142	1.175142	1.000000	3
IT2a	EXTRACTION	NTH_TOKEN_OF_LINE_3	Doyle			0	0.682715	0.682715	1.000000	3
IT2a	EXTRACTION	NTH_TOKEN_OF_LINE_3	Longfellow			0	0.691790	0.691790	1.000000	3
IT2a	EXTRACTION	PERIODIC_GLYPH_2	Astafiev			0	NA	NA	0.000000	0
IT2a	EXTRACTION	PERIODIC_GLYPH_2	Doyle			0	NA	NA	0.000000	0
IT2a	EXTRACTION	PERIODIC_GLYPH_2	Longfellow			0	1.261075	1.261075	1.000000	3
IT2a	EXTRACTION	PERIODIC_GLYPH_3	Astafiev			0	NA	NA	0.000000	0
IT2a	EXTRACTION	PERIODIC_GLYPH_3	Doyle			0	1.261075	1.261075	1.000000	3
IT2a	EXTRACTION	PERIODIC_GLYPH_3	Longfellow			0	1.261075	1.261075	1.000000	3
IT2a	EXTRACTION	PERIODIC_GLYPH_5	Astafiev			0	1.261075	1.261075	1.000000	3
IT2a	EXTRACTION	PERIODIC_GLYPH_5	Doyle			0	1.261075	1.261075	1.000000	3
IT2a	EXTRACTION	PERIODIC_GLYPH_5	Longfellow			0	1.261075	1.261075	1.000000	3
IT2a	EXTRACTION	PERIODIC_GLYPH_7	Astafiev			0	1.261075	1.261075	1.000000	3
