transcription	metric_id	family	classification	value	available	space
ZL3b	EF1_GIANT_COMPONENT_SHARE	edit family	CORE	0.866917	true	F2_COMMON_DIRECT
ZL3b	EF1_ISOLATE_SHARE	edit family	SUPPORTING	0.115007	true	F2_COMMON_DIRECT
ZL3b	EF2_GLOBAL_CLUSTERING	edit family	CORE	0.287270	true	F2_COMMON_DIRECT
ZL3b	EF3_DEGREE_FREQUENCY_SPEARMAN	edit family	CORE	0.639007	true	F2_COMMON_DIRECT
ZL3b	LP1_RULE_SUPPORT_GINI	lexical paradigm	SUPPORTING	0.789799	true	F2_COMMON_DIRECT
ZL3b	LP4_PREFIX_ATTACHMENT_NMI	lexical paradigm	SUPPORTING	0.315949	true	F2_COMMON_DIRECT
ZL3b	LP4_SUFFIX_ATTACHMENT_NMI	lexical paradigm	SUPPORTING	0.276706	true	F2_COMMON_DIRECT
ZL3b	cs2/prev-family-current-family	cross-scale	SUPPORTING	0.000000	false	F2_COMMON_DIRECT
IT2a	EF1_GIANT_COMPONENT_SHARE	edit family	CORE	0.874582	true	F2_COMMON_DIRECT
IT2a	EF1_ISOLATE_SHARE	edit family	SUPPORTING	0.116743	true	F2_COMMON_DIRECT
IT2a	EF2_GLOBAL_CLUSTERING	edit family	CORE	0.279163	true	F2_COMMON_DIRECT
IT2a	EF3_DEGREE_FREQUENCY_SPEARMAN	edit family	CORE	0.633750	true	F2_COMMON_DIRECT
IT2a	LP1_RULE_SUPPORT_GINI	lexical paradigm	SUPPORTING	0.780164	true	F2_COMMON_DIRECT
IT2a	LP4_PREFIX_ATTACHMENT_NMI	lexical paradigm	SUPPORTING	0.304706	true	F2_COMMON_DIRECT
IT2a	LP4_SUFFIX_ATTACHMENT_NMI	lexical paradigm	SUPPORTING	0.260009	true	F2_COMMON_DIRECT
IT2a	cs2/prev-family-current-family	cross-scale	SUPPORTING	0.000000	false	F2_COMMON_DIRECT
